"","size_fraction","sample_id","object_annotation_category","dryweight_C_mg_sum_taxa","dryweight_C_ug_sum_taxa","dryweight_C_mg_sum_sample","dryweight_C_ug_sum_sample","sample_conc","sample_tot_vol","acq_sub_part","potemp2","density2","oxy_sat","Sal2","NO2","nitracline_depth","NO3","fluorescence","hypoxia_depth","chl_max_depth","PO4","SIL","NH4","beam_depth","chl_max","mixedlayerdepths","intergrated_chl","day_night_0_1","distance_from_shore","PAR_1_depth_adj","max_size","cycle","Sample_ID_short","PC1","Longitude","Latitude","log10_dryweight_C_ug_m2_taxa","dryweight_C_mg_m2_taxa","log10_dryweight_C_ug_m2_sample","dryweight_C_mg_m2_sample","biomass_prop_taxa","biomass_taxa_clr"
"1","0.2-0.5","c1_t7_h9","Calanoida",0.319970747177457,319.970747177457,1.18782354366406,1187.82354366406,70.0962902345881,282,97.1597633136095,13.6354125,25.27231875,68.65825,33.72105625,0.271166667,4.793,17.5485,4.377575,127.52,14.88966667,1.386,16.9485,0.108,10.919,4.7989,34.31751471,43.229,1,54.45089622,30,0.5,"1","C1-T7-H9",6.573255037,-122.4661,36.18643,5.76822957654471,22.4287623607291,7.07987795662127,83.2620238641526,0.269375656749865,7.43536888481981
"2","0.2-0.5","c1_t7_h9","Chaetognatha",0,0,1.18782354366406,1187.82354366406,57.7163120567376,282,80,13.6354125,25.27231875,68.65825,33.72105625,0.271166667,4.793,17.5485,4.377575,127.52,14.88966667,1.386,16.9485,0.108,10.919,4.7989,34.31751471,43.229,1,54.45089622,30,0.5,"1","C1-T7-H9",6.573255037,-122.4661,36.18643,-Inf,0,7.07987795662127,68.5567943144545,0,-7.18790119516191
"3","0.2-0.5","c1_t7_h9","Copepoda<Maxillopoda",0.527033339644313,527.033339644313,1.18782354366406,1187.82354366406,69.5653562538162,282,96.4238410596027,13.6354125,25.27231875,68.65825,33.72105625,0.271166667,4.793,17.5485,4.377575,127.52,14.88966667,1.386,16.9485,0.108,10.919,4.7989,34.31751471,43.229,1,54.45089622,30,0.5,"1","C1-T7-H9",6.573255037,-122.4661,36.18643,6.26726380962253,36.6632620299951,7.07987795662127,82.6313679816604,0.443696660548236,7.92679976164661
"4","0.2-0.5","c1_t7_h9","Eucalanidae",0.00125412109725392,1.25412109725392,1.18782354366406,1187.82354366406,72.145390070922,282,100,13.6354125,25.27231875,68.65825,33.72105625,0.271166667,4.793,17.5485,4.377575,127.52,14.88966667,1.386,16.9485,0.108,10.919,4.7989,34.31751471,43.229,1,54.45089622,30,0.5,"1","C1-T7-H9",6.573255037,-122.4661,36.18643,0.226435006331298,0.090479055757557,7.07987795662127,85.6959928930681,0.00105581431176668,1.92249790336362
"5","0.2-0.5","c1_t7_h9","Harpacticoida",0.00797363890197863,7.97363890197863,1.18782354366406,1187.82354366406,72.145390070922,282,100,13.6354125,25.27231875,68.65825,33.72105625,0.271166667,4.793,17.5485,4.377575,127.52,14.88966667,1.386,16.9485,0.108,10.919,4.7989,34.31751471,43.229,1,54.45089622,30,0.5,"1","C1-T7-H9",6.573255037,-122.4661,36.18643,2.07614096350673,0.575261288867927,7.07987795662127,85.6959928930681,0.00671281432710326,3.77211072708457
"6","0.2-0.5","c1_t7_h9","Oithonidae",0.312381668166753,312.381668166753,1.18782354366406,1187.82354366406,69.5105149552883,282,96.3478260869565,13.6354125,25.27231875,68.65825,33.72105625,0.271166667,4.793,17.5485,4.377575,127.52,14.88966667,1.386,16.9485,0.108,10.919,4.7989,34.31751471,43.229,1,54.45089622,30,0.5,"1","C1-T7-H9",6.573255037,-122.4661,36.18643,5.74422573559956,21.713810616863,7.07987795662127,82.5662261961039,0.262986594122521,7.40297322240964
"7","0.2-0.5","c1_t7_h9","Ostracoda",0.00827982420369828,8.27982420369828,1.18782354366406,1187.82354366406,54.8304964539007,282,76,13.6354125,25.27231875,68.65825,33.72105625,0.271166667,4.793,17.5485,4.377575,127.52,14.88966667,1.386,16.9485,0.108,10.919,4.7989,34.31751471,43.229,1,54.45089622,30,0.5,"1","C1-T7-H9",6.573255037,-122.4661,36.18643,2.11382173673437,0.4539868716398,7.07987795662127,65.1289545987318,0.00697058434972393,3.53535929818256
"8","0.2-0.5","c1_t7_h9","Poecilostomatoida",0.0109302044726009,10.9302044726009,1.18782354366406,1187.82354366406,62.5260047281324,282,86.6666666666667,13.6354125,25.27231875,68.65825,33.72105625,0.271166667,4.793,17.5485,4.377575,127.52,14.88966667,1.386,16.9485,0.108,10.919,4.7989,34.31751471,43.229,1,54.45089622,30,0.5,"1","C1-T7-H9",6.573255037,-122.4661,36.18643,2.39153000947924,0.683422016533296,7.07987795662127,74.2698605073257,0.00920187559078404,3.94439617830274
"9","0.2-0.5","c1_t8_h10","Calanoida",0.268732923097448,268.732923097448,0.441731070165006,441.731070165006,223.28654643602,286,312.701754385965,14.52624375,25.12710625,73.9570625,33.7726125,0.293333333,5.056,6.879666667,3.06598125,117.599,33.74833333,0.619,4.617666667,0.519666667,8.4375,3.9444,39.60784898,93.982,0,57.2760461,30,0.5,"1","C1-T8-H10",4.157659552,-122.4958,36.11382,5.59371803546001,60.0044463120858,6.09070125836314,98.6326051106315,0.608363190293734,7.68957161935549
"10","0.2-0.5","c1_t8_h10","Chaetognatha",0,0,0.441731070165006,441.731070165006,228.497902097902,286,320,14.52624375,25.12710625,73.9570625,33.7726125,0.293333333,5.056,6.879666667,3.06598125,117.599,33.74833333,0.619,4.617666667,0.519666667,8.4375,3.9444,39.60784898,93.982,0,57.2760461,30,0.5,"1","C1-T8-H10",4.157659552,-122.4958,36.11382,-Inf,0,6.09070125836314,100.934622824165,0,-7.91777267694692
"11","0.2-0.5","c1_t8_h10","Copepoda<Maxillopoda",0.0547438483406313,54.7438483406313,0.441731070165006,441.731070165006,220.337262737263,286,308.571428571429,14.52624375,25.12710625,73.9570625,33.7726125,0.293333333,5.056,6.879666667,3.06598125,117.599,33.74833333,0.619,4.617666667,0.519666667,8.4375,3.9444,39.60784898,93.982,0,57.2760461,30,0.5,"1","C1-T8-H10",4.157659552,-122.4958,36.11382,4.00266500330863,12.0621096950785,6.09070125836314,97.3298148661592,0.123930264448417,6.08522272632227
"12","0.2-0.5","c1_t8_h10","Harpacticoida",0.00159826177889804,1.59826177889804,0.441731070165006,441.731070165006,228.497902097902,286,320,14.52624375,25.12710625,73.9570625,33.7726125,0.293333333,5.056,6.879666667,3.06598125,117.599,33.74833333,0.619,4.617666667,0.519666667,8.4375,3.9444,39.60784898,93.982,0,57.2760461,30,0.5,"1","C1-T8-H10",4.157659552,-122.4958,36.11382,0.468916650509616,0.365199463481464,6.09070125836314,100.934622824165,0.00361817831446862,2.58786857057374
"13","0.2-0.5","c1_t8_h10","Oithonidae",0.0976417716533643,97.6417716533643,0.441731070165006,441.731070165006,225.881513905941,286,316.335877862595,14.52624375,25.12710625,73.9570625,33.7726125,0.293333333,5.056,6.879666667,3.06598125,117.599,33.74833333,0.619,4.617666667,0.519666667,8.4375,3.9444,39.60784898,93.982,0,57.2760461,30,0.5,"1","C1-T8-H10",4.157659552,-122.4958,36.11382,4.58130539010988,22.0554712015202,6.09070125836314,99.7788828681632,0.221043477011682,6.68871393959294
"14","0.2-0.5","c1_t8_h10","Ostracoda",0.00712087017272295,7.12087017272295,0.441731070165006,441.731070165006,228.497902097902,286,320,14.52624375,25.12710625,73.9570625,33.7726125,0.293333333,5.056,6.879666667,3.06598125,117.599,33.74833333,0.619,4.617666667,0.519666667,8.4375,3.9444,39.60784898,93.982,0,57.2760461,30,0.5,"1","C1-T8-H10",4.157659552,-122.4958,36.11382,1.96302993322628,1.62710389557872,6.09070125836314,100.934622824165,0.0161203742586252,4.08196061723893
"15","0.2-0.5","c1_t8_h10","Poecilostomatoida",0.0118933951219412,11.8933951219412,0.441731070165006,441.731070165006,215.803574203574,286,302.222222222222,14.52624375,25.12710625,73.9570625,33.7726125,0.293333333,5.056,6.879666667,3.06598125,117.599,33.74833333,0.619,4.617666667,0.519666667,8.4375,3.9444,39.60784898,93.982,0,57.2760461,30,0.5,"1","C1-T8-H10",4.157659552,-122.4958,36.11382,2.47598321426069,2.56663717673027,6.09070125836314,95.3271437783782,0.0269245156730735,4.5377532347043
"16","0.2-0.5","c2_t8_h18","Calanoida",0.568369236917116,568.369236917116,0.968507609663761,968.50760966376,76.4264748000224,303,115.135593220339,15.59365,24.5697,64.668,33.34975,0.221166667,4.771,6.914333333,1.7352,127.517,14.88933333,0.475166667,5.279,0.129666667,14.889,8.5157,12.36120755,10.001,0,89.04467932,6,0.5,"2","C2-T8-H18",3.495869841,-123.0914,36.42905,6.34277127251535,43.4384571623539,6.87575633998062,74.0196224235973,0.586850563945944,8.62364010153926
