"","Lambda.Parameter","Lambda.coord","Lambda.covariate","Lambda.p2.5","Lambda.p25","Lambda.p50","Lambda.mean","Lambda.p75","Lambda.p97.5","pool","pool_type","Size","primer","size_fraction","rank_pool"
"1","Lambda","clr_Calanidae","cycle_num",0.0777791639155781,0.0936264525626859,0.101868192301891,0.101913128904702,0.110082410156582,0.125896640993526,"All_S1_18S","All","S1","18S",0.2,1
"2","Lambda","clr_Clausocalanidae","cycle_num",0.0611765411009105,0.0807812484530291,0.0910895961645497,0.0912700687751292,0.101549983298849,0.121897843318719,"All_S1_18S","All","S1","18S",0.2,1
"3","Lambda","clr_Eucalanidae","cycle_num",-0.17302765890094,-0.137644636602115,-0.120276794894019,-0.120870151871292,-0.103946765644107,-0.0715360956809277,"All_S1_18S","All","S1","18S",0.2,1
"4","Lambda","clr_Euphausiidae","cycle_num",0.0343661500040728,0.0500641316564402,0.0584344748934405,0.0583049029430207,0.0664304166485685,0.0822027256531203,"All_S1_18S","All","S1","18S",0.2,1
"5","Lambda","clr_Metridinidae","cycle_num",0.132573647193267,0.152375566744808,0.162495227693967,0.162723646388148,0.172882084946416,0.193448605202956,"All_S1_18S","All","S1","18S",0.2,1
"6","Lambda","clr_Oithonidae","cycle_num",-0.0716456268374488,-0.0479721328264476,-0.036374204652974,-0.0363984163011604,-0.0246975607405181,-0.00206370744616158,"All_S1_18S","All","S1","18S",0.2,1
"7","Lambda","clr_Paracalanidae","cycle_num",0.0341783211347754,0.0508527586291598,0.0593586205224557,0.0593437568361565,0.067740875011154,0.0846075242207786,"All_S1_18S","All","S1","18S",0.2,1
"8","Lambda","clr_Rhincalanidae","cycle_num",-0.11134324628378,-0.0727600417901078,-0.0525472808954406,-0.0523386902921299,-0.0324635738991163,0.00778351849161185,"All_S1_18S","All","S1","18S",0.2,1
"9","Lambda","clr_Salpidae","cycle_num",-0.219696544370439,-0.190889274156478,-0.176542667389191,-0.176854125177549,-0.162562070870265,-0.136695692136763,"All_S1_18S","All","S1","18S",0.2,1
"10","Lambda","clr_other","cycle_num",-0.167756849973625,-0.113946221303321,-0.0866165572203126,-0.0870941202050245,-0.0594896263568786,-0.00787398746611667,"All_S1_18S","All","S1","18S",0.2,1
"11","Lambda","clr_Calanidae","cycle_num",0.132569485948016,0.158016935391108,0.171667920167664,0.171624026079061,0.184867587128787,0.210915064700981,"All_S2_18S","All","S2","18S",0.5,1
"12","Lambda","clr_Clausocalanidae","cycle_num",-0.0334838265677614,0.0017481252067473,0.0190065278722831,0.0185262393559528,0.0355919397885551,0.0685773081618387,"All_S2_18S","All","S2","18S",0.5,1
"13","Lambda","clr_Eucalanidae","cycle_num",-0.0689055233350635,-0.0469118882906845,-0.0360030020493783,-0.035839279695347,-0.0247299368600888,-0.00284396230352105,"All_S2_18S","All","S2","18S",0.5,1
"14","Lambda","clr_Euphausiidae","cycle_num",0.044500944231283,0.0808105443172797,0.0994012082626434,0.0994944161104318,0.118364941770415,0.155221571932546,"All_S2_18S","All","S2","18S",0.5,1
"15","Lambda","clr_Metridinidae","cycle_num",0.137882325568082,0.16444024529805,0.178394090242882,0.178482945071785,0.192306390291565,0.220508627119975,"All_S2_18S","All","S2","18S",0.5,1
"16","Lambda","clr_Oithonidae","cycle_num",-0.190095735238738,-0.163717330779741,-0.151301581999034,-0.151685637090633,-0.139053793681307,-0.116336164880415,"All_S2_18S","All","S2","18S",0.5,1
"17","Lambda","clr_Paracalanidae","cycle_num",-0.16612638652832,-0.126278343636672,-0.106420952876267,-0.107135719586351,-0.08728933257272,-0.0514100410448534,"All_S2_18S","All","S2","18S",0.5,1
