"","Lambda.Parameter","Lambda.coord","Lambda.covariate","Lambda.p2.5","Lambda.p25","Lambda.p50","Lambda.mean","Lambda.p75","Lambda.p97.5","pool","pool_type","Size","primer","size_fraction","rank_pool"
"1","Lambda","clr_Calanidae","cycle_num",0.064764068786799,0.0793860091643914,0.0872169576983153,0.0871385299247166,0.0947815199262896,0.109405947823406,"All_S1_18S","All","S1","18S",0.2,1
"2","Lambda","clr_Clausocalanidae","cycle_num",0.0485292455494762,0.0671708955503326,0.0762779047471116,0.076519366067946,0.0859185801318939,0.105326372415736,"All_S1_18S","All","S1","18S",0.2,1
"3","Lambda","clr_Eucalanidae","cycle_num",-0.190709028895101,-0.152365926529089,-0.133693718348344,-0.13399063952922,-0.115608612826092,-0.0782355290658466,"All_S1_18S","All","S1","18S",0.2,1
"4","Lambda","clr_Euphausiidae","cycle_num",0.0187958082215936,0.0352913040061982,0.0435223877836323,0.0435016872790232,0.0517061421891532,0.0682227989526639,"All_S1_18S","All","S1","18S",0.2,1
"5","Lambda","clr_Metridinidae","cycle_num",0.11740786043122,0.137786727301467,0.147670538485631,0.147808279494168,0.157971421959793,0.177463818780895,"All_S1_18S","All","S1","18S",0.2,1
"6","Lambda","clr_Oithonidae","cycle_num",-0.0860491123607461,-0.0629502957817887,-0.0512726196059023,-0.0513706335312887,-0.0397254138640887,-0.0175342646487958,"All_S1_18S","All","S1","18S",0.2,1
"7","Lambda","clr_Paracalanidae","cycle_num",0.0197361168306643,0.0358652322137513,0.0443752521677449,0.0442980466409352,0.0526373608389578,0.0688793882632446,"All_S1_18S","All","S1","18S",0.2,1
"8","Lambda","clr_Rhincalanidae","cycle_num",-0.125757214806927,-0.0871749928705247,-0.0673918970748305,-0.0673109035243658,-0.0474258729776367,-0.00879722696067303,"All_S1_18S","All","S1","18S",0.2,1
"9","Lambda","clr_Salpidae","cycle_num",-0.223630757346947,-0.196640554599639,-0.183841811285547,-0.184035386706845,-0.171163144304262,-0.146358421353528,"All_S1_18S","All","S1","18S",0.2,1
"10","Lambda","clr_other","cycle_num",-0.0556336626550482,-0.0180203907139746,0.00103851481516208,0.00105113253070855,0.0202085279816462,0.056855282421389,"All_S1_18S","All","S1","18S",0.2,1
