Sample_ID,Cycle,Tow,Haul,Date,0.2mm,0.5mm,1mm
C1-T1-H3,1,1,3,7/22/2021,483.9,357.7,124
C1-T2-H4,1,2,4,7/22/2021,546.4,253.8,98.2
C1-T3-H5,1,3,5,7/22/2021,0,0,0
C1-T4-H6,1,4,6,7/23/2021,761.6,536.2,162.9
C1-T5-H7,1,5,7,7/23/2021,395.4,222.3,159.6
C1-T6-H8,1,6,8,7/24/2021,594.2,161.3,320
C1-T7-H9,1,7,9,7/25/2021,511.4,380.5,328.6
C1-T8-H10,1,8,10,7/25/2021,330.7,233.5,348.6
C1-T9-H11,1,9,11,7/25/2021,632.3,560.4,846
C2-T1-H12,2,1,12,7/26/2021,735.8,176.3,87.9
C2-T2-H13,2,2,13,7/27/2021,454.5,306.2,289.9
C2-T3-H14,2,3,14,7/28/2021,509.5,226.8,181.9
C2-T4-H15a,2,4,15a,7/28/2021,213,297.4,174.6
C2-T5-H15b,2,5,15b,7/29/2021,715.3,200.1,101.5
C2-T6-H16,2,6,16,7/29/2021,785.6,369.5,456
C2-T7-H17,2,7,17,7/30/2021,700.6,248.7,180.3
C2-T8-H18,2,8,18,7/30/2021,-58.1,-58.9,-63.4
C2-T9-H19,2,9,19,7/31/2021,551,203.8,144.6
C3-T1-H20,3,1,20,8/3/2021,48.6,38.4,19.6
C3-T2-H21,3,2,21,8/3/2021,120.4,76.2,78.5
C3-T3-H22,3,3,22,8/4/2021,31,11.5,14.5
C3-T4-H23,3,4,23,8/4/2021,72.4,57.2,39.9
C3-T5-H24,3,5,24,8/5/2021,70.2,53.4,26.6
C3-T6-H25,3,6,25,8/5/2021,80.8,53.8,77.6
C3-T7-H26,3,7,26,8/6/2021,89.3,51.6,25.4
C3-T8-H27,3,8,27,8/6/2021,83.2,52.8,59
CT1-T1-H28,T1,1,28,8/7/2021,194.3,246.8,330.2
CT1-T2-H29,T1,2,29,8/8/2021,108.9,76.1,79.6
CT1-T3-H30,T1,3,30,8/8/2021,67.2,36.9,23.1
CT1-T4-H31,T1,4,31,8/9/2021,-53.7,-53.5,-54.5
CT1-T5-H32,T1,5,32,8/9/2021,-57.5,-57.1,-57.6
CT1-T6-H33,T1,6,33,8/9/2021,151.7,137.2,135.1
CT1-T7-H34,T1,7,34,8/9/2021,427.3,498.6,458.7
CT1-T8-H35,T1,8,35,8/10/2021,-55.7,-58.3,-53.2
CT2-T1-H36,T2,1,36,8/10/2021,-61.7,-57.4,-56.6
CT2-T2-H37,T2,2,37,8/10/2021,387.1,381.6,300
CT2-T3-H38,T2,3,38,8/10/2021,226.7,150,65.6
CT2-T4-H39,T2,4,39,8/10/2021,-59.8,-60.4,-58.4
CT2-T5-H40,T2,5,40,8/10/2021,476.1,516.7,376.6
CT2-T6-H41,T2,6,41,8/11/2021,323.9,140.9,124.9
CT2-T7-H42,T2,7,42,8/11/2021,551.9,553.2,190.4
CT2-T8-H43,T2,8,43,8/11/2021,-57.1,-61.3,-58.2
