,Sample_name,cycle_num,Pool,sample_id,sample_num
1,20C_AllPool.1,20,1,20C_AllPool,Calibration
2,20C_AllPool.2,20,2,20C_AllPool,Calibration
3,20C_AllPool.3,20,3,20C_AllPool,Calibration
4,24C_AllPool.1,24,1,24C_AllPool,Calibration
5,24C_AllPool.2,24,2,24C_AllPool,Calibration
6,24C_AllPool.3,24,3,24C_AllPool,Calibration
7,28C_AllPool.1,28,1,28C_AllPool,Calibration
8,28C_AllPool.2,28,2,28C_AllPool,Calibration
9,28C_AllPool.3,28,3,28C_AllPool,Calibration
1,20C_Pooled.A1.A3.1,20,1,20C_Pooled.A1.A3,Calibration
2,20C_Pooled.A1.A3.2,20,2,20C_Pooled.A1.A3,Calibration
3,20C_Pooled.A1.A3.3,20,3,20C_Pooled.A1.A3,Calibration
4,24C_Pooled.A1.A3.1,24,1,24C_Pooled.A1.A3,Calibration
5,24C_Pooled.A1.A3.2,24,2,24C_Pooled.A1.A3,Calibration
6,24C_Pooled.A1.A3.3,24,3,24C_Pooled.A1.A3,Calibration
7,28C_Pooled.A1.A3.1,28,1,28C_Pooled.A1.A3,Calibration
8,28C_Pooled.A1.A3.2,28,2,28C_Pooled.A1.A3,Calibration
9,28C_Pooled.A1.A3.3,28,3,28C_Pooled.A1.A3,Calibration
10,20C_Pooled.B3.B5.1,20,1,20C_Pooled.B3.B5,Calibration
11,20C_Pooled.B3.B5.2,20,2,20C_Pooled.B3.B5,Calibration
12,20C_Pooled.B3.B5.3,20,3,20C_Pooled.B3.B5,Calibration
13,24C_Pooled.B3.B5.1,24,1,24C_Pooled.B3.B5,Calibration
14,24C_Pooled.B3.B5.2,24,2,24C_Pooled.B3.B5,Calibration
15,24C_Pooled.B3.B5.3,24,3,24C_Pooled.B3.B5,Calibration
16,28C_Pooled.B3.B5.1,28,1,28C_Pooled.B3.B5,Calibration
17,28C_Pooled.B3.B5.2,28,2,28C_Pooled.B3.B5,Calibration
18,28C_Pooled.B3.B5.3,28,3,28C_Pooled.B3.B5,Calibration
19,20C_Pooled.C5.C7.1,20,1,20C_Pooled.C5.C7,Calibration
20,20C_Pooled.C5.C7.2,20,2,20C_Pooled.C5.C7,Calibration
21,20C_Pooled.C5.C7.3,20,3,20C_Pooled.C5.C7,Calibration
22,24C_Pooled.C5.C7.1,24,1,24C_Pooled.C5.C7,Calibration
23,24C_Pooled.C5.C7.2,24,2,24C_Pooled.C5.C7,Calibration
24,24C_Pooled.C5.C7.3,24,3,24C_Pooled.C5.C7,Calibration
25,28C_Pooled.C5.C7.1,28,1,28C_Pooled.C5.C7,Calibration
26,28C_Pooled.C5.C7.2,28,2,28C_Pooled.C5.C7,Calibration
