"","Sample_name","cycle_num","Pool","sample_id","sample_num"
"1","20C_AllPool.1",20,"1","20C_AllPool","Calibration"
"2","20C_AllPool.2",20,"2","20C_AllPool","Calibration"
"3","20C_AllPool.3",20,"3","20C_AllPool","Calibration"
"4","24C_AllPool.1",24,"1","24C_AllPool","Calibration"
"5","24C_AllPool.2",24,"2","24C_AllPool","Calibration"
"6","24C_AllPool.3",24,"3","24C_AllPool","Calibration"
"7","28C_AllPool.1",28,"1","28C_AllPool","Calibration"
"8","28C_AllPool.2",28,"2","28C_AllPool","Calibration"
"9","28C_AllPool.3",28,"3","28C_AllPool","Calibration"
"10","C1.T7.H9_S2.1",30,"1","C1.T7.H9_S2","C1.T7.H9_S2"
"11","C1.T7.H9_S2.2",30,"2","C1.T7.H9_S2","C1.T7.H9_S2"
"12","C1.T8.H10_S2.1",30,"1","C1.T8.H10_S2","C1.T8.H10_S2"
"13","C1.T8.H10_S2.2",30,"2","C1.T8.H10_S2","C1.T8.H10_S2"
"14","C2.T8.H18_S2.1",30,"1","C2.T8.H18_S2","C2.T8.H18_S2"
"15","C2.T8.H18_S2.2",30,"2","C2.T8.H18_S2","C2.T8.H18_S2"
"16","C2.T9.H19_S2.1",30,"1","C2.T9.H19_S2","C2.T9.H19_S2"
"17","C2.T9.H19_S2.2",30,"2","C2.T9.H19_S2","C2.T9.H19_S2"
"18","C3.T6.H25_S2.1",30,"1","C3.T6.H25_S2","C3.T6.H25_S2"
"19","C3.T6.H25_S2.2",30,"2","C3.T6.H25_S2","C3.T6.H25_S2"
"20","C3.T7.H26_S2.1",30,"1","C3.T7.H26_S2","C3.T7.H26_S2"
"21","C3.T7.H26_S2.2",30,"2","C3.T7.H26_S2","C3.T7.H26_S2"
"22","CT1.T1.H28_S2.1",30,"1","CT1.T1.H28_S2","CT1.T1.H28_S2"
"23","CT1.T1.H28_S2.2",30,"2","CT1.T1.H28_S2","CT1.T1.H28_S2"
"24","CT1.T2.H29_S2.1",30,"1","CT1.T2.H29_S2","CT1.T2.H29_S2"
"25","CT1.T2.H29_S2.2",30,"2","CT1.T2.H29_S2","CT1.T2.H29_S2"
"26","CT1.T3.H30_S2.1",30,"1","CT1.T3.H30_S2","CT1.T3.H30_S2"
"27","CT1.T4.H31_S2.2",30,"2","CT1.T4.H31_S2","CT1.T4.H31_S2"
"28","CT1.T5.H32_S2.1",30,"1","CT1.T5.H32_S2","CT1.T5.H32_S2"
"29","CT1.T5.H32_S2.2",30,"2","CT1.T5.H32_S2","CT1.T5.H32_S2"
"30","CT1.T6.H33_S2.1",30,"1","CT1.T6.H33_S2","CT1.T6.H33_S2"
"31","CT1.T6.H33_S2.2",30,"2","CT1.T6.H33_S2","CT1.T6.H33_S2"
"32","CT1.T7.H34_S2.1",30,"1","CT1.T7.H34_S2","CT1.T7.H34_S2"
"33","CT1.T7.H34_S2.2",30,"2","CT1.T7.H34_S2","CT1.T7.H34_S2"
"34","CT1.T8.H35_S2.1",30,"1","CT1.T8.H35_S2","CT1.T8.H35_S2"
"35","CT1.T8.H35_S2.2",30,"2","CT1.T8.H35_S2","CT1.T8.H35_S2"
"36","CT2.T1.H36_S2.1",30,"1","CT2.T1.H36_S2","CT2.T1.H36_S2"
"37","CT2.T1.H36_S2.2",30,"2","CT2.T1.H36_S2","CT2.T1.H36_S2"
"38","CT2.T4.H39_S2.1",30,"1","CT2.T4.H39_S2","CT2.T4.H39_S2"
"39","CT2.T4.H39_S2.2",30,"2","CT2.T4.H39_S2","CT2.T4.H39_S2"
"40","CT2.T8.H43_S2.1",30,"1","CT2.T8.H43_S2","CT2.T8.H43_S2"
"41","CT2.T8.H43_S2.2",30,"2","CT2.T8.H43_S2","CT2.T8.H43_S2"
"42","C1.T7.H9_S2.3",30,"3","C1.T7.H9_S2","C1.T7.H9_S2"
"43","C2.T8.H18_S2.3",30,"3","C2.T8.H18_S2","C2.T8.H18_S2"
"44","C2.T9.H19_S2.3",30,"3","C2.T9.H19_S2","C2.T9.H19_S2"
"45","C3.T6.H25_S2.3",30,"3","C3.T6.H25_S2","C3.T6.H25_S2"
"46","C3.T7.H26_S2.3",30,"3","C3.T7.H26_S2","C3.T7.H26_S2"
"47","CT1.T1.H28_S2.3",30,"3","CT1.T1.H28_S2","CT1.T1.H28_S2"
"48","CT1.T2.H29_S2.3",30,"3","CT1.T2.H29_S2","CT1.T2.H29_S2"
"49","CT1.T4.H31_S2.3",30,"3","CT1.T4.H31_S2","CT1.T4.H31_S2"
"50","CT1.T5.H32_S2.3",30,"3","CT1.T5.H32_S2","CT1.T5.H32_S2"
"51","CT1.T7.H34_S2.3",30,"3","CT1.T7.H34_S2","CT1.T7.H34_S2"
"52","CT1.T8.H35_S2.4",30,"4","CT1.T8.H35_S2","CT1.T8.H35_S2"
"53","CT2.T4.H39_S2.3",30,"3","CT2.T4.H39_S2","CT2.T4.H39_S2"
"54","CT2.T8.H43_S2.3",30,"3","CT2.T8.H43_S2","CT2.T8.H43_S2"
