,Sample_name,cycle_num,Pool,sample_id,sample_num
,20C_AllPool.1,20,1,20C_AllPool,Calibration
1,20C_AllPool.2,20,2,20C_AllPool,Calibration
2,20C_AllPool.3,20,3,20C_AllPool,Calibration
3,24C_AllPool.1,24,1,24C_AllPool,Calibration
4,24C_AllPool.2,24,2,24C_AllPool,Calibration
5,24C_AllPool.3,24,3,24C_AllPool,Calibration
6,24C_Pooled.A1.A3.1,24,1,24C_Pooled.A1.A3,Calibration
7,24C_Pooled.A1.A3.2,24,2,24C_Pooled.A1.A3,Calibration
8,24C_Pooled.A1.A3.3,24,3,24C_Pooled.A1.A3,Calibration
9,24C_Pooled.B3.B5.1,24,1,24C_Pooled.B3.B5,Calibration
10,24C_Pooled.B3.B5.2,24,2,24C_Pooled.B3.B5,Calibration
11,24C_Pooled.B3.B5.3,24,3,24C_Pooled.B3.B5,Calibration
12,24C_Pooled.C5.C7.1,24,1,24C_Pooled.C5.C7,Calibration
13,24C_Pooled.C5.C7.2,24,2,24C_Pooled.C5.C7,Calibration
14,24C_Pooled.C5.C7.3,24,3,24C_Pooled.C5.C7,Calibration
15,28C_AllPool.1,28,1,28C_AllPool,Calibration
16,28C_AllPool.2,28,2,28C_AllPool,Calibration
17,28C_AllPool.3,28,3,28C_AllPool,Calibration
18,28C_Pooled.A1.A3.1,28,1,28C_Pooled.A1.A3,Calibration
19,28C_Pooled.A1.A3.2,28,2,28C_Pooled.A1.A3,Calibration
20,28C_Pooled.A1.A3.3,28,3,28C_Pooled.A1.A3,Calibration
21,28C_Pooled.B3.B5.1,28,1,28C_Pooled.B3.B5,Calibration
22,28C_Pooled.B3.B5.2,28,2,28C_Pooled.B3.B5,Calibration
23,28C_Pooled.B3.B5.3,28,3,28C_Pooled.B3.B5,Calibration
24,28C_Pooled.C5.C7.1,28,1,28C_Pooled.C5.C7,Calibration
25,28C_Pooled.C5.C7.2,28,2,28C_Pooled.C5.C7,Calibration
26,28C_Pooled.C5.C7.3,28,3,28C_Pooled.C5.C7,Calibration
27,C1.T7.H9_S1.1,30,1,C1.T7.H9_S1,C1.T7.H9_S1
28,C1.T7.H9_S1.2,30,2,C1.T7.H9_S1,C1.T7.H9_S1
29,C1.T7.H9_S1.3,30,3,C1.T7.H9_S1,C1.T7.H9_S1
30,C1.T7.H9_S2.2,30,2,C1.T7.H9_S2,C1.T7.H9_S2
31,C1.T7.H9_S2.3,30,3,C1.T7.H9_S2,C1.T7.H9_S2
32,C1.T7.H9_S3.2,30,2,C1.T7.H9_S3,C1.T7.H9_S3
