"","Family","20C_AllPool.1","20C_AllPool.2","20C_AllPool.3","24C_AllPool.1","24C_AllPool.2","24C_AllPool.3","28C_AllPool.1","28C_AllPool.2","28C_AllPool.3","20C_Pooled.A1.A3.1","20C_Pooled.A1.A3.2","20C_Pooled.A1.A3.3","24C_Pooled.A1.A3.1","24C_Pooled.A1.A3.2","24C_Pooled.A1.A3.3","28C_Pooled.A1.A3.1","28C_Pooled.A1.A3.2","20C_Pooled.B3.B5.1","20C_Pooled.B3.B5.2","20C_Pooled.B3.B5.3","24C_Pooled.B3.B5.1","24C_Pooled.B3.B5.2","24C_Pooled.B3.B5.3","28C_Pooled.B3.B5.1","28C_Pooled.B3.B5.2","28C_Pooled.B3.B5.3","20C_Pooled.C5.C7.1","20C_Pooled.C5.C7.2","20C_Pooled.C5.C7.3","24C_Pooled.C5.C7.1","24C_Pooled.C5.C7.2","24C_Pooled.C5.C7.3","28C_Pooled.C5.C7.1","28C_Pooled.C5.C7.2","28C_Pooled.C5.C7.3","C1.T7.H9_S2.1","C1.T7.H9_S2.2","C1.T8.H10_S2.1","C1.T8.H10_S2.2","C2.T8.H18_S2.1","C2.T8.H18_S2.2","C2.T9.H19_S2.1","C2.T9.H19_S2.2","C3.T6.H25_S2.1","C3.T6.H25_S2.2","C3.T7.H26_S2.1","C3.T7.H26_S2.2","CT1.T1.H28_S2.1","CT1.T1.H28_S2.2","CT1.T2.H29_S2.1","CT1.T5.H32_S2.1","CT1.T5.H32_S2.2","CT1.T6.H33_S2.1","CT1.T6.H33_S2.2","CT1.T7.H34_S2.1","CT1.T7.H34_S2.2","CT1.T8.H35_S2.1","CT1.T8.H35_S2.2","CT2.T1.H36_S2.1","CT2.T1.H36_S2.2","CT2.T4.H39_S2.1","CT2.T4.H39_S2.2","CT2.T8.H43_S2.1","CT2.T8.H43_S2.2","C1.T7.H9_S2.3","C2.T8.H18_S2.3","C2.T9.H19_S2.3","C3.T6.H25_S2.3","C3.T7.H26_S2.3","CT1.T1.H28_S2.3","CT1.T2.H29_S2.3","CT1.T4.H31_S2.3","CT1.T5.H32_S2.3","CT1.T7.H34_S2.3","CT1.T8.H35_S2.4","CT2.T4.H39_S2.3","CT2.T8.H43_S2.3"
"1","Calanidae",54905,47602,41872,26164,31671,31844,20107,24239,20325,14335,12469,18544,16396,9491,7329,3172,4912,8113,5182,2959,7380,5784,5020,2507,2802,4816,40096,89975,38688,70532,40731,47604,32353,37209,25258,163,2536,1083,9782,1879,7502,988,4094,480,2731,4470,11356,3353,5504,277,382,1163,1954,11577,16704,51663,2327,50992,16483,14695,8827,22473,4042,28282,713,7020,4284,1012,582,3135,390,0,736,17497,21011,19765,996
"2","Clausocalanidae",2787,2431,2014,1506,1555,1756,1008,1027,1143,1927,1581,2654,2253,1415,758,363,610,9799,5967,1450,9977,7430,7444,3481,3722,6718,331,897,336,697,372,513,329,282,238,0,0,0,0,0,28,0,0,473,2285,359,1153,171,426,163,19,32,77,958,0,23,0,21,123,85,40,144,0,85,0,5347,0,1338,0,234,261,0,0,0,0,125,0
"3","Eucalanidae",454,312,281,89,84,92,19,16,33,156,119,210,115,68,37,0,0,335,237,188,187,157,132,6,19,27,206,456,217,125,108,180,12,19,6,0,0,0,4,8,16,0,0,18,62,9,17,0,4,90,93,333,123,271,12,57,0,41,76,132,1,3,11,8,0,43,0,7,0,0,45,0,66,0,0,0,0
"4","Euphausiidae",11996,7825,6157,3485,5519,4433,2254,3070,5225,9565,9477,14714,15430,8883,5799,2997,4123,1438,1134,529,1357,1125,736,252,367,455,5047,9295,5673,6090,4182,6180,2601,2947,1360,0,156,159,577,664,2500,2537,19145,27,170,79,297,231,319,8276,89,272,1353,9443,0,322,408,10007,0,530,2899,8372,229,329,0,3597,23613,0,0,42,16438,0,78,23,3305,6595,0
"5","Metridinidae",59721,52311,47020,30296,36763,35862,23015,27240,23665,91655,74168,107448,110094,58060,51093,23258,39576,85453,41802,13988,87846,70970,65527,37019,32992,70653,16436,36308,15816,24246,15033,20134,10079,12027,6918,2670,71643,634,6779,6111,23037,522,1444,2744,17206,1016,2869,28195,45008,12609,10580,26884,3457,24743,146,404,490,7860,51438,45808,89,249,882,4453,32598,44997,1490,10388,80,42241,22226,323,16700,0,2085,169,146
"6","Oithonidae",481,364,221,133,136,104,14,34,62,735,545,1067,907,658,301,88,207,430,377,80,408,258,289,72,80,141,88,130,76,72,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,141,148,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0
"7","Paracalanidae",2667,2377,2005,1065,1322,1274,618,592,1013,4145,3084,5114,4774,2939,2016,855,1026,2713,2115,754,2338,1877,1524,680,844,1185,652,1157,597,745,460,600,193,272,153,0,0,0,0,0,0,0,0,7,0,0,0,0,6,9,0,0,0,0,0,2,0,0,799,738,0,0,0,0,0,538,0,0,0,0,0,0,0,0,0,0,0
"8","Rhincalanidae",730,633,546,413,500,516,318,346,321,383,293,581,634,379,314,125,226,172,99,32,228,190,186,156,87,220,552,1111,544,1062,587,690,433,485,304,10,79,0,367,13,146,0,118,0,0,0,0,96,175,0,121,341,0,0,66,252,0,374,668,558,305,869,0,509,29,415,96,0,0,215,0,0,166,51,97,521,12
"9","Salpidae",199,160,155,71,102,98,0,28,86,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,189,270,169,127,0,160,26,15,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,35,154,0,38,45,66,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0
"10","other",17337,14048,10559,4726,5437,6629,2443,2841,6085,1515,1306,1980,1331,864,358,22,161,55952,24585,6004,64387,65050,40661,33327,18108,39938,6305,11476,7101,7369,5051,6825,1308,1847,733,6,207,23,117,65,296,35,171,249,907,214,919,558,701,4254,35,105,882,2512,3828,15043,9,323,66,102,21,94,0,0,0,104,33,92,0,168,4947,100,0,2613,19,0,0
