"","Kingdom","Phylum","Subphylum","Class","Subclass","Superorder","Order","Family","Genus","Species"
"35575e116e325762dc8dd4b84658d0f40e9893bc","Animalia","Chordata","Tunicata","Thaliacea","Subclass","Superorder","Pyrosomatida","Pyrosomatidae","",""
"856adbbd6780d096aa923a18481a9884b70edf25","Animalia","Chordata","Tunicata","Thaliacea","Subclass","Superorder","Pyrosomatida","Pyrosomatidae","",""
"752ee5d1eb330fc163da83ca9ce2b4b43c516f38","Animalia","Chordata","Tunicata","Thaliacea","Subclass","Superorder","Pyrosomatida","Pyrosomatidae","",""
"8d3c2f5d3115b3aa36d0587056e8e61d5a7b648e","Animalia","Chordata","Tunicata","Thaliacea","Subclass","Superorder","Pyrosomatida","Pyrosomatidae","",""
"24343a445c96b997808a056ab7913470b690936b","Animalia","Chordata","Tunicata","Thaliacea","Subclass","Superorder","Salpida","Salpidae","Cyclosalpa",""
"3c32d58513825484c47705b7d424175ab81ca09e","Animalia","Chordata","Tunicata","Thaliacea","Subclass","Superorder","Doliolida","Doliolidae","",""
"e8c867b771f1595f664b51c1e7f55e562918988d","Animalia","Ctenophora","Subphylum","Tentaculata","Subclass","Superorder","Lobata","Bolinopsidae","Mnemiopsis","Mnemiopsis leidyi"
"e7e5a55191a6dba9d4ebcfe2f16d28f5e273e7f6","Animalia","Ctenophora","Subphylum","Tentaculata","Subclass","Superorder","Lobata","Bolinopsidae","Mnemiopsis","Mnemiopsis leidyi"
"bc2413b5e5b85a292db786067c64c6aad50c0f49","Animalia","Chordata","Tunicata","Thaliacea","Subclass","Superorder","Salpida","Salpidae","Thalia",""
"a6a306e0ed20f07af4ff7fb964132dbff0cbe1a6","Animalia","Chordata","Tunicata","Thaliacea","Subclass","Superorder","Doliolida","Doliolidae","",""
"ba8a3abb314f0832bdd308d5785636a9abb6baf8","Animalia","Chordata","Tunicata","Appendicularia","Subclass","Superorder","Copelata","Oikopleuridae","Oikopleura",""
"dd7072b661c5b53f5177a820ab2c1ca431c1df7b","Animalia","Chordata","Tunicata","Thaliacea","Subclass","Superorder","Salpida","Salpidae","Pegea",""
"45fb698feef52a2164490c6bef2c419c3277f950","Animalia","Chordata","Tunicata","Thaliacea","Subclass","Superorder","Pyrosomatida","Pyrosomatidae","",""
"db2d5a15ad2778f1196b4a48b1578b92877e25d0","Animalia","Chordata","Tunicata","Thaliacea","Subclass","Superorder","Pyrosomatida","Pyrosomatidae","",""
