"","Genus","24C_AllPool.1","24C_AllPool.2","24C_AllPool.3","28C_AllPool.1","28C_AllPool.2","28C_AllPool.3","C1.T7.H9_S1.2","C1.T8.H10_S1.2","C2.T8.H18_S1.1","C2.T8.H18_S1.2","C3.T6.H25_S1.1","C3.T6.H25_S1.2","C3.T7.H26_S1.1","C3.T7.H26_S1.2","CT1.T1.H28_S1.1","CT1.T1.H28_S1.2","CT1.T2.H29_S1.1","CT1.T2.H29_S1.2","CT1.T3.H30_S1.1","CT1.T3.H30_S1.2","CT1.T5.H32_S1.1","CT1.T5.H32_S1.2","CT1.T6.H33_S1.1","CT1.T6.H33_S1.2","CT1.T7.H34_S1.1","CT1.T7.H34_S1.2","CT1.T8.H35_S1.2","CT2.T1.H36_S1.1","CT2.T1.H36_S1.2","CT2.T4.H39_S1.1","CT2.T4.H39_S1.2","CT2.T8.H43_S1.1","CT2.T8.H43_S1.2","C1.T8.H10_S1.3","C2.T8.H18_S1.3","C3.T6.H25_S1.3","C3.T7.H26_S1.3","CT1.T1.H28_S1.3","CT1.T2.H29_S1.3","CT1.T3.H30_S1.3","CT1.T5.H32_S1.3","CT1.T6.H33_S1.3","CT1.T7.H34_S1.3","CT1.T8.H35_S1.4","CT2.T8.H43_S1.3"
"1","Acrocalanus",7,3,0,0,5,17,20,0,6,26,0,46,0,91,32,101,42,114,0,33,0,278,0,210,5,0,89,0,25,570,3442,0,46,0,41,0,5,0,8,0,11,0,0,0,0
"2","Calanus",1307,703,666,3569,3968,6987,1902,520,29,253,0,0,0,0,36,106,7,3,0,0,0,52,0,11,282,384,134,20,101,218,3397,169,209,47,301,0,65,32,0,0,0,0,633,1053,51
"3","Ctenocalanus",71,41,37,107,94,349,7967,2156,171,1335,93,2103,1259,4290,267,1416,5128,5110,12236,13279,446,3835,324,1418,963,730,253,12,112,0,10,688,1007,312,2043,193,307,300,1830,2914,348,514,1866,20,375
"4","Ditrichocorycaeus",0,9,0,20,19,24,1475,746,0,122,0,2,0,0,0,20,0,0,0,0,0,5,9,22,140,427,670,0,12,0,3,436,527,27,105,0,0,0,0,0,0,0,341,168,224
"5","Eucalanus",63,0,0,0,0,584,779,0,0,0,5,31,0,0,0,0,0,0,0,0,14,76,0,0,31,31,35,2,0,553,8447,0,8,0,12,0,862,0,0,0,0,0,7,748,0
"6","Euchaeta",7,0,0,0,0,6,41,0,0,0,18,658,538,1118,36,227,47,91,93,88,0,12,0,29,0,0,4,0,0,0,0,12,31,0,0,42,141,0,0,0,0,5,0,0,0
"7","Euphausia",303,207,176,1022,1114,2900,13546,6173,930,7899,6,48,42,20,19,82,3,8,0,0,0,9,0,11,120,30,460,1533,8499,73,347,24858,20925,1894,14600,0,28,0,0,0,0,0,66,35,27825
"8","Metridia",6,0,0,5,7,21,42,19,0,22,0,3,0,7,0,138,0,26,0,0,5,68,0,13,0,2,27,0,19,0,8,0,22,0,16,0,8,14,0,0,0,0,0,6,0
"9","Muggiaea",4,0,0,0,3,14,36,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,18,14,98,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,10,0,0
"10","Pleuromamma",16,13,0,17,17,73,160,16,9,30,12,283,194,138,69,306,729,445,572,220,55,191,0,4,0,0,66,13,78,0,47,1169,739,0,43,0,21,78,206,16,24,0,0,11,573
"11","Pyroteuthis",3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"12","Rosacea",39,26,19,45,63,211,68,0,6,14,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,62,0,0,0,2,0,0,0,10,0,0,0,0,0,0,0,0,0,0
"13","Sagitta",26,14,0,19,24,127,63,7,0,8,0,0,0,0,72,126,14,9,0,0,0,0,13,13,173,0,44,25,0,51,128,9,0,0,0,0,15,0,0,0,0,17,29,14,0
"14","other",41,16,8,11,6,24,10579,1444,67,600,173,3842,1806,2081,404,1870,588,1207,3698,2055,397,1914,226,2151,454,155,4064,67,485,373,3581,329,315,18,368,250,451,249,48,105,165,238,113,679,7
"15","unidentified Calanoida",116,57,6,223,247,690,21904,4028,256,2428,305,5009,6435,13889,464,2710,6858,6895,15326,10160,1309,5904,270,1581,148,115,863,101,875,130,685,1242,1731,1800,3212,692,2021,261,2821,1995,845,471,296,294,1568
