"","Genus","24C_AllPool.1","24C_AllPool.2","24C_AllPool.3","28C_AllPool.1","28C_AllPool.2","28C_AllPool.3","C1.T7.H9_S2.2","C1.T8.H10_S2.2","C2.T8.H18_S2.1","C2.T8.H18_S2.2","C2.T9.H19_S2.1","C2.T9.H19_S2.2","C3.T6.H25_S2.2","C3.T7.H26_S2.1","C3.T7.H26_S2.2","CT1.T1.H28_S2.1","CT1.T1.H28_S2.2","CT1.T2.H29_S2.1","CT1.T2.H29_S2.2","CT1.T5.H32_S2.1","CT1.T5.H32_S2.2","CT1.T6.H33_S2.1","CT1.T6.H33_S2.2","CT1.T7.H34_S2.1","CT1.T7.H34_S2.2","CT1.T8.H35_S2.1","CT1.T8.H35_S2.2","CT2.T1.H36_S2.1","CT2.T1.H36_S2.2","CT2.T4.H39_S2.1","CT2.T4.H39_S2.2","CT2.T8.H43_S2.1","CT2.T8.H43_S2.2","C1.T7.H9_S2.3","C2.T8.H18_S2.3","C2.T9.H19_S2.3","C3.T6.H25_S2.3","CT1.T1.H28_S2.3","CT1.T2.H29_S2.3","CT1.T5.H32_S2.3","CT1.T7.H34_S2.3","CT1.T8.H35_S2.3","CT2.T4.H39_S2.3","CT2.T8.H43_S2.3"
"1","Acrocalanus",7,3,0,0,5,17,74,0,19,65,0,6,19,14,15,145,322,32,133,0,43,0,0,0,0,0,4,128,138,0,0,0,0,0,60,0,0,43,0,0,0,0,0,0
"2","Calanus",1307,703,666,3569,3968,6987,3304,6786,629,3897,117,1297,0,0,0,246,674,0,8,13,68,33,292,9088,18151,343,10692,8202,5746,8258,16170,2617,18737,698,2949,526,0,131,0,29,7121,4243,10768,1273
"3","Ctenocalanus",71,41,37,107,94,349,0,0,15,32,0,0,0,0,0,2,2,9,68,0,0,7,33,0,0,0,10,22,18,0,0,44,39,0,98,0,0,0,0,0,0,0,0,0
"4","Ditrichocorycaeus",0,9,0,20,19,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,4,23,0,15,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","Eucalanus",63,0,0,0,0,584,8,120,67,726,5,0,560,239,732,21,139,1078,3352,3884,11454,45,2159,679,2753,27,652,6625,6398,303,916,31,105,0,2342,0,24,0,790,5135,128,74,189,0
"6","Euchaeta",7,0,0,0,0,6,113,0,0,0,0,0,172,0,0,27,117,388,2219,0,0,62,361,0,0,0,22,0,0,0,0,38,38,0,0,0,12,6,273,0,0,0,0,0
"7","Euphausia",303,207,176,1022,1114,2900,739,866,929,4734,1723,16381,9,6,11,19,23,9,111,0,0,26,129,375,836,414,7336,13897,5854,1457,2543,548,1249,42,3902,11516,0,0,9,0,58,2148,965,26
"8","Metridia",6,0,0,5,7,21,6017,15,5,117,0,0,0,0,0,18,71,5,52,7,116,2,9,0,0,0,51,153,574,0,0,0,9,1114,61,0,0,7,0,0,0,0,0,0
"9","Muggiaea",4,0,0,0,3,14,25,0,0,18,0,0,0,0,0,0,20,0,0,0,0,0,18,61,360,0,40,0,2,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0
"10","Pleuromamma",16,13,0,17,17,73,2029,230,43,89,10,11,28,7,33,154,260,164,414,0,5,0,53,0,0,26,422,3918,1422,0,0,221,580,380,62,6,0,25,48,0,0,63,0,13
"11","Pyroteuthis",3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","Rosacea",39,26,19,45,63,211,881,4576,74,913,25,147,0,0,0,169,1238,0,0,0,0,0,0,0,0,8,135,0,0,0,35,0,0,53,319,34,0,102,0,0,0,0,0,0
"13","Sagitta",26,14,0,19,24,127,457,217,358,395,138,138,0,0,0,1556,921,81,96,13,14,389,654,2307,1345,247,854,5096,506,1537,766,150,46,85,513,39,0,271,0,0,317,212,803,0
"14","other",41,16,8,11,6,24,4543,308,223,1089,45,109,11253,2316,2194,2351,4461,1756,10798,3944,4429,1485,8407,86,497,100,1541,1863,1062,65,167,38,343,404,1151,15,3096,691,520,1824,9,88,6,0
"15","unidentified Calanoida",116,57,6,223,247,690,1708,65,241,1083,15,26,3800,4405,7943,576,1777,318,1335,18,272,324,2416,14,56,41,605,131,544,543,996,82,169,358,1212,0,1074,278,71,2,0,14,210,0
