"","Genus","24C_AllPool.1","24C_AllPool.2","24C_AllPool.3","28C_AllPool.1","28C_AllPool.2","28C_AllPool.3","C1.T7.H9_S3.2","C1.T8.H10_S3.2","C2.T8.H18_S3.2","C2.T9.H19_S3.2","C3.T7.H26_S3.2","CT1.T1.H28_S3.1","CT1.T1.H28_S3.2","CT1.T2.H29_S3.1","CT1.T2.H29_S3.2","CT1.T3.H30_S3.2","CT1.T4.H31_S3.1","CT1.T4.H31_S3.2","CT1.T5.H32_S3.2","CT1.T6.H33_S3.1","CT1.T6.H33_S3.2","CT1.T7.H34_S3.2","CT1.T8.H35_S3.1","CT1.T8.H35_S3.2","CT2.T1.H36_S3.1","CT2.T1.H36_S3.2","CT2.T4.H39_S3.1","CT2.T4.H39_S3.2","CT2.T8.H43_S3.1","CT2.T8.H43_S3.2","C1.T7.H9_S3.3","C1.T8.H10_S3.3","C2.T9.H19_S3.3","CT1.T1.H28_S3.3","CT1.T4.H31_S3.3","CT1.T5.H32_S3.3","CT1.T6.H33_S3.3","CT2.T1.H36_S3.3","CT2.T4.H39_S3.3","CT2.T8.H43_S3.3"
"1","Acrocalanus",7,3,0,0,5,17,1336,41,0,0,0,52,152,127,499,0,70,304,502,0,0,0,119,705,60,383,0,0,32,56,89,0,0,139,11,26,0,13,0,0
"2","Calanus",1307,703,666,3569,3968,6987,1343,214,0,714,49,103,179,0,0,0,86,195,0,0,7,3550,130,2176,708,4639,11442,3223,2130,8029,121,0,1217,15,0,0,0,1547,5843,7293
"3","Ctenocalanus",71,41,37,107,94,349,0,0,0,0,0,0,0,5,12,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","Ditrichocorycaeus",0,9,0,20,19,24,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","Eucalanus",63,0,0,0,0,584,3237,51,559,26360,7751,70,667,13,42,0,424,1172,5379,0,12,3948,186,4530,868,8239,3082,991,563,3219,320,0,44296,188,90,601,0,2407,1649,1116
"6","Euchaeta",7,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","Euphausia",303,207,176,1022,1114,2900,8469,25790,6695,14556,0,10311,17561,70,308,0,1330,1947,0,23,122,1225,1999,20777,22,102,0,0,1279,2714,1292,6707,21595,6398,205,0,0,0,0,788
"8","Metridia",6,0,0,5,7,21,107,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,22,547,0,0,0,0,0,0,0,0,0,0,0,18,0,0
"9","Muggiaea",4,0,0,0,3,14,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","Pleuromamma",16,13,0,17,17,73,29,29,4,3,0,32,83,23,57,0,0,0,75,0,3,0,0,37,205,1015,0,0,4,0,0,2,0,75,0,0,0,188,0,2
"11","Pyroteuthis",3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,13,0,4229,49752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17139,0,0,0
"12","Rosacea",39,26,19,45,63,211,6056,811,7888,80,0,0,0,0,0,0,0,22,0,0,0,0,0,4,0,0,0,0,57,232,313,41,15,0,0,0,0,0,0,0
"13","Sagitta",26,14,0,19,24,127,159,0,3,13,0,230,195,14,24,11,29,58,51,30,37,1477,139,158,435,512,788,90,392,241,0,0,0,145,0,0,0,87,112,48
"14","other",41,16,8,11,6,24,4162,1698,497,12910,14761,1952,4736,7111,13147,31795,10879,11763,6159,890,7778,9410,97,663,1280,7489,1004,700,65,78,165,76,16475,2843,1806,520,4378,1504,172,0
"15","unidentified Calanoida",116,57,6,223,247,690,933,7,100,225,1566,329,370,256,610,79,1756,1190,1490,24,60,628,11,90,10,428,557,463,66,370,104,0,5,274,165,12,0,4,200,37
