"","C1.T7.H9","C1.T8.H10","C2.T8.H18","C2.T9.H19","C3.T6.H25","C3.T7.H26","CT1.T1.H28","CT1.T2.H29","CT1.T3.H30","CT1.T4.H31","CT1.T5.H32","CT1.T6.H33","CT1.T7.H34","CT1.T8.H35","CT2.T1.H36","CT2.T4.H39","CT2.T8.H43"
" 35575e116e325762dc8dd4b84658d0f40e9893bc",32,0,0,265,31,143,0,0,0,0,0,60,32,161,99,882,0
" 856adbbd6780d096aa923a18481a9884b70edf25",61,14,0,1626,75,522,0,0,0,0,0,414,302,2344,185,14103,67
" 752ee5d1eb330fc163da83ca9ce2b4b43c516f38",19,0,0,364,37,131,0,0,0,0,0,146,0,115,83,915,0
" 74f9bdd8535b4c6fc6cb14fdc86019d1de069cb0",3959,67,71434,1887,0,81,144,538,0,0,12,0,0,0,97,0,27
" 9a70de23c085314e6ab43e55dcb56fce70587663",146,37,1399,870,25,41,63,0,0,0,0,21,0,0,112,16,19
" 4542bee4db4c3075a68a0a82768eab3497580077",31,253,17,7544,0,0,0,0,0,111,5,440,176,372,0,759,8
" 49acecd02ccd5770ea0f75f351550aa447901a5c",42,36,0,745,0,0,0,0,0,64,0,82,0,29,0,97,11
"Pleuromamma 0260bfbe825d95aca7b54a0909f97b59dc580e78",669,221,812,49,1944,1269,1114,2078,0,520,76,49,0,764,1613,0,1720
"Clausocalanus furcatus 0656642f62c1149ffd9a6000db43c45838593471",2,0,0,0,412,274,126,860,397,0,17,26,0,15,0,27,74
"Metridia 0a7d08e86294ec5dfcde2f0af15831906a30bd24",91,17,0,0,0,0,8,118,0,0,596,142,0,0,705,0,0
"Ctenocalanus vanus 0de53510347e58dabda2dc43270f04ad3ea2da5c",414,0,543,0,1593,3062,757,1184,1510,1381,228,52124,220,54,78,242,478
"Metridia 10c3d1c8405b910ef842f394542a5580dc7e9010",2158,591,2341,0,219,1192,852,703,545,543,1645,693,482,673,2964,0,782
"Byrathis penicillatus 114d9a26e85197775de9b4d539b22900e02bb33c",424,0,901,0,0,0,0,241,0,192,446,0,0,41,0,0,0
"Pseudocalanus elongatus 14185f4dd88bc581f98ab10ffd2cb11423e579a1",44,10,0,0,0,0,189,0,0,0,245,0,0,0,109,0,0
"Rhincalanus 14b9ad84102f6b00cde2ca65946dd1e9ce5121c3",95,0,110,0,0,29,101,0,0,0,112,0,0,55,76,0,65
"Metridia 14c23d62f3cde5e060e5aa22522eeea5c941e860",172,0,103,0,33,41,0,190,0,40,867,74,76,154,711,0,0
"Rhincalanus 1784e869dc2724619a035c17ab1fff64ceb125f7",214,232,478,3786,0,0,136,0,0,0,158,0,568,1566,1112,21532,5194
"Ctenocalanus vanus 19e2d8924e99f1a60555875f40f2f4abbcb91b22",55,180,359,0,272,785,438,847,757,154,1327,203,42,78,187,0,251
