"","C1-T7-H9_S1","C1-T7-H9_S2","C1-T7-H9_S3","C1-T8-H10_S1","C1-T8-H10_S2","C1-T8-H10_S3","C2-T8-H18_S1","C2-T8-H18_S2","C2-T8-H18_S3","C2-T9-H19_S2","C2-T9-H19_S3","C3-T6-H25_S1","C3-T6-H25_S2","C3-T6-H25_S3","C3-T7-H26_S1","C3-T7-H26_S2","20C_Pooled-A1-A3.1","20C_Pooled-A1-A3.2","20C_Pooled-A1-A3.3","24C_Pooled-A1-A3.1","24C_Pooled-A1-A3.2","24C_Pooled-A1-A3.3","28C_Pooled-A1-A3.1","28C_Pooled-A1-A3.2"
" 10c3d1c8405b910ef842f394542a5580dc7e9010",719.333333333333,0,0,295.5,0,0,677,103.333333333333,0,0,0,73,0,0,397.333333333333,0,1022,694,1035,1151,739,688,470,566
"Calanus helgolandicus 2010a621a13cf49374bf4c950a42175421a652b0",143,0,162,0,0,0,0,541,136,181,294,0,0,0,167,0,243,218,343,382,165,184,125,162
"Neocalanus cristatus 207114b11583026b14531339aeff5641dd94caec",19,0,0,24,0,0,7,46.3333333333333,0,0,0,21,105,0,62.3333333333333,27,110,91,99,160,127,112,51,76
"Metridia pacifica 21ed13fe3ace8060314f604c98eb7b593d0e6ba2",1471,875.333333333333,827,900,251,0,1202.66666666667,1918.66666666667,0,104.666666666667,0,570.333333333333,284,0,1389.66666666667,180,3974,3411,4724,6170,3394,3145,1684,3028
"Metridia pacifica 2cfd457adc6936d89195dd4765ae81286f8b0ed5",1404.66666666667,724.666666666667,421,811.5,393.5,0,1029,1610,0,185,30,23,80.6666666666667,0,223.666666666667,19.3333333333333,3773,2774,4191,5297,2926,2940,1533,2704
" 2f9a39c8d8b69f7eedcd3582326b652370ce2ab1",2674,52,5390,383,368,13160,550,1680,10062,12585,6212,571.666666666667,0,262,0,0,7725,7397,11229,11697,6695,5052,2329,3214
"Metridia pacifica 3855bfab8b2afdb2b740530c990e9a2535c5a15b",3155,1911.66666666667,651,1610.5,797.5,5,2409.33333333333,3136.33333333333,0,180,0,89.3333333333333,95,0,273.666666666667,28.3333333333333,8976,7052,10426,12120,6187,5021,2694,4573
" 3907c0c3540893fea852cf1e2e15ee876e097dc1",406.333333333333,0,0,0,0,0,0,482,485,164.333333333333,0,382.666666666667,0,0,333,0,1268,1175,1753,1865,1100,747,309,456
" 3b46a0689c4dc296a5046eb3cfb003a0ca04e7fe",101.666666666667,0,43,0,6,6.5,0,105.333333333333,25,1,0,0,45.6666666666667,0,36.3333333333333,16.6666666666667,124,73,148,146,110,79,34,49
"Calanus helgolandicus 50ae18a387ee0c27a601b2de29233b88891665e2",1680,60.6666666666667,347.5,112.5,2459,73.5,343.333333333333,1149,0,1277.66666666667,1580,0,0,0,15,0,4613,4217,6233,3205,1791,1225,314,442
" 5153fd153d032ca08987dc412a9c67b6794b21bf",120.666666666667,17,48,13,47.5,0,2.66666666666667,89.6666666666667,1284.66666666667,33.6666666666667,2893,0,0,0,0,0,447,419,602,439,205,136,29,43
"Metridia pacifica 5548f5906a4522e2196d674ad3826fb4fc8430b8",45,111,520,23,19,0,46.3333333333333,231,0,4,0,9,50.3333333333333,0,90.6666666666667,15.3333333333333,409,292,475,501,271,230,139,231
" 5c28fb044703f8d7dc9a17c20a178f0e34feb322",1606.66666666667,714,456.5,638,589,6.5,1097.33333333333,1438,0,234.333333333333,18,0,0,0,82,0,3335,2705,4202,4626,2780,2444,1391,2077
"Paracalanus parvus 5d9ee140b17e218e06fffae434d6dad14ebb91db",712.666666666667,0,0,198,0,0,515.666666666667,70.3333333333333,0,0,0,101.666666666667,0,0,375.666666666667,0,763,462,996,1168,832,617,339,443
" 6950a504c858e51241cac98cb4b1b8cad81eff0e",170,154.666666666667,931.5,72.5,28.5,0,74,301.333333333333,31,36.6666666666667,0,75,122,0,239.666666666667,52.3333333333333,414,454,444,592,340,314,221,328
"Metridia pacifica 6b976e008f3c98aa86cb64aa686cbfcb409c8f0a",1001.66666666667,540.333333333333,444,592.5,123.5,0,738,990,0,43.6666666666667,0,240,175.333333333333,0,727.666666666667,30.3333333333333,2443,2000,2808,3648,2214,1831,936,1484
"Calanus helgolandicus 6db8cc221939cdc8c55a0191ffe9bdeca0679b0e",18.3333333333333,0,206.5,0,33.5,0,0,60,0,59.3333333333333,0,0,0,0,0,0,45,63,77,67,49,41,21,18
"Calanus helgolandicus 6e6b2ae850506cc0ea7baa4492214e7987501560",2532.33333333333,303,788,365.5,1465,45.5,831,1895.66666666667,84.6666666666667,1107.66666666667,1395.5,0,0,0,72.6666666666667,0,4578,3978,5752,5916,3330,2392,914,1422
"Calanus helgolandicus 78f54f41acba54d14189a57d673d19a7e9c4b936",429.333333333333,45.3333333333333,77.5,92,431.5,9.5,179,397,0,155,0,0,0,0,5,0,675,571,860,1010,559,467,290,496
