"","C1-T7-H9_S1","C1-T7-H9_S2","C1-T7-H9_S3","C1-T8-H10_S1","C1-T8-H10_S2","C1-T8-H10_S3","C2-T8-H18_S1","C2-T8-H18_S2","C2-T8-H18_S3","C2-T9-H19_S2","C2-T9-H19_S3","C3-T6-H25_S1","C3-T6-H25_S2","C3-T6-H25_S3","C3-T7-H26_S1","C3-T7-H26_S2","C3-T7-H26_S3","CT1-T1-H28_S1","CT1-T1-H28_S2","CT1-T1-H28_S3","CT1-T2-H29_S1","CT1-T2-H29_S2","CT1-T2-H29_S3","CT1-T3-H30_S1","CT1-T3-H30_S2","CT1-T3-H30_S3","CT1-T4-H31_S1","CT1-T4-H31_S2","CT1-T4-H31_S3","CT1-T5-H32_S1","CT1-T5-H32_S2","CT1-T5-H32_S3","CT1-T6-H33_S1","CT1-T6-H33_S2","CT1-T6-H33_S3","CT1-T7-H34_S1","CT1-T7-H34_S2","CT1-T7-H34_S3","CT1-T8-H35_S1","CT1-T8-H35_S2","CT1-T8-H35_S3","CT2-T1-H36_S1","CT2-T1-H36_S2","CT2-T1-H36_S3","CT2-T4-H39_S1","CT2-T4-H39_S2","CT2-T4-H39_S3","CT2-T8-H43_S1","CT2-T8-H43_S2","CT2-T8-H43_S3","20C_Pooled-C5-C7.1","20C_Pooled-C5-C7.2","20C_Pooled-C5-C7.3","24C_Pooled-C5-C7.1","24C_Pooled-C5-C7.2","24C_Pooled-C5-C7.3","28C_Pooled-C5-C7.1","28C_Pooled-C5-C7.2","28C_Pooled-C5-C7.3","20C_Pooled-A1-A3.1","20C_Pooled-A1-A3.2","20C_Pooled-A1-A3.3","24C_Pooled-A1-A3.1","24C_Pooled-A1-A3.2","24C_Pooled-A1-A3.3","28C_Pooled-A1-A3.1","28C_Pooled-A1-A3.2","20C_Pooled-B3-B5.1","20C_Pooled-B3-B5.2","20C_Pooled-B3-B5.3","24C_Pooled-B3-B5.1","24C_Pooled-B3-B5.2","24C_Pooled-B3-B5.3","28C_Pooled-B3-B5.1","28C_Pooled-B3-B5.2","28C_Pooled-B3-B5.3","20C_AllPool.1","20C_AllPool.2","20C_AllPool.3","24C_AllPool.1","24C_AllPool.2","24C_AllPool.3","28C_AllPool.1","28C_AllPool.2","28C_AllPool.3","Kingdom","Subphylum","Subclass","Superorder"
" 0260bfbe825d95aca7b54a0909f97b59dc580e78",110.333333333333,112.666666666667,0,82,28.5,0,156,114.666666666667,0,16.3333333333333,0,388.666666666667,259.333333333333,0,361.666666666667,61.3333333333333,0,269.333333333333,102,0,647,45.6666666666667,0,0,0,0,145.666666666667,41.5,0,25.3333333333333,0,0,0,24.5,0,0,0,0,238,16.6666666666667,0,188.333333333333,307,144.666666666667,0,0,0,558.333333333333,15,0,92,134,85,112,105,82,54,71,48,242,197,296,308,142,125,154,0,253,204,33,268,197,200,87,138,246,249,203,196,137,131,132,63,72,78,"Animalia","Crustacea","Copepoda","Gymnoplea"
"Ctenocalanus vanus 0de53510347e58dabda2dc43270f04ad3ea2da5c",138,0,0,0,0,0,99.6666666666667,81.3333333333333,0,0,0,531,0,0,1020.66666666667,0,0,252.333333333333,0,0,394.666666666667,0,0,503.333333333333,0,0,390,105.5,0,76,0,0,17374.6666666667,0,0,73.3333333333333,0,0,18,0,0,26,0,0,121,0,0,159.333333333333,0,0,0,175,0,0,0,0,0,0,0,341,283,411,290,155,98,0,0,501,361,0,455,367,300,0,0,196,348,284,206,111,110,104,0,0,0,"Animalia","Crustacea","Copepoda","Gymnoplea"
" 10c3d1c8405b910ef842f394542a5580dc7e9010",719.333333333333,0,0,295.5,0,0,677,103.333333333333,0,0,0,73,0,0,397.333333333333,0,0,284,0,0,234.333333333333,0,0,181.666666666667,0,0,181,0,0,548.333333333333,0,0,231,0,0,160.666666666667,0,0,224.333333333333,0,0,714.333333333333,410.5,0,0,0,0,260.666666666667,0,0,29,62,25,32,0,37,0,54,0,1022,694,1035,1151,739,688,470,566,605,356,35,714,583,571,420,438,660,225,229,186,173,198,187,128,173,161,"Animalia","Crustacea","Copepoda","Gymnoplea"
"Pleuromamma abdominalis 10d98a9e8191737474408e3922019918cf9ce20e",0,0,291,0,0,291,0,361.666666666667,8.33333333333333,0,0,0,68.3333333333333,0,227.333333333333,13.6666666666667,0,0,0,1219,0,48.3333333333333,1732,0,0,0,30.3333333333333,0,0,0,0,99.3333333333333,0,0,0,0,0,0,0,0,617,24.3333333333333,0,0,477.5,0,0,0,0,0,0,33,0,0,0,0,0,0,0,68,44,73,106,0,0,0,0,53,60,7,99,61,100,0,0,77,57,38,38,0,0,0,0,0,0,"Animalia","Crustacea","Copepoda","Gymnoplea"
" 14c23d62f3cde5e060e5aa22522eeea5c941e860",48.6666666666667,0,13,0,0,0,0,34.3333333333333,0,0,0,0,11,0,10.6666666666667,3,0,0,0,0,0,63.3333333333333,0,0,0,0,0,20,0,10,271.333333333333,7.66666666666667,0,37,0,25.3333333333333,0,0,46,0,8,0,154.5,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,99,82,52,26,0,0,85,64,0,107,70,76,0,44,82,66,0,59,29,0,40,35,0,0,"Animalia","Crustacea","Copepoda","Gymnoplea"
" 1784e869dc2724619a035c17ab1fff64ceb125f7",30.3333333333333,0,8,0,58,0,0,36,43.6666666666667,20.3333333333333,916,0,0,0,0,0,0,2.66666666666667,14.3333333333333,5.66666666666667,0,0,0,0,0,0,0,0,0,17.3333333333333,9,0,0,0,0,0,36.3333333333333,58.3333333333333,193.333333333333,61,10,19,112,91.6666666666667,347,233,3124.33333333333,11,71,783.666666666667,189,431,213,366,204,264,106,107,45,66,31,76,73,42,31,0,14,17,11,0,32,20,23,6,5,19,252,193,141,129,125,123,52,52,75,"Animalia","Crustacea","Copepoda","Gymnoplea"
"Ctenocalanus vanus 19e2d8924e99f1a60555875f40f2f4abbcb91b22",18.3333333333333,0,0,90,0,0,45,74.6666666666667,0,0,0,90.6666666666667,0,0,261.666666666667,0,0,146,0,0,282.333333333333,0,0,252.333333333333,0,0,51.3333333333333,0,0,442.333333333333,0,0,67.6666666666667,0,0,14,0,0,26,0,0,49,20,0,0,0,0,83.6666666666667,0,0,0,0,0,0,0,0,0,0,0,137,105,186,187,116,0,0,90,425,248,0,483,470,369,310,277,440,60,40,62,48,0,56,69,0,41,"Animalia","Crustacea","Copepoda","Gymnoplea"
"Clausocalanus furcatus 1a08bb6d37d7924e5dab4c0408f64896eacb991a",103.333333333333,0,0,29,0,0,73,284.333333333333,0,0,0,1176.33333333333,129.333333333333,0,3135.66666666667,135.333333333333,0,841,61.6666666666667,0,1578,58,27.5,1530.33333333333,152,0,1120.33333333333,106.5,7.66666666666667,2880.66666666667,0,0,1975.33333333333,103.5,0,63,0,0,255.666666666667,0,17,166.666666666667,18.5,0,0,0,0,119.666666666667,0,0,57,75,103,35,29,90,0,0,0,311,227,342,253,359,161,0,90,3664,2207,887,3250,2184,2317,911,1140,1531,615,515,401,314,238,330,90,161,158,"Animalia","Crustacea","Copepoda","Gymnoplea"
" 1c13e9ef7e8cb97448c9556c5cae61a9ab171c33",13,0,0,0,61.5,0,0,15.3333333333333,0,34,319.5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1.33333333333333,0,0,0,2.33333333333333,8.66666666666667,86.3333333333333,83.6666666666667,77.3333333333333,80,0,10,77.5,45,132.5,294.333333333333,2271.66666666667,0,94.6666666666667,637.666666666667,206,377,207,399,227,269,190,210,144,0,0,38,42,23,0,0,0,0,0,0,0,0,0,0,0,0,186,154,124,74,126,112,82,94,71,"Animalia","Crustacea","Copepoda","Gymnoplea"
" 1e823715b95b2e76d7b69608b26072704c7c2ef1",32.6666666666667,5,0,10,33.5,0,22,25.3333333333333,0,11.6666666666667,0,14,20.6666666666667,0,14.6666666666667,8.66666666666667,0,16,21.3333333333333,0,22,2,0,0,0,0,4.33333333333333,5,0,4.66666666666667,0,0,0,11,0,0,0,0,32,30.3333333333333,0,61,87.5,51,0,0,0,76.3333333333333,39,0,144,229,116,212,176,123,84,132,62,56,22,55,82,32,28,33,0,27,12,6,41,27,28,13,11,19,167,153,177,93,102,122,51,68,61,"Animalia","Crustacea","Copepoda","Gymnoplea"
"Calanus helgolandicus 2010a621a13cf49374bf4c950a42175421a652b0",143,0,162,0,0,0,0,541,136,181,294,0,0,0,167,0,0,0,159,164,0,0,0,0,0,0,0,0,0,342,0,0,191,0,0,179,0,0,284,0,0,0,0,0,0,230,892,100,0,257,193,352,145,377,197,189,250,245,209,243,218,343,382,165,184,125,162,313,138,0,305,259,246,242,149,275,441,443,340,335,387,326,328,383,297,"Animalia","Crustacea","Copepoda","Gymnoplea"
"Neocalanus cristatus 207114b11583026b14531339aeff5641dd94caec",19,0,0,24,0,0,7,46.3333333333333,0,0,0,21,105,0,62.3333333333333,27,0,223.333333333333,147,0,196.333333333333,185.333333333333,1,396.333333333333,108,0,85.3333333333333,33,0,716.333333333333,147.666666666667,0,0,193,0,0,0,0,11,0,0,0,64.5,55.3333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,91,99,160,127,112,51,76,607,441,66,760,605,456,377,471,716,83,58,67,41,76,63,0,68,68,"Animalia","Crustacea","Copepoda","Gymnoplea"
"Metridia pacifica 21ed13fe3ace8060314f604c98eb7b593d0e6ba2",1471,875.333333333333,827,900,251,0,1202.66666666667,1918.66666666667,0,104.666666666667,0,570.333333333333,284,0,1389.66666666667,180,0,2649,2253,31.3333333333333,2078.66666666667,633,0,610.666666666667,1093,0,886.333333333333,459,0,2803,1132.66666666667,94,1781.33333333333,777,0,1054,0,0,1936.33333333333,147.333333333333,127,1140.66666666667,3045,1831,19,0,0,1482.33333333333,70,0,757,1693,638,1417,911,1011,766,862,521,3974,3411,4724,6170,3394,3145,1684,3028,4365,2127,0,5439,4446,4248,3264,2734,5866,3110,2716,2621,2197,2831,2663,2044,2270,2136,"Animalia","Crustacea","Copepoda","Gymnoplea"
"Eucalanus californicus 247f09ccc8ae0ecc2da039900610e5494db93abe",63,0,41,0,2,112.5,1.66666666666667,22.3333333333333,126,0,1756,0,29,0,3.66666666666667,8.66666666666667,1.66666666666667,3.33333333333333,1.33333333333333,16.6666666666667,0,229.666666666667,10,0,21,0,26,32,8,9.66666666666667,164,62.3333333333333,0,197,0,19.6666666666667,23,27,82,13.6666666666667,34,31.3333333333333,104,176.333333333333,317,1.33333333333333,430,1,6.33333333333333,42,206,439,217,125,108,180,12,19,6,156,119,210,115,68,37,0,0,335,237,188,187,157,132,6,19,27,416,312,281,89,84,92,19,16,33,"Animalia","Crustacea","Copepoda","Gymnoplea"
" 2655c6ab73c0d798851414a6bc09fc1b4469d3a9",0,0,113.5,0,0,6120.5,0,82.6666666666667,13,0,0,0,76,2772,75.3333333333333,0,0,0,0,3864,0,103.333333333333,59572.5,0,0,0,23.6666666666667,0,0,0,0,148,0,0,0,0,0,0,0,0,935,0,0,7.66666666666667,1085,0,0,0,0,0,0,32,0,0,0,0,0,0,0,38,51,37,25,0,0,0,0,48,41,27,46,21,41,0,0,11,58,58,29,0,0,0,0,0,0,"Animalia","Crustacea","Copepoda","Gymnoplea"
"Metridia pacifica 2cfd457adc6936d89195dd4765ae81286f8b0ed5",1404.66666666667,724.666666666667,421,811.5,393.5,0,1029,1610,0,185,30,23,80.6666666666667,0,223.666666666667,19.3333333333333,0,1384.66666666667,1793,35.6666666666667,471.666666666667,221.333333333333,0,317.666666666667,194,0,222.333333333333,210,0,1591,819,0,207,641,0,1471.66666666667,7.66666666666667,0,1590.33333333333,353.666666666667,99.5,1324.66666666667,3568.5,2020.66666666667,21.5,35.3333333333333,15.6666666666667,1045,147.666666666667,0,1261,2710,1018,2620,1595,1800,1506,1620,1048,3773,2774,4191,5297,2926,2940,1533,2704,2234,1123,57,2747,2318,2175,1917,1417,2904,3661,3512,3670,2902,3565,3393,2898,3593,2825,"Animalia","Crustacea","Copepoda","Gymnoplea"
" 2f9a39c8d8b69f7eedcd3582326b652370ce2ab1",2674,52,5390,383,368,13160,550,1680,10062,12585,6212,571.666666666667,0,262,0,0,0,152.333333333333,0,1616,0,1859.66666666667,45.5,0,0,0,0,0,565,0,0,0,0,409.5,304.666666666667,63.6666666666667,58,726.333333333333,1368,3489.33333333333,7123,1127.33333333333,150,238,0,4546,0,4873.33333333333,186,5714.66666666667,3848,7057,4363,4921,3338,4636,1828,2099,1092,7725,7397,11229,11697,6695,5052,2329,3214,225,224,223,250,216,131,0,0,0,8848,5942,4818,2716,3816,3497,1766,2273,4127,"Animalia","Crustacea","Eumalacostraca","Eucarida"
" 32c7429ef986d3d6e6568889cab2755dd190fdbc",45.6666666666667,0,26,0,6,0,1,36.6666666666667,0,0,27,0.333333333333333,15.3333333333333,0,5,4,0,3.66666666666667,4.33333333333333,1.33333333333333,0,84.3333333333333,0,0,17,0,4,25.5,0,15.6666666666667,244,0,0,97.5,0,33.3333333333333,2.33333333333333,0,24.6666666666667,6.66666666666667,11.5,9,193,147.666666666667,6,0,0.666666666666667,2.33333333333333,2.33333333333333,0,22,51,25,37,25,35,18,23,10,43,36,50,58,42,37,22,0,70,31,18,65,64,56,30,27,51,68,45,44,36,42,53,32,30,30,"Animalia","Crustacea","Copepoda","Gymnoplea"
"Calanus helgolandicus 341d37f9958a54163d7987e0dc5bb17818c5c7d8",57.6666666666667,0,59,0,97.5,0,0,68.3333333333333,2.66666666666667,81.6666666666667,69.5,0,0,0,3.66666666666667,0,0,9,32.3333333333333,25,0.333333333333333,0,0,0,0,0,0,18.5,0,37.6666666666667,1,0,0.666666666666667,37.5,0,56.6666666666667,81.6666666666667,52,62.3333333333333,296,32.5,28.6666666666667,96,33.6666666666667,235,555,1927,27.6666666666667,115,575.666666666667,275,478,272,563,372,300,366,396,319,45,50,72,86,43,43,0,39,49,20,0,45,33,44,19,25,48,313,287,312,284,288,309,294,318,256,"Animalia","Crustacea","Copepoda","Gymnoplea"
" 363a7fed6b4ef59f0d3847483c765d95cd1bc297",7.33333333333333,0,0,0,0,0,0,6,0,0,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,16.5,0,0,122,85.3333333333333,15,32.6666666666667,0,0,50,47.3333333333333,51,0,266,0,0,29.3333333333333,107,193,143,205,176,191,138,134,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,118,115,102,71,99,0,72,0,"Animalia","Crustacea","Copepoda","Gymnoplea"
"Metridia pacifica 3855bfab8b2afdb2b740530c990e9a2535c5a15b",3155,1911.66666666667,651,1610.5,797.5,5,2409.33333333333,3136.33333333333,0,180,0,89.3333333333333,95,0,273.666666666667,28.3333333333333,0,3360.33333333333,4085,81.6666666666667,516,326.333333333333,0,444.333333333333,160,0,430,388,0,2154.66666666667,1042,0,107.333333333333,1661.5,0,2236.33333333333,31.6666666666667,0,3635.66666666667,893.666666666667,196,3898.33333333333,7824,4936,22.5,13,0,1990,474.333333333333,0,3837,8489,3663,6119,3837,5139,2132,2752,1399,8976,7052,10426,12120,6187,5021,2694,4573,4688,2348,564,5640,4558,4239,2485,2281,4809,10699,9996,9059,6637,7841,7838,4882,5759,4685,"Animalia","Crustacea","Copepoda","Gymnoplea"
"Oithona similis 388725f240f778bbad66a1a652b752a88fd3956a",164.666666666667,0,0,23.5,0,0,67.6666666666667,0,0,0,0,31.6666666666667,0,0,72.6666666666667,0,0,72.6666666666667,0,0,51,0,0,59.6666666666667,0,0,45,0,0,90.6666666666667,0,0,62.6666666666667,2.5,0,0,0,0,101.333333333333,0,0,549,95,0,0,0,0,17.3333333333333,0,0,88,130,76,72,0,62,0,0,0,422,370,603,419,262,123,0,29,185,188,80,161,132,107,0,0,43,371,296,221,82,136,104,14,34,62,"Animalia","Crustacea","Copepoda","Podoplea"
