"","C3-T7-H26_S3","CT1-T1-H28_S1","CT1-T1-H28_S2","CT1-T1-H28_S3","CT1-T2-H29_S1","CT1-T2-H29_S2","CT1-T2-H29_S3","CT1-T3-H30_S1","CT1-T3-H30_S2","CT1-T3-H30_S3","CT1-T4-H31_S1","CT1-T4-H31_S2","CT1-T4-H31_S3","CT1-T5-H32_S1","CT1-T5-H32_S2","CT1-T5-H32_S3","CT1-T6-H33_S1","20C_Pooled-B3-B5.1","20C_Pooled-B3-B5.2","20C_Pooled-B3-B5.3","24C_Pooled-B3-B5.1","24C_Pooled-B3-B5.2","24C_Pooled-B3-B5.3","28C_Pooled-B3-B5.1","28C_Pooled-B3-B5.2","28C_Pooled-B3-B5.3"
" 0260bfbe825d95aca7b54a0909f97b59dc580e78",0,269.333333333333,102,0,647,45.6666666666667,0,0,0,0,145.666666666667,41.5,0,25.3333333333333,0,0,0,253,204,33,268,197,200,87,138,246
" 10c3d1c8405b910ef842f394542a5580dc7e9010",0,284,0,0,234.333333333333,0,0,181.666666666667,0,0,181,0,0,548.333333333333,0,0,231,605,356,35,714,583,571,420,438,660
"Clausocalanus furcatus 1a08bb6d37d7924e5dab4c0408f64896eacb991a",0,841,61.6666666666667,0,1578,58,27.5,1530.33333333333,152,0,1120.33333333333,106.5,7.66666666666667,2880.66666666667,0,0,1975.33333333333,3664,2207,887,3250,2184,2317,911,1140,1531
" 1e823715b95b2e76d7b69608b26072704c7c2ef1",0,16,21.3333333333333,0,22,2,0,0,0,0,4.33333333333333,5,0,4.66666666666667,0,0,0,27,12,6,41,27,28,13,11,19
"Neocalanus cristatus 207114b11583026b14531339aeff5641dd94caec",0,223.333333333333,147,0,196.333333333333,185.333333333333,1,396.333333333333,108,0,85.3333333333333,33,0,716.333333333333,147.666666666667,0,0,607,441,66,760,605,456,377,471,716
"Eucalanus californicus 247f09ccc8ae0ecc2da039900610e5494db93abe",1.66666666666667,3.33333333333333,1.33333333333333,16.6666666666667,0,229.666666666667,10,0,21,0,26,32,8,9.66666666666667,164,62.3333333333333,0,335,237,188,187,157,132,6,19,27
"Metridia pacifica 2cfd457adc6936d89195dd4765ae81286f8b0ed5",0,1384.66666666667,1793,35.6666666666667,471.666666666667,221.333333333333,0,317.666666666667,194,0,222.333333333333,210,0,1591,819,0,207,2234,1123,57,2747,2318,2175,1917,1417,2904
" 32c7429ef986d3d6e6568889cab2755dd190fdbc",0,3.66666666666667,4.33333333333333,1.33333333333333,0,84.3333333333333,0,0,17,0,4,25.5,0,15.6666666666667,244,0,0,70,31,18,65,64,56,30,27,51
"Metridia pacifica 3855bfab8b2afdb2b740530c990e9a2535c5a15b",0,3360.33333333333,4085,81.6666666666667,516,326.333333333333,0,444.333333333333,160,0,430,388,0,2154.66666666667,1042,0,107.333333333333,4688,2348,564,5640,4558,4239,2485,2281,4809
" 3907c0c3540893fea852cf1e2e15ee876e097dc1",0,81.3333333333333,125.333333333333,282,685,10252,0,480.333333333333,11807,0,1349.33333333333,0,0,148.333333333333,146.333333333333,232,43.3333333333333,1146,851,306,1056,853,580,252,367,455
"Metridia pacifica 3a4660f8928b0bba5379764b63c8f98ae30a1d3b",0,800.333333333333,808.333333333333,423.666666666667,2225.66666666667,3135.33333333333,608.5,1733,146,0,499.333333333333,369.5,0,448.666666666667,354.666666666667,358.666666666667,67.3333333333333,1480,739,153,1713,1366,1340,778,727,1433
"Calanus helgolandicus 50ae18a387ee0c27a601b2de29233b88891665e2",3.33333333333333,440.666666666667,494.666666666667,549.666666666667,18,0.666666666666667,20,0,0,0,142.666666666667,147.5,59.6666666666667,139.666666666667,31.6666666666667,0,189,1617,1045,1273,900,596,537,89,131,243
" 5153fd153d032ca08987dc412a9c67b6794b21bf",0,34,88.3333333333333,12,1.33333333333333,0,0,0,0,0,0,0,0,89.6666666666667,90,20,0,266,170,200,194,170,134,37,48,108
" 56db9b8934558866af0f1f1eaf48a1122b20eb51",0,26.6666666666667,0,0,21.3333333333333,25,0,76.6666666666667,22,0,38,6,0,135.666666666667,0,0,15,139,72,43,159,135,108,21,49,69
" 5c28fb044703f8d7dc9a17c20a178f0e34feb322",0,1004.66666666667,1505,158.666666666667,111.333333333333,0,5.5,0,17,0,113.333333333333,210.5,0,406.666666666667,248,0,92,1065,629,167,1233,966,883,729,680,1235
"Paracalanus parvus 5d9ee140b17e218e06fffae434d6dad14ebb91db",0,245.666666666667,0,2.66666666666667,161,0,0,260.666666666667,0,0,136,0,0,610,0,0,246,490,428,38,524,531,441,403,395,579
"Calanus helgolandicus 6e6b2ae850506cc0ea7baa4492214e7987501560",3,871,1184,542.666666666667,54,3.33333333333333,0,0,0,20,143.666666666667,269,0,465,177.333333333333,2.66666666666667,300,1421,922,545,1620,1349,1192,404,446,915
"Neocalanus cristatus 7761526519fda29c5c9ac6663b370054e80b7263",0,106,47,0.666666666666667,35.6666666666667,95,8,237,46,0,141.333333333333,18,0,275,16.6666666666667,0,58.6666666666667,1037,742,526,522,418,327,77,115,127
"Calanus helgolandicus 78f54f41acba54d14189a57d673d19a7e9c4b936",0,77,280,74.3333333333333,3.33333333333333,0,0,0,1,0,4.66666666666667,26.5,0,73.6666666666667,25.3333333333333,0,0.333333333333333,95,74,9,157,137,102,84,73,143
"Pleuromamma borealis 7ed69f089c6a810c9434950899ffa09ad91e3f6d",0,59.3333333333333,16.6666666666667,0,193.333333333333,44,0,0,0,0,91,16,0,3,0,0,0,178,98,59,100,75,73,3,8,15
"Ctenocalanus vanus 7f93c2356b7a75855bf23901a4a4946a09c74ed6",0,195,0,0,422.333333333333,0,6,707.333333333333,40,0,163,0,3.66666666666667,781.333333333333,0,0,610.333333333333,975,517,171,882,704,663,291,297,479
"Paracalanus parvus 961cd5ce154310c7fd54468560aca8d35041c8c7",0,452,0,14.3333333333333,242.333333333333,0,15,533,0,0,677,5.5,0,1032.33333333333,0,0,1972.66666666667,2077,1607,704,1623,1199,1002,180,368,499
"Metridia pacifica 97d5948bd4b4362b9bfcff8f47c1af49259ea0d2",0,1092,633.333333333333,19,1652,473,0,574,0,0,541.333333333333,244.5,0,1881.66666666667,503,116.666666666667,1517.66666666667,2044,1031,166,2607,2212,2041,1590,1336,2524
" 9b9f6e13b644886afad8864d6601b2000dae17a0",0.333333333333333,0.333333333333333,2.33333333333333,7,0,0.666666666666667,0,0,0,0,0.333333333333333,13,0.666666666666667,3.33333333333333,24.6666666666667,0,0,15,10,28,14,11,8,6,5,7
" a32d276e30f76e771318e8c516046bc05f72db69",0,207.666666666667,331.333333333333,215.666666666667,1263.33333333333,2819.66666666667,28,3603.66666666667,260,0,335.666666666667,216,0,396.333333333333,158.333333333333,684,236.666666666667,857,450,123,1041,798,741,363,398,746
"Metridia pacifica b0c15e6164ee940205efe0f1e1a0a0c19435ec9f",0,53972.3333333333,24553.3333333333,298.666666666667,15969.3333333333,9488.33333333333,187,3335.66666666667,3751,14,14632.3333333333,3568,16.3333333333333,13005.3333333333,11078.6666666667,532,13821.3333333333,58325,28122,12253,55843,44257,41064,20579,19221,41159
" b308f1ff1c8a4490fc47c87f05295b7e5a4a6610",0,0,52,197,32,132,0,271,0,0,30,0,0,85,16,0,0,97,59,12,145,128,95,45,61,81
" b39500169f19f6f7dc74cde23a266fe3bd9d8079",0,47.6666666666667,110,4.66666666666667,1.33333333333333,0,0,0,0,0,3,0,0,59,147.666666666667,4.66666666666667,0,96,56,32,118,95,102,73,56,128
" bb43537ab7d266d059e40deb9e1f8536790adc35",0,197.666666666667,340.333333333333,322.666666666667,424.333333333333,921,32,476.333333333333,0,0,301.333333333333,266.5,43.6666666666667,314.666666666667,179,889,53.6666666666667,770,577,271,763,550,585,253,309,486
" c621ead91f54c394ee29a0669ebe477d85be4b7d",0,326.333333333333,0,0,223.333333333333,0,0,198.333333333333,0,0,153.666666666667,0,0,502.666666666667,0,0,234.666666666667,661,355,45,786,887,589,492,412,768
"Neocalanus gracilis dabec5c8e3721be348236817cddd3c31eb1647ce",30,89,28,0,13.3333333333333,0,16.5,0,5406,30443,203.666666666667,151.5,0,94.3333333333333,0,0,118.666666666667,330,197,103,280,224,176,55,108,98
" e01f93ca2ee277a2bc78e4f8f0e3ee68b98bf1fc",0.666666666666667,0,1,11.6666666666667,0,8.66666666666667,0.5,0,6,0,0.666666666666667,20,2,10,42.6666666666667,0,0,41,19,26,37,27,24,13,13,31
"NA e09b485dd4d1bd133e7845d395237f38d661eb69",34379,99,397.666666666667,46748.6666666667,0,20,159,0,228,780,14984,913,50459,0,0,26505.6666666667,53,49400,22872,5436,56864,57369,37826,30340,17397,36095
"Metridia pacifica e199318c40876066960330bd9ea208fb7639a760",0,340,652,33,52,44.3333333333333,0,118.666666666667,51,0,55.6666666666667,122.5,0,443.333333333333,141,0,36,683,386,129,665,529,543,342,332,641
"Neocalanus cristatus e396f514beb6bb0e29a828575cc7fea775d24085",0,181.666666666667,79.3333333333333,2,100.333333333333,194.666666666667,0,593.333333333333,170,0,121,32,0,804,56,0,79.6666666666667,954,606,191,1038,723,700,222,307,531
"Clausocalanus furcatus f8a30baa160074c5d81f39bbfa5ce59111caa57a",0,636.666666666667,13,0,970.666666666667,9,1,647.666666666667,63,0,401.666666666667,57,0,1500,17,0,266.333333333333,1362,854,99,1641,1234,1323,822,825,1637
" fa7356df1a872486053eb1a14ff614012cdadde9",0,60.6666666666667,42.6666666666667,777.333333333333,355.666666666667,2319.66666666667,605.5,3038.66666666667,59,0,186,65.5,0,52.3333333333333,11.6666666666667,807.333333333333,85.6666666666667,627,357,273,351,279,255,19,38,91
" ff62c6fc3f5f5a03af66155247b74210ad634523",1.33333333333333,3.33333333333333,4.33333333333333,13.6666666666667,0,104.333333333333,0,0,35,0,11.6666666666667,43,0,44.6666666666667,305.666666666667,48,0,184,112,35,190,139,190,56,84,175
"NA Other",3973.33333333333,4219.33333333333,1680.66666666667,7682.16666666667,5617.33333333333,13873,12387,2839.5,11391,4278,7004.16666666667,5486.5,5693.33333333333,7322.16666666667,2029.33333333333,5139.83333333333,25396.3333333333,12826,4684,578,14534,13572,7778,6023,2879,9640
