"","CT1-T6-H33_S2","CT1-T6-H33_S3","CT1-T7-H34_S1","CT1-T7-H34_S2","CT1-T7-H34_S3","CT1-T8-H35_S1","CT1-T8-H35_S2","CT1-T8-H35_S3","CT2-T1-H36_S1","CT2-T1-H36_S2","CT2-T1-H36_S3","CT2-T4-H39_S1","CT2-T4-H39_S2","CT2-T4-H39_S3","CT2-T8-H43_S1","CT2-T8-H43_S2","CT2-T8-H43_S3","20C_Pooled-C5-C7.1","20C_Pooled-C5-C7.2","20C_Pooled-C5-C7.3","24C_Pooled-C5-C7.1","24C_Pooled-C5-C7.2","24C_Pooled-C5-C7.3","28C_Pooled-C5-C7.1","28C_Pooled-C5-C7.2","28C_Pooled-C5-C7.3"
"Pleuromamma 0260bfbe825d95aca7b54a0909f97b59dc580e78",24.5,0,0,0,0,238,16.6666666666667,0,188.333333333333,307,144.666666666667,0,0,0,558.333333333333,15,0,92,134,85,112,105,82,54,71,48
"Rhincalanus 1784e869dc2724619a035c17ab1fff64ceb125f7",0,0,0,36.3333333333333,58.3333333333333,193.333333333333,61,10,19,112,91.6666666666667,347,233,3124.33333333333,11,71,783.666666666667,189,431,213,366,204,264,106,107,45
"Rhincalanus 1c13e9ef7e8cb97448c9556c5cae61a9ab171c33",0,2.33333333333333,8.66666666666667,86.3333333333333,83.6666666666667,77.3333333333333,80,0,10,77.5,45,132.5,294.333333333333,2271.66666666667,0,94.6666666666667,637.666666666667,206,377,207,399,227,269,190,210,144
"Pleuromamma 1e823715b95b2e76d7b69608b26072704c7c2ef1",11,0,0,0,0,32,30.3333333333333,0,61,87.5,51,0,0,0,76.3333333333333,39,0,144,229,116,212,176,123,84,132,62
"Calanus helgolandicus 2010a621a13cf49374bf4c950a42175421a652b0",0,0,179,0,0,284,0,0,0,0,0,0,230,892,100,0,257,193,352,145,377,197,189,250,245,209
"Metridia pacifica 21ed13fe3ace8060314f604c98eb7b593d0e6ba2",777,0,1054,0,0,1936.33333333333,147.333333333333,127,1140.66666666667,3045,1831,19,0,0,1482.33333333333,70,0,757,1693,638,1417,911,1011,766,862,521
"Eucalanus californicus 247f09ccc8ae0ecc2da039900610e5494db93abe",197,0,19.6666666666667,23,27,82,13.6666666666667,34,31.3333333333333,104,176.333333333333,317,1.33333333333333,430,1,6.33333333333333,42,206,439,217,125,108,180,12,19,6
"Metridia pacifica 2cfd457adc6936d89195dd4765ae81286f8b0ed5",641,0,1471.66666666667,7.66666666666667,0,1590.33333333333,353.666666666667,99.5,1324.66666666667,3568.5,2020.66666666667,21.5,35.3333333333333,15.6666666666667,1045,147.666666666667,0,1261,2710,1018,2620,1595,1800,1506,1620,1048
" 2f9a39c8d8b69f7eedcd3582326b652370ce2ab1",409.5,304.666666666667,63.6666666666667,58,726.333333333333,1368,3489.33333333333,7123,1127.33333333333,150,238,0,4546,0,4873.33333333333,186,5714.66666666667,3848,7057,4363,4921,3338,4636,1828,2099,1092
"Metridia 32c7429ef986d3d6e6568889cab2755dd190fdbc",97.5,0,33.3333333333333,2.33333333333333,0,24.6666666666667,6.66666666666667,11.5,9,193,147.666666666667,6,0,0.666666666666667,2.33333333333333,2.33333333333333,0,22,51,25,37,25,35,18,23,10
"Calanus helgolandicus 341d37f9958a54163d7987e0dc5bb17818c5c7d8",37.5,0,56.6666666666667,81.6666666666667,52,62.3333333333333,296,32.5,28.6666666666667,96,33.6666666666667,235,555,1927,27.6666666666667,115,575.666666666667,275,478,272,563,372,300,366,396,319
"Calanus 363a7fed6b4ef59f0d3847483c765d95cd1bc297",16.5,0,0,122,85.3333333333333,15,32.6666666666667,0,0,50,47.3333333333333,51,0,266,0,0,29.3333333333333,107,193,143,205,176,191,138,134,98
"Metridia pacifica 3855bfab8b2afdb2b740530c990e9a2535c5a15b",1661.5,0,2236.33333333333,31.6666666666667,0,3635.66666666667,893.666666666667,196,3898.33333333333,7824,4936,22.5,13,0,1990,474.333333333333,0,3837,8489,3663,6119,3837,5139,2132,2752,1399
" 3907c0c3540893fea852cf1e2e15ee876e097dc1",3498.5,0,252,57,1060.33333333333,3351.33333333333,255.666666666667,1423.5,557.333333333333,115,102,581,443.666666666667,1093,0,0,494.666666666667,991,1789,1068,1164,844,1250,459,502,268
"Metridia pacifica 3a4660f8928b0bba5379764b63c8f98ae30a1d3b",804.5,0,0,0,0,613.666666666667,19,501,273,1137.5,606,38,0,0,1194,18.3333333333333,0,165,434,238,255,184,206,114,122,80
" 3b46a0689c4dc296a5046eb3cfb003a0ca04e7fe",113.5,0,46,0,0,56.3333333333333,2,15.5,23.3333333333333,363,259.333333333333,25.5,0,0,6,0,0,31,52,26,45,28,40,29,36,14
"Calanus helgolandicus 50ae18a387ee0c27a601b2de29233b88891665e2",1565,100.333333333333,1575.33333333333,26223,10592,3435,17262.6666666667,461.5,3202.66666666667,3666.5,2354,1987.5,12771,34775,245.333333333333,8068.33333333333,14721.6666666667,25431,56785,25413,40503,23335,28549,17532,19811,13350
" 5153fd153d032ca08987dc412a9c67b6794b21bf",0,0,7,9.66666666666667,15.3333333333333,278.666666666667,40.3333333333333,20,83,234.5,268,636.5,77,2029.33333333333,56.6666666666667,27,435.333333333333,249,579,324,292,164,260,44,77,35
" 58aec46ab4910cf08bbfda67e8aa7321828ce906",24.5,0,2,69.3333333333333,8.66666666666667,28,223.333333333333,45.5,12.6666666666667,81,30.3333333333333,343,142.666666666667,326,0,17.6666666666667,118.333333333333,100,226,134,216,162,140,107,150,91
"Calanus 5c28fb044703f8d7dc9a17c20a178f0e34feb322",719.5,0,1357.66666666667,18,0,1445.33333333333,567.333333333333,202,1732.66666666667,4287,2119,127,19.6666666666667,0,928,285.333333333333,0,1453,3305,1259,2934,1699,1975,1557,1716,1311
"Metridia pacifica 6b976e008f3c98aa86cb64aa686cbfcb409c8f0a",419.5,0,587.333333333333,0,0,1156,121,51.5,932,1732,1240.66666666667,0,0,0,792,60.3333333333333,0,548,1309,518,931,569,771,368,406,242
"Calanus helgolandicus 6e6b2ae850506cc0ea7baa4492214e7987501560",1614.5,0,2208,1329,1416.66666666667,1751.33333333333,5017.66666666667,464.5,3348.33333333333,5059,2958.33333333333,1432,3312.33333333333,7805.33333333333,699,1777.66666666667,3524.33333333333,8193,18556,7443,16927,9673,10506,8444,9549,6586
"Neocalanus cristatus 7761526519fda29c5c9ac6663b370054e80b7263",372.5,0,0,148.333333333333,0,15.6666666666667,38,0,10.3333333333333,55,57.6666666666667,0,47,0,5.66666666666667,26.3333333333333,0,143,325,163,194,120,157,80,66,39
"Calanus helgolandicus 78f54f41acba54d14189a57d673d19a7e9c4b936",229.5,0,655.666666666667,73,0,211,962,56.5,469.333333333333,1523,708.666666666667,102.5,32,0,137,534,16.3333333333333,1870,4239,1529,4251,2564,2618,2423,2679,1952
"Pleuromamma borealis 7ed69f089c6a810c9434950899ffa09ad91e3f6d",23.5,0,0,0,0,35.3333333333333,14,0,52,44,27.6666666666667,0,0,0,123,7.66666666666667,0,103,226,140,49,60,80,12,17,8
"Calanus helgolandicus 894f73dc6883f29a838304fd218efdfaf12bd154",166.5,0,0,0,0,0,107,208,51.6666666666667,176,76.3333333333333,639.5,0,0,26.3333333333333,170.333333333333,0,498,1117,385,911,528,523,512,542,403
"Metridia pacifica 97d5948bd4b4362b9bfcff8f47c1af49259ea0d2",158,0,121,0,0,486.666666666667,18,59.5,162,473,273.666666666667,15,0,0,563.333333333333,7.66666666666667,0,96,127,63,123,79,85,77,73,40
"Calanus 9b9f6e13b644886afad8864d6601b2000dae17a0",82.5,0,34,119.333333333333,111,51.6666666666667,39.3333333333333,27.5,10.6666666666667,186,112.333333333333,218.5,13.3333333333333,566.333333333333,2,15,95,118,257,129,224,132,145,94,95,57
"Metridia pacifica b0c15e6164ee940205efe0f1e1a0a0c19435ec9f",6928.5,0,4835,13.3333333333333,0,32232,664.333333333333,768.5,16838,24940.5,17408,47.5,6.66666666666667,0,15003.6666666667,284.333333333333,0,5818,12727,5924,5576,3307,5792,1613,1913,1006
"Rhincalanus b39500169f19f6f7dc74cde23a266fe3bd9d8079",0,0,21,0,0,50.6666666666667,6.33333333333333,0,37.6666666666667,283.5,197,29.5,0,0,77,8,0,41,87,39,80,41,49,48,37,27
" e01f93ca2ee277a2bc78e4f8f0e3ee68b98bf1fc",92.5,0,42.6666666666667,299.666666666667,224.333333333333,63,88,25.5,11.6666666666667,189.5,140.333333333333,228,36.6666666666667,1031.66666666667,0,22.6666666666667,169.333333333333,229,498,260,410,218,259,214,231,127
"NA e09b485dd4d1bd133e7845d395237f38d661eb69",138.5,29.3333333333333,0,6283.66666666667,4.33333333333333,6,0,0,0,0,0,0,0,0,0,0,0,5413,9729,6022,6521,4358,5893,1293,1774,719
"Metridia pacifica e199318c40876066960330bd9ea208fb7639a760",575,0,978.333333333333,128.333333333333,0,522.333333333333,1124.66666666667,102.5,949.333333333333,2500,1230,24,94.6666666666667,36.3333333333333,352.666666666667,617,0,2616,5926,2292,5051,3260,3773,2778,3334,2079
"Neocalanus cristatus e396f514beb6bb0e29a828575cc7fea775d24085",368,0,0,7.33333333333333,0,13.6666666666667,9,0,15.6666666666667,73.5,71.6666666666667,0,10,0,14.3333333333333,6.33333333333333,0,59,88,55,72,53,55,38,40,33
"Metridia pacifica f0f0d90e0b068596c08719d08b82987032ec3857",0,0,96,0,0,77,0,0,0,0,75,0,0,0,111,0,0,80,190,85,185,119,145,116,119,67
" ff62c6fc3f5f5a03af66155247b74210ad634523",151.5,0,68.3333333333333,11.6666666666667,28.6666666666667,41.6666666666667,31.6666666666667,44.5,12.6666666666667,319,231,261,8.66666666666667,283.666666666667,2.33333333333333,7,38.6666666666667,110,221,108,197,110,134,89,107,72
"NA Other",4050.5,12305.5,1672.83333333333,1477,1707.33333333333,3449.66666666667,1848.33333333333,3205,1979.66666666667,1369,1550.66666666667,1940.5,1975.5,9006.66666666667,3105.66666666667,183,2083.33333333333,4303,9364,4506,6829,3901,5382,2306,3530,1690
