,C1.T7.H9_S1.1,C1.T7.H9_S1.2,C1.T7.H9_S2.1,C1.T7.H9_S2.2,C1.T7.H9_S3.2,C1.T8.H10_S1.2,C1.T8.H10_S2.1,C1.T8.H10_S2.2,C1.T8.H10_S3.2,C2.T8.H18_S1.1,C2.T8.H18_S1.2,C2.T8.H18_S2.1,C2.T8.H18_S2.2,C2.T8.H18_S3.1,C2.T8.H18_S3.2,C2.T9.H19_S2.1,C2.T9.H19_S2.2,C2.T9.H19_S3.2,C3.T6.H25_S1.1,C3.T6.H25_S1.2,C3.T6.H25_S2.1,C3.T6.H25_S2.2,C3.T6.H25_S3.1,C3.T7.H26_S1.1,C3.T7.H26_S1.2,C3.T7.H26_S2.1,C3.T7.H26_S2.2,C3.T7.H26_S3.1,C3.T7.H26_S3.2,CT1.T1.H28_S1.1,CT1.T1.H28_S1.2,CT1.T1.H28_S2.1,CT1.T1.H28_S2.2,CT1.T1.H28_S3.1,CT1.T1.H28_S3.2,CT1.T2.H29_S1.1,CT1.T2.H29_S1.2,CT1.T2.H29_S2.1,CT1.T2.H29_S2.2,CT1.T2.H29_S3.1,CT1.T2.H29_S3.2,CT1.T3.H30_S1.1,CT1.T3.H30_S1.2,CT1.T3.H30_S2.1,CT1.T3.H30_S3.2,CT1.T4.H31_S1.1,CT1.T4.H31_S1.2,CT1.T4.H31_S2.2,CT1.T4.H31_S3.1,CT1.T4.H31_S3.2,CT1.T5.H32_S1.1,CT1.T5.H32_S1.2,CT1.T5.H32_S2.1,CT1.T5.H32_S2.2,CT1.T5.H32_S3.1,CT1.T5.H32_S3.2,CT1.T6.H33_S1.1,CT1.T6.H33_S1.2,CT1.T6.H33_S2.1,CT1.T6.H33_S2.2,CT1.T6.H33_S3.1,CT1.T6.H33_S3.2,CT1.T7.H34_S1.1,CT1.T7.H34_S1.2,CT1.T7.H34_S2.1,CT1.T7.H34_S2.2,CT1.T7.H34_S3.1,CT1.T7.H34_S3.2,CT1.T8.H35_S1.1,CT1.T8.H35_S1.2,CT1.T8.H35_S2.1,CT1.T8.H35_S2.2,CT1.T8.H35_S3.1,CT1.T8.H35_S3.2,CT2.T1.H36_S1.1,CT2.T1.H36_S1.2,CT2.T1.H36_S2.1,CT2.T1.H36_S2.2,CT2.T1.H36_S3.1,CT2.T1.H36_S3.2,CT2.T4.H39_S1.1,CT2.T4.H39_S1.2,CT2.T4.H39_S2.1,CT2.T4.H39_S2.2,CT2.T4.H39_S3.1,CT2.T4.H39_S3.2,CT2.T8.H43_S1.1,CT2.T8.H43_S1.2,CT2.T8.H43_S2.1,CT2.T8.H43_S2.2,CT2.T8.H43_S3.1,CT2.T8.H43_S3.2,20C_AllPool.1,20C_AllPool.2,20C_AllPool.3,20C_Pooled.A1.A3.1,20C_Pooled.A1.A3.2,20C_Pooled.A1.A3.3,20C_Pooled.B3.B5.1,20C_Pooled.B3.B5.2,20C_Pooled.B3.B5.3,20C_Pooled.C5.C7.1,20C_Pooled.C5.C7.2,20C_Pooled.C5.C7.3,24C_AllPool.1,24C_AllPool.2,24C_AllPool.3,24C_Pooled.A1.A3.1,24C_Pooled.A1.A3.2,24C_Pooled.A1.A3.3,24C_Pooled.B3.B5.1,24C_Pooled.B3.B5.2,24C_Pooled.B3.B5.3,24C_Pooled.C5.C7.1,24C_Pooled.C5.C7.2,24C_Pooled.C5.C7.3,28C_AllPool.1,28C_AllPool.2,28C_AllPool.3,28C_Pooled.A1.A3.1,28C_Pooled.A1.A3.2,28C_Pooled.B3.B5.1,28C_Pooled.B3.B5.2,28C_Pooled.B3.B5.3,28C_Pooled.C5.C7.1,28C_Pooled.C5.C7.2,28C_Pooled.C5.C7.3,C1.T7.H9_S1.3,C1.T7.H9_S2.3,C1.T7.H9_S3.3,C1.T8.H10_S1.3,C1.T8.H10_S3.3,C2.T8.H18_S1.3,C2.T8.H18_S2.3,C2.T8.H18_S3.3,C2.T9.H19_S2.3,C2.T9.H19_S3.3,C3.T6.H25_S1.3,C3.T6.H25_S2.3,C3.T7.H26_S1.3,C3.T7.H26_S2.3,C3.T7.H26_S3.3,CT1.T1.H28_S1.3,CT1.T1.H28_S2.3,CT1.T1.H28_S3.3,CT1.T2.H29_S1.3,CT1.T2.H29_S2.3,CT1.T3.H30_S1.3,CT1.T4.H31_S1.3,CT1.T4.H31_S2.3,CT1.T4.H31_S3.3,CT1.T5.H32_S1.3,CT1.T5.H32_S2.3,CT1.T5.H32_S3.3,CT1.T6.H33_S1.3,CT1.T6.H33_S3.3,CT1.T7.H34_S1.3,CT1.T7.H34_S2.3,CT1.T7.H34_S3.3,CT1.T8.H35_S1.3,CT1.T8.H35_S2.4,CT2.T1.H36_S1.3,CT2.T1.H36_S3.3,CT2.T4.H39_S2.3,CT2.T4.H39_S3.3,CT2.T8.H43_S1.3,CT2.T8.H43_S2.3,CT2.T8.H43_S3.3
Pleuromamma 0260bfbe825d95aca7b54a0909f97b59dc580e78,0,207,0,280,0,119,0,57,0,31,144,0,94,0,0,28,0,0,72,769,94,436,0,254,457,53,131,0,0,102,602,112,194,0,0,556,871,0,137,0,0,0,0,0,0,0,0,83,0,0,0,76,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,210,424,9,41,0,0,54,440,321,293,34,372,0,0,0,0,0,0,493,836,20,25,0,0,249,203,196,242,197,296,253,204,33,92,134,85,137,131,132,308,142,125,268,197,200,112,105,82,63,72,78,154,0,87,138,246,54,71,48,124,58,0,45,0,293,250,0,21,0,325,248,374,0,0,104,0,0,514,0,0,437,0,0,0,0,0,0,0,0,0,0,80,0,71,28,0,0,346,0,0
Clausocalanus furcatus 1a08bb6d37d7924e5dab4c0408f64896eacb991a,0,165,0,0,0,58,0,0,0,51,0,0,0,0,0,0,0,0,346,2171,74,314,0,1995,4333,82,324,0,0,228,2079,88,97,0,0,1145,2189,0,78,0,55,2003,1963,152,0,217,332,213,0,23,1250,3854,0,0,0,0,702,2945,77,130,0,0,78,111,0,0,0,0,200,462,0,0,0,34,28,457,17,20,0,0,0,0,0,0,0,0,143,216,0,0,0,0,615,515,401,311,227,342,3664,2207,887,57,75,103,314,238,330,253,359,161,3250,2184,2317,35,29,90,90,161,158,0,90,911,1140,1531,0,0,0,145,0,0,0,0,168,853,0,0,0,1012,0,3079,0,0,216,0,0,1400,96,625,2812,0,0,3538,0,0,2279,0,0,0,0,105,0,15,0,0,0,0,0,0
Pleuromamma 1e823715b95b2e76d7b69608b26072704c7c2ef1,0,60,0,14,0,12,0,67,0,9,16,0,26,0,0,13,0,0,0,24,0,42,0,0,20,8,18,0,0,5,33,17,47,0,0,24,24,0,6,0,0,0,0,0,0,0,0,10,0,0,0,14,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,25,59,9,82,0,0,16,154,93,82,9,137,0,0,0,0,0,0,84,93,31,86,0,0,167,153,177,56,22,55,27,12,6,144,229,116,93,102,122,82,32,28,41,27,28,212,176,123,51,68,61,33,0,13,11,19,84,132,62,38,1,0,8,0,41,50,0,22,0,18,20,24,0,0,10,0,0,18,0,0,13,0,0,0,0,0,0,0,0,0,0,12,0,13,7,0,0,52,0,0
Metridia pacifica 21ed13fe3ace8060314f604c98eb7b593d0e6ba2,0,2882,0,1570,1159,1009,0,502,0,0,1046,381,1583,0,0,0,148,0,0,980,0,473,0,529,1597,160,380,0,0,0,4293,1282,2223,0,0,1650,1871,404,594,0,0,773,761,1093,0,0,301,918,0,0,995,2847,699,1333,138,144,260,2176,0,1554,0,0,159,1145,0,0,0,0,1513,2064,0,327,0,254,0,2920,3452,2638,138,3964,0,38,0,0,0,0,1127,1520,0,210,0,0,3110,2716,2621,3974,3411,4724,4365,2127,0,757,1693,638,2197,2831,2663,6170,3394,3145,5439,4446,4248,1417,911,1011,2044,2270,2136,1684,3028,3264,2734,5866,766,862,521,1531,1056,495,791,0,2562,3792,0,166,0,731,379,2043,0,0,3654,3254,94,2715,901,298,2358,0,0,4567,1366,0,2908,0,1858,0,0,2232,115,502,1391,0,0,1800,0,0
Eucalanus californicus 247f09ccc8ae0ecc2da039900610e5494db93abe,0,90,0,0,73,0,0,4,225,0,5,8,16,5,34,0,0,2202,0,0,18,62,0,0,0,9,17,0,5,0,10,0,4,11,0,0,0,90,554,0,20,0,0,21,0,0,0,64,0,24,0,24,93,333,34,153,0,0,123,271,0,0,45,6,12,57,6,75,0,42,0,41,12,56,0,94,76,132,53,472,178,456,1,3,21,1246,0,3,11,8,31,92,416,312,281,156,119,210,335,237,188,206,439,217,89,84,92,115,68,37,187,157,132,125,108,180,19,16,33,0,0,6,19,27,12,19,6,99,0,9,0,0,0,43,339,0,1310,0,7,11,0,0,0,0,39,0,45,0,78,0,0,5,66,0,0,0,8,0,0,204,0,0,4,0,23,0,0,3
Metridia pacifica 2cfd457adc6936d89195dd4765ae81286f8b0ed5,52,2688,65,1317,529,1006,74,713,0,82,900,401,1444,0,0,38,202,15,0,69,0,112,0,0,111,0,58,0,0,79,2233,1127,1826,15,22,388,389,126,183,0,0,396,364,194,0,0,102,420,0,0,544,1427,537,938,0,0,0,241,94,1188,0,0,130,1669,11,12,0,0,1248,1743,35,614,28,171,76,3285,4181,2956,111,4314,0,43,15,47,0,0,790,1029,37,406,0,0,3661,3512,3670,3773,2774,4191,2234,1123,57,1261,2710,1018,2902,3565,3393,5297,2926,2940,2747,2318,2175,2620,1595,1800,2898,3593,2825,1533,2704,1917,1417,2904,1506,1620,1048,1474,792,313,617,0,2105,2985,0,315,45,0,130,560,0,0,1842,2426,70,638,355,193,565,0,0,2802,982,0,380,0,2616,0,0,1780,412,613,1637,44,47,1316,0,0
 2f9a39c8d8b69f7eedcd3582326b652370ce2ab1,68,3420,0,156,7683,538,159,577,21046,144,539,664,1903,304,5362,2326,15221,12424,155,1124,0,0,262,0,0,0,0,0,0,0,457,0,0,323,819,0,0,1009,2158,0,91,0,0,0,0,0,0,0,270,1359,0,0,0,0,0,0,0,0,0,819,215,699,0,0,0,151,346,1294,711,2299,408,7413,1159,13087,158,2775,0,300,19,673,0,0,2682,5910,0,0,3226,5177,229,329,1452,10807,8848,5942,4818,7725,7397,11229,225,224,223,3848,7057,4363,2716,3816,3497,11697,6695,5052,250,216,131,4921,3338,4636,1766,2273,4127,2329,3214,0,0,0,1828,2099,1092,4534,0,3097,228,5274,967,2473,24520,20208,0,436,0,0,0,0,0,0,3706,0,2412,0,0,0,66,0,0,0,0,0,191,23,539,1094,2647,449,22,5046,0,6217,0,4885
Metridia 32c7429ef986d3d6e6568889cab2755dd190fdbc,0,96,0,0,40,0,0,12,0,0,3,13,17,0,0,0,0,23,0,1,0,30,0,0,0,0,12,0,0,0,11,0,13,0,1,0,0,68,134,0,0,0,0,17,0,0,0,51,0,0,8,29,185,414,0,0,0,0,30,165,0,0,26,37,2,5,0,0,19,32,0,20,4,19,0,27,214,172,17,405,0,12,0,0,0,0,0,7,4,3,0,0,68,45,44,43,36,50,70,31,18,22,51,25,36,42,53,58,42,37,65,64,56,37,25,35,32,30,30,22,0,30,27,51,18,23,10,41,0,12,0,0,0,80,0,0,31,0,16,15,0,0,0,0,3,0,51,0,12,0,0,10,133,0,0,0,37,0,0,23,0,0,21,0,2,0,0,0
Calanus helgolandicus 341d37f9958a54163d7987e0dc5bb17818c5c7d8,0,110,0,0,88,0,0,195,0,0,0,0,77,0,0,0,126,44,0,0,0,0,0,0,0,0,0,0,0,0,27,28,34,0,20,1,0,0,0,0,0,0,0,0,0,0,0,37,0,0,17,37,0,3,0,0,0,2,0,75,0,0,0,59,0,245,0,156,0,14,0,541,0,65,0,86,113,79,0,101,31,439,292,698,576,2928,19,37,0,345,62,962,313,287,312,45,50,72,49,20,0,275,478,272,284,288,309,86,43,43,45,33,44,563,372,300,294,318,256,0,39,19,25,48,366,396,319,63,0,30,0,0,0,128,8,119,95,0,0,11,0,0,0,35,55,0,0,0,0,0,0,59,0,0,0,0,111,0,0,173,347,0,0,675,2277,27,0,703
Metridia pacifica 3855bfab8b2afdb2b740530c990e9a2535c5a15b,81,6218,167,3594,1031,2054,167,1428,10,317,2082,1002,4029,0,0,99,253,0,0,188,0,169,0,0,271,23,62,0,0,312,6406,2895,4523,24,55,353,613,211,423,0,0,612,520,160,0,0,143,776,0,0,842,2529,564,1378,0,0,0,322,370,2953,0,0,566,2756,0,95,0,0,2678,4832,170,2188,0,392,342,10339,8265,7383,421,11783,0,45,0,39,0,0,1624,2384,280,1143,0,0,10699,9996,9059,8976,7052,10426,4688,2348,564,3837,8489,3663,6637,7841,7838,12120,6187,5021,5640,4558,4239,6119,3837,5139,4882,5759,4685,2694,4573,2485,2281,4809,2132,2752,1399,3166,1974,271,1167,0,4829,4378,0,188,0,80,116,550,0,0,3363,4837,166,582,345,201,1147,0,0,3093,1184,0,0,0,3387,0,0,3397,323,1014,2604,0,0,1962,0,0
