"","Sample_name","cycle_num","Pool","sample_id","sample_num"
"1","C1-T7-H9_S1",30,"1","C1-T7-H9_S1","C1-T7-H9_S1"
"2","C1-T7-H9_S2",30,"1","C1-T7-H9_S2","C1-T7-H9_S2"
"3","C1-T7-H9_S3",30,"1","C1-T7-H9_S3","C1-T7-H9_S3"
"4","C1-T8-H10_S1",30,"1","C1-T8-H10_S1","C1-T8-H10_S1"
"5","C1-T8-H10_S2",30,"1","C1-T8-H10_S2","C1-T8-H10_S2"
"6","C1-T8-H10_S3",30,"1","C1-T8-H10_S3","C1-T8-H10_S3"
"7","C2-T8-H18_S1",30,"1","C2-T8-H18_S1","C2-T8-H18_S1"
"8","C2-T8-H18_S2",30,"1","C2-T8-H18_S2","C2-T8-H18_S2"
"9","C2-T8-H18_S3",30,"1","C2-T8-H18_S3","C2-T8-H18_S3"
"10","C2-T9-H19_S2",30,"1","C2-T9-H19_S2","C2-T9-H19_S2"
"11","C2-T9-H19_S3",30,"1","C2-T9-H19_S3","C2-T9-H19_S3"
"12","C3-T6-H25_S1",30,"1","C3-T6-H25_S1","C3-T6-H25_S1"
"13","C3-T6-H25_S2",30,"1","C3-T6-H25_S2","C3-T6-H25_S2"
"14","C3-T6-H25_S3",30,"1","C3-T6-H25_S3","C3-T6-H25_S3"
"15","C3-T7-H26_S1",30,"1","C3-T7-H26_S1","C3-T7-H26_S1"
"16","C3-T7-H26_S2",30,"1","C3-T7-H26_S2","C3-T7-H26_S2"
"17","20C_Pooled-A1-A3.1",20,"1","20C_Pooled-A1-A3","Calibration"
"18","20C_Pooled-A1-A3.2",20,"2","20C_Pooled-A1-A3","Calibration"
"19","20C_Pooled-A1-A3.3",20,"3","20C_Pooled-A1-A3","Calibration"
"20","24C_Pooled-A1-A3.1",24,"1","24C_Pooled-A1-A3","Calibration"
"21","24C_Pooled-A1-A3.2",24,"2","24C_Pooled-A1-A3","Calibration"
"22","24C_Pooled-A1-A3.3",24,"3","24C_Pooled-A1-A3","Calibration"
"23","28C_Pooled-A1-A3.1",28,"1","28C_Pooled-A1-A3","Calibration"
"24","28C_Pooled-A1-A3.2",28,"2","28C_Pooled-A1-A3","Calibration"
