"","Sample_name","cycle_num","Pool","sample_id","sample_num"
"1","C3-T7-H26_S3",30,"1","C3-T7-H26_S3","C3-T7-H26_S3"
"2","CT1-T1-H28_S1",30,"1","CT1-T1-H28_S1","CT1-T1-H28_S1"
"3","CT1-T1-H28_S2",30,"1","CT1-T1-H28_S2","CT1-T1-H28_S2"
"4","CT1-T1-H28_S3",30,"1","CT1-T1-H28_S3","CT1-T1-H28_S3"
"5","CT1-T2-H29_S1",30,"1","CT1-T2-H29_S1","CT1-T2-H29_S1"
"6","CT1-T2-H29_S2",30,"1","CT1-T2-H29_S2","CT1-T2-H29_S2"
"7","CT1-T2-H29_S3",30,"1","CT1-T2-H29_S3","CT1-T2-H29_S3"
"8","CT1-T3-H30_S1",30,"1","CT1-T3-H30_S1","CT1-T3-H30_S1"
"9","CT1-T3-H30_S2",30,"1","CT1-T3-H30_S2","CT1-T3-H30_S2"
"10","CT1-T3-H30_S3",30,"1","CT1-T3-H30_S3","CT1-T3-H30_S3"
"11","CT1-T4-H31_S1",30,"1","CT1-T4-H31_S1","CT1-T4-H31_S1"
"12","CT1-T4-H31_S2",30,"1","CT1-T4-H31_S2","CT1-T4-H31_S2"
"13","CT1-T4-H31_S3",30,"1","CT1-T4-H31_S3","CT1-T4-H31_S3"
"14","CT1-T5-H32_S1",30,"1","CT1-T5-H32_S1","CT1-T5-H32_S1"
"15","CT1-T5-H32_S2",30,"1","CT1-T5-H32_S2","CT1-T5-H32_S2"
"16","CT1-T5-H32_S3",30,"1","CT1-T5-H32_S3","CT1-T5-H32_S3"
"17","CT1-T6-H33_S1",30,"1","CT1-T6-H33_S1","CT1-T6-H33_S1"
"18","20C_Pooled-B3-B5.1",20,"1","20C_Pooled-B3-B5","Calibration"
"19","20C_Pooled-B3-B5.2",20,"2","20C_Pooled-B3-B5","Calibration"
"20","20C_Pooled-B3-B5.3",20,"3","20C_Pooled-B3-B5","Calibration"
"21","24C_Pooled-B3-B5.1",24,"1","24C_Pooled-B3-B5","Calibration"
"22","24C_Pooled-B3-B5.2",24,"2","24C_Pooled-B3-B5","Calibration"
"23","24C_Pooled-B3-B5.3",24,"3","24C_Pooled-B3-B5","Calibration"
"24","28C_Pooled-B3-B5.1",28,"1","28C_Pooled-B3-B5","Calibration"
"25","28C_Pooled-B3-B5.2",28,"2","28C_Pooled-B3-B5","Calibration"
"26","28C_Pooled-B3-B5.3",28,"3","28C_Pooled-B3-B5","Calibration"
