"","Sample_name","cycle_num","Pool","sample_id","sample_num"
"1","CT1-T6-H33_S2",30,"1","CT1-T6-H33_S2","CT1-T6-H33_S2"
"2","CT1-T6-H33_S3",30,"1","CT1-T6-H33_S3","CT1-T6-H33_S3"
"3","CT1-T7-H34_S1",30,"1","CT1-T7-H34_S1","CT1-T7-H34_S1"
"4","CT1-T7-H34_S2",30,"1","CT1-T7-H34_S2","CT1-T7-H34_S2"
"5","CT1-T7-H34_S3",30,"1","CT1-T7-H34_S3","CT1-T7-H34_S3"
"6","CT1-T8-H35_S1",30,"1","CT1-T8-H35_S1","CT1-T8-H35_S1"
"7","CT1-T8-H35_S2",30,"1","CT1-T8-H35_S2","CT1-T8-H35_S2"
"8","CT1-T8-H35_S3",30,"1","CT1-T8-H35_S3","CT1-T8-H35_S3"
"9","CT2-T1-H36_S1",30,"1","CT2-T1-H36_S1","CT2-T1-H36_S1"
"10","CT2-T1-H36_S2",30,"1","CT2-T1-H36_S2","CT2-T1-H36_S2"
"11","CT2-T1-H36_S3",30,"1","CT2-T1-H36_S3","CT2-T1-H36_S3"
"12","CT2-T4-H39_S1",30,"1","CT2-T4-H39_S1","CT2-T4-H39_S1"
"13","CT2-T4-H39_S2",30,"1","CT2-T4-H39_S2","CT2-T4-H39_S2"
"14","CT2-T4-H39_S3",30,"1","CT2-T4-H39_S3","CT2-T4-H39_S3"
"15","CT2-T8-H43_S1",30,"1","CT2-T8-H43_S1","CT2-T8-H43_S1"
"16","CT2-T8-H43_S2",30,"1","CT2-T8-H43_S2","CT2-T8-H43_S2"
"17","CT2-T8-H43_S3",30,"1","CT2-T8-H43_S3","CT2-T8-H43_S3"
"18","20C_Pooled-C5-C7.1",20,"1","20C_Pooled-C5-C7","Calibration"
"19","20C_Pooled-C5-C7.2",20,"2","20C_Pooled-C5-C7","Calibration"
"20","20C_Pooled-C5-C7.3",20,"3","20C_Pooled-C5-C7","Calibration"
"21","24C_Pooled-C5-C7.1",24,"1","24C_Pooled-C5-C7","Calibration"
"22","24C_Pooled-C5-C7.2",24,"2","24C_Pooled-C5-C7","Calibration"
"23","24C_Pooled-C5-C7.3",24,"3","24C_Pooled-C5-C7","Calibration"
"24","28C_Pooled-C5-C7.1",28,"1","28C_Pooled-C5-C7","Calibration"
"25","28C_Pooled-C5-C7.2",28,"2","28C_Pooled-C5-C7","Calibration"
"26","28C_Pooled-C5-C7.3",28,"3","28C_Pooled-C5-C7","Calibration"
