,Sample_name,cycle_num,Pool,sample_id,sample_num
1,C1.T7.H9_S1.1,30,1,C1.T7.H9_S1,C1.T7.H9_S1
2,C1.T7.H9_S1.2,30,2,C1.T7.H9_S1,C1.T7.H9_S1
3,C1.T7.H9_S2.1,30,1,C1.T7.H9_S2,C1.T7.H9_S2
4,C1.T7.H9_S2.2,30,2,C1.T7.H9_S2,C1.T7.H9_S2
5,C1.T7.H9_S3.2,30,2,C1.T7.H9_S3,C1.T7.H9_S3
6,C1.T8.H10_S1.2,30,2,C1.T8.H10_S1,C1.T8.H10_S1
7,C1.T8.H10_S2.1,30,1,C1.T8.H10_S2,C1.T8.H10_S2
8,C1.T8.H10_S2.2,30,2,C1.T8.H10_S2,C1.T8.H10_S2
9,C1.T8.H10_S3.2,30,2,C1.T8.H10_S3,C1.T8.H10_S3
10,C2.T8.H18_S1.1,30,1,C2.T8.H18_S1,C2.T8.H18_S1
11,C2.T8.H18_S1.2,30,2,C2.T8.H18_S1,C2.T8.H18_S1
12,C2.T8.H18_S2.1,30,1,C2.T8.H18_S2,C2.T8.H18_S2
13,C2.T8.H18_S2.2,30,2,C2.T8.H18_S2,C2.T8.H18_S2
14,C2.T8.H18_S3.1,30,1,C2.T8.H18_S3,C2.T8.H18_S3
15,C2.T8.H18_S3.2,30,2,C2.T8.H18_S3,C2.T8.H18_S3
16,C2.T9.H19_S2.1,30,1,C2.T9.H19_S2,C2.T9.H19_S2
17,C2.T9.H19_S2.2,30,2,C2.T9.H19_S2,C2.T9.H19_S2
18,C2.T9.H19_S3.2,30,2,C2.T9.H19_S3,C2.T9.H19_S3
19,C3.T6.H25_S1.1,30,1,C3.T6.H25_S1,C3.T6.H25_S1
20,C3.T6.H25_S1.2,30,2,C3.T6.H25_S1,C3.T6.H25_S1
21,C3.T6.H25_S2.1,30,1,C3.T6.H25_S2,C3.T6.H25_S2
22,C3.T6.H25_S2.2,30,2,C3.T6.H25_S2,C3.T6.H25_S2
23,C3.T6.H25_S3.1,30,1,C3.T6.H25_S3,C3.T6.H25_S3
24,C3.T7.H26_S1.1,30,1,C3.T7.H26_S1,C3.T7.H26_S1
25,C3.T7.H26_S1.2,30,2,C3.T7.H26_S1,C3.T7.H26_S1
26,C3.T7.H26_S2.1,30,1,C3.T7.H26_S2,C3.T7.H26_S2
27,C3.T7.H26_S2.2,30,2,C3.T7.H26_S2,C3.T7.H26_S2
28,C3.T7.H26_S3.1,30,1,C3.T7.H26_S3,C3.T7.H26_S3
29,C3.T7.H26_S3.2,30,2,C3.T7.H26_S3,C3.T7.H26_S3
30,CT1.T1.H28_S1.1,30,1,CT1.T1.H28_S1,CT1.T1.H28_S1
31,CT1.T1.H28_S1.2,30,2,CT1.T1.H28_S1,CT1.T1.H28_S1
32,CT1.T1.H28_S2.1,30,1,CT1.T1.H28_S2,CT1.T1.H28_S2
33,CT1.T1.H28_S2.2,30,2,CT1.T1.H28_S2,CT1.T1.H28_S2
34,CT1.T1.H28_S3.1,30,1,CT1.T1.H28_S3,CT1.T1.H28_S3
35,CT1.T1.H28_S3.2,30,2,CT1.T1.H28_S3,CT1.T1.H28_S3
36,CT1.T2.H29_S1.1,30,1,CT1.T2.H29_S1,CT1.T2.H29_S1
37,CT1.T2.H29_S1.2,30,2,CT1.T2.H29_S1,CT1.T2.H29_S1
38,CT1.T2.H29_S2.1,30,1,CT1.T2.H29_S2,CT1.T2.H29_S2
39,CT1.T2.H29_S2.2,30,2,CT1.T2.H29_S2,CT1.T2.H29_S2
40,CT1.T2.H29_S3.1,30,1,CT1.T2.H29_S3,CT1.T2.H29_S3
41,CT1.T2.H29_S3.2,30,2,CT1.T2.H29_S3,CT1.T2.H29_S3
42,CT1.T3.H30_S1.1,30,1,CT1.T3.H30_S1,CT1.T3.H30_S1
43,CT1.T3.H30_S1.2,30,2,CT1.T3.H30_S1,CT1.T3.H30_S1
44,CT1.T3.H30_S2.1,30,1,CT1.T3.H30_S2,CT1.T3.H30_S2
45,CT1.T3.H30_S3.2,30,2,CT1.T3.H30_S3,CT1.T3.H30_S3
46,CT1.T4.H31_S1.1,30,1,CT1.T4.H31_S1,CT1.T4.H31_S1
47,CT1.T4.H31_S1.2,30,2,CT1.T4.H31_S1,CT1.T4.H31_S1
48,CT1.T4.H31_S2.2,30,2,CT1.T4.H31_S2,CT1.T4.H31_S2
49,CT1.T4.H31_S3.1,30,1,CT1.T4.H31_S3,CT1.T4.H31_S3
50,CT1.T4.H31_S3.2,30,2,CT1.T4.H31_S3,CT1.T4.H31_S3
51,CT1.T5.H32_S1.1,30,1,CT1.T5.H32_S1,CT1.T5.H32_S1
52,CT1.T5.H32_S1.2,30,2,CT1.T5.H32_S1,CT1.T5.H32_S1
53,CT1.T5.H32_S2.1,30,1,CT1.T5.H32_S2,CT1.T5.H32_S2
54,CT1.T5.H32_S2.2,30,2,CT1.T5.H32_S2,CT1.T5.H32_S2
55,CT1.T5.H32_S3.1,30,1,CT1.T5.H32_S3,CT1.T5.H32_S3
56,CT1.T5.H32_S3.2,30,2,CT1.T5.H32_S3,CT1.T5.H32_S3
57,CT1.T6.H33_S1.1,30,1,CT1.T6.H33_S1,CT1.T6.H33_S1
