"","Phylum","Class","Order","Family"
"1","other","other","other","other"
"3","other","Polycystinea","Collodaria","Sphaerozoidae"
"4","Arthropoda","Hexanauplia","Calanoida","Augaptilidae"
"6","Arthropoda","Hexanauplia","Calanoida","Clausocalanidae"
"7","Arthropoda","Hexanauplia","Calanoida","Scolecitrichidae"
"8","Echinodermata","Ophiuroidea","Amphilepidida","Ophiotrichidae"
"9","Arthropoda","Hexanauplia","Calanoida","Rhincalanidae"
"10","Arthropoda","Malacostraca","Decapoda","Sergestidae"
"11","Cnidaria","Hydrozoa","Trachymedusae","Rhopalonematidae"
"13","Arthropoda","Hexanauplia","Calanoida","Lucicutiidae"
"16","Arthropoda","Hexanauplia","Calanoida","Eucalanidae"
"17","Arthropoda","Branchiopoda","Onychopoda","Cercopagididae"
"18","Mollusca","Bivalvia","Myida","Xylophagaidae"
"19","Arthropoda","Hexanauplia","Cyclopoida","Oncaeidae"
"20","Arthropoda","Malacostraca","Euphausiacea","Euphausiidae"
"22","Arthropoda","Hexanauplia","Cyclopoida","Oithonidae"
"23","Chordata","Thaliacea","Doliolida","Doliolidae"
"24","other","Polycystinea","Collodaria","Collophidiidae"
"26","Bryozoa","Gymnolaemata","Cheilostomatida","Membraniporidae"
"27","Annelida","Polychaeta","other","Chaetopteridae"
"28","Mollusca","Gastropoda","Pteropoda","Cymbuliidae"
"29","Arthropoda","Hexanauplia","Calanoida","Calanidae"
"32","Mollusca","Gastropoda","Pteropoda","Cliidae"
"33","Arthropoda","Hexanauplia","Calanoida","Euchaetidae"
"34","Arthropoda","Hexanauplia","Calanoida","Candaciidae"
"35","Arthropoda","Hexanauplia","Cyclopoida","Corycaeidae"
"37","Chordata","Thaliacea","Pyrosomatida","Pyrosomatidae"
"40","Arthropoda","Hexanauplia","Calanoida","Acartiidae"
"41","Arthropoda","Hexanauplia","Calanoida","Paracalanidae"
"44","Annelida","Polychaeta","Phyllodocida","Tomopteridae"
"46","Sipuncula","other","Phascolosomatiformes","Phascolosomatidae"
"47","Arthropoda","Hexanauplia","Calanoida","Metridinidae"
"49","Arthropoda","Malacostraca","Decapoda","Hippolytidae"
"50","Cnidaria","Hydrozoa","Trachymedusae","Geryoniidae"
"51","Chordata","Appendicularia","Copelata","Oikopleuridae"
"53","Arthropoda","Hexanauplia","Calanoida","unidentified Calanoida"
"55","Mollusca","Gastropoda","Pteropoda","Limacinidae"
"56","Mollusca","Bivalvia","Mytiloida","Mytilidae"
"59","Chordata","Thaliacea","Salpida","Salpidae"
"61","Mollusca","Gastropoda","Pteropoda","Peraclidae"
"63","Mollusca","Bivalvia","Pectinida","Pectinidae"
"64","Arthropoda","Hexanauplia","Calanoida","Centropagidae"
"65","Arthropoda","Hexanauplia","Pedunculata","Lepadidae"
"69","Mollusca","Gastropoda","Pteropoda","Desmopteridae"
"75","Arthropoda","Hexanauplia","Harpacticoida","Aegisthidae"
"76","Arthropoda","Hexanauplia","Calanoida","Subeucalanidae"
"77","Arthropoda","Hexanauplia","Calanoida","Calocalanidae"
"81","other","Dinophyceae","Peridiniales","Endodiniaceae"
"83","Arthropoda","Hexanauplia","Poecilostomatoida","Corycaeidae"
"88","Arthropoda","Hexanauplia","Calanoida","Spinocalanidae"
"105","Mollusca","Gastropoda","Neogastropoda","Columbellidae"
"111","Arthropoda","Malacostraca","Decapoda","Acanthephyridae"
"121","Chordata","Actinopteri","Salmoniformes","Salmonidae"
"128","Arthropoda","Hexanauplia","Calanoida","Temoridae"
"130","Arthropoda","Hexanauplia","Calanoida","Heterorhabdidae"
"132","Arthropoda","Malacostraca","Mysida","Mysidae"
"140","other","Polycystinea","Collodaria","Collosphaeridae"
"144","Ctenophora","Tentaculata","Lobata","Bolinopsidae"
"145","Cercozoa","Thecofilosea","Phaeoconchia","Coelodendridae"
"182","Arthropoda","Malacostraca","Decapoda","Alpheidae"
"183","other","Dinophyceae","Gymnodiniales","Kareniaceae"
"186","Cnidaria","Hydrozoa","Siphonophorae","Diphyidae"
"205","other","Dinophyceae","Syndiniales","Syndiniaceae"
"214","Mollusca","Gastropoda","Pteropoda","Clionidae"
"222","Chordata","Actinopteri","Pleuronectiformes","Pleuronectidae"
"245","Chordata","Actinopteri","Myctophiformes","Myctophidae"
