"","Kingdom","Phylum","Subphylum","Class","Subclass","Superorder","Order"
"other","other","other","other","other","other","other","other"
"1bdf1a7b4ee7335250f89feea39e250e1c116b19","Animalia","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda"
"249be3a3e22c631bbde71a9929099eff0c45dd3c","Animalia","Arthropoda","Crustacea","Branchiopoda","Diplostraca","Cladocera","Onychopoda"
"2f9a39c8d8b69f7eedcd3582326b652370ce2ab1","Animalia","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Eucarida","Euphausiacea"
"388725f240f778bbad66a1a652b752a88fd3956a","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Podoplea","Cyclopoida"
"3c32d58513825484c47705b7d424175ab81ca09e","Animalia","Chordata","Tunicata","Thaliacea","Subclass","Superorder","Doliolida"
"4542bee4db4c3075a68a0a82768eab3497580077","Animalia","Cnidaria","Subphylum","Hydrozoa","Hydroidolina","Superorder","Siphonophorae"
"856adbbd6780d096aa923a18481a9884b70edf25","Animalia","Chordata","Tunicata","Thaliacea","Subclass","Superorder","Pyrosomatida"
"b0c15e6164ee940205efe0f1e1a0a0c19435ec9f","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida"
"ba266f2d6fd5adb5e59208d9cf2ffa4b7f253207","Animalia","Cnidaria","Subphylum","Hydrozoa","Trachylinae","Superorder","Trachymedusae"
"ba8a3abb314f0832bdd308d5785636a9abb6baf8","Animalia","Chordata","Tunicata","Appendicularia","Subclass","Superorder","Copelata"
"bcfa1e280d3595c84a3e85a4cb461d79953adfde","Animalia","Mollusca","Subphylum","Gastropoda","Heterobranchia","Superorder","Pteropoda"
"dd7072b661c5b53f5177a820ab2c1ca431c1df7b","Animalia","Chordata","Tunicata","Thaliacea","Subclass","Superorder","Salpida"
"b575e1cd6fdbfbac8d3566650b897774177bb387","Animalia","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Peracarida","Mysida"
"e8c867b771f1595f664b51c1e7f55e562918988d","Animalia","Ctenophora","Subphylum","Tentaculata","Subclass","Superorder","Lobata"
