"","Kingdom","Phylum","Subphylum","Class","Subclass","Superorder","Order","Family","Genus","Species"
"09f0f81e918be13468041d213bbcc3701965c080","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Augaptilidae",NA,NA
"114d9a26e85197775de9b4d539b22900e02bb33c","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Scolecitrichidae",NA,NA
"1a08bb6d37d7924e5dab4c0408f64896eacb991a","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Clausocalanidae",NA,NA
"215f7e73ed8b068882c25a034e2d44b152fd76c4","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Lucicutiidae",NA,NA
"22cf259c5c1e40823b8c7c662c68799ce9da7c3c","Animalia","Chordata","Tunicata","Thaliacea","Subclass","Superorder","Doliolida","Doliolidae",NA,NA
"247f09ccc8ae0ecc2da039900610e5494db93abe","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Eucalanidae",NA,NA
"249be3a3e22c631bbde71a9929099eff0c45dd3c","Animalia","Arthropoda","Crustacea","Branchiopoda","Diplostraca","Cladocera","Onychopoda","Cercopagididae",NA,NA
"2a24470d9f6f016d43a270ded06f52d73df93b2b","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Podoplea","Cyclopoida","Oncaeidae",NA,NA
"2f9a39c8d8b69f7eedcd3582326b652370ce2ab1","Animalia","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Eucarida","Euphausiacea","Euphausiidae",NA,NA
"388725f240f778bbad66a1a652b752a88fd3956a","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Podoplea","Cyclopoida","Oithonidae",NA,NA
"4e233f44ee25f27173c25778e6fb5e25210296bf","Animalia","Mollusca","Subphylum","Gastropoda","Heterobranchia","Superorder","Pteropoda","Cymbuliidae",NA,NA
"6e6b2ae850506cc0ea7baa4492214e7987501560","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Calanidae",NA,NA
"72262f3ea777186cfb5037a556e68c064452885a","Animalia","Chordata","Tunicata","Appendicularia","Subclass","Superorder","Copelata","Oikopleuridae",NA,NA
"722ae10a2ab287d7cf8d34f64705f9ff5099010d","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Podoplea","Cyclopoida","Corycaeidae",NA,NA
"856adbbd6780d096aa923a18481a9884b70edf25","Animalia","Chordata","Tunicata","Thaliacea","Subclass","Superorder","Pyrosomatida","Pyrosomatidae",NA,NA
"953f575003c1e038640b89d2ec04ddae519ec438","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Acartiidae",NA,NA
"961cd5ce154310c7fd54468560aca8d35041c8c7","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Paracalanidae",NA,NA
"b0c15e6164ee940205efe0f1e1a0a0c19435ec9f","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Metridinidae",NA,NA
"b39500169f19f6f7dc74cde23a266fe3bd9d8079","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Rhincalanidae",NA,NA
"c0cde007b3944912585e43ea92ec51d4514c5c9e","Animalia","Chordata","Tunicata","Thaliacea","Subclass","Superorder","Salpida","Salpidae",NA,NA
"fac8a6da19ef6850ef38ab2a1dcd040b00e9a3e3","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Centropagidae",NA,NA
"14c8aed2e67092ff7d23ce2904f76089ab91e32d","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Spinocalanidae",NA,NA
"5adb83462a6665a3afeaeec2808f1d1a5a668032","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Subeucalanidae",NA,NA
"22378dae7c3962c6b409aaf1fb23f8d660628051","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Candaciidae",NA,NA
"4f72fb573438f8d4e0bdaf895754b6e506c0a61f","Animalia","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Acanthephyridae",NA,NA
"b35f9cee21f667eaebd1f9bd7ed5d7f2c482df4f","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Heterorhabdidae",NA,NA
"45f67dc9b97b1a094be8f6a77ca07d2f1aec4ac0","Animalia","Cnidaria","Subphylum","Hydrozoa","Hydroidolina","Superorder","Siphonophorae","Diphyidae",NA,NA
"cb228736b16dd64e54412d5367d17ad21fe78cba","Animalia","Mollusca","Subphylum","Gastropoda","Heterobranchia","Superorder","Pteropoda","Clionidae",NA,NA
"...29","other","other","other","other","other","other","other","other","other","other"
