"","Kingdom","Phylum","Subphylum","Class","Subclass","Superorder","Order","Family","Genus","Species"
"0de53510347e58dabda2dc43270f04ad3ea2da5c","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Clausocalanidae",NA,NA
"114d9a26e85197775de9b4d539b22900e02bb33c","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Scolecitrichidae",NA,NA
"1ce2573fce4903ef0c76ab1bd9b769f1d771fc19","Animalia","Cnidaria","Subphylum","Hydrozoa","Trachylinae","Superorder","Trachymedusae","Rhopalonematidae",NA,NA
"215f7e73ed8b068882c25a034e2d44b152fd76c4","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Lucicutiidae",NA,NA
"247f09ccc8ae0ecc2da039900610e5494db93abe","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Eucalanidae",NA,NA
"2a24470d9f6f016d43a270ded06f52d73df93b2b","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Podoplea","Cyclopoida","Oncaeidae",NA,NA
"388725f240f778bbad66a1a652b752a88fd3956a","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Podoplea","Cyclopoida","Oithonidae",NA,NA
"3907c0c3540893fea852cf1e2e15ee876e097dc1","Animalia","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Eucarida","Euphausiacea","Euphausiidae",NA,NA
"5cb1bec105bf4efc32bd1b0e8f0bb003d8ddc48a","Animalia","Mollusca","Subphylum","Gastropoda","Heterobranchia","Superorder","Pteropoda","Cliidae",NA,NA
"5cedfe1887acd815d633f7da324be5da12f4a1b2","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Euchaetidae",NA,NA
"686fd8b59c6f87b27fe6a21b366a0e4b838135e1","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Candaciidae",NA,NA
"6e6b2ae850506cc0ea7baa4492214e7987501560","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Calanidae",NA,NA
"722ae10a2ab287d7cf8d34f64705f9ff5099010d","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Podoplea","Cyclopoida","Corycaeidae",NA,NA
"856adbbd6780d096aa923a18481a9884b70edf25","Animalia","Chordata","Tunicata","Thaliacea","Subclass","Superorder","Pyrosomatida","Pyrosomatidae",NA,NA
"953f575003c1e038640b89d2ec04ddae519ec438","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Acartiidae",NA,NA
"961cd5ce154310c7fd54468560aca8d35041c8c7","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Paracalanidae",NA,NA
"a760bb376aef3a083f3a3fa035569dd37c9d49d6","Animalia","Chordata","Tunicata","Appendicularia","Subclass","Superorder","Copelata","Oikopleuridae",NA,NA
"af1203ec12d6af68537b36fdfea79e3a53934f11","Animalia","Chordata","Tunicata","Thaliacea","Subclass","Superorder","Doliolida","Doliolidae",NA,NA
"b0c15e6164ee940205efe0f1e1a0a0c19435ec9f","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Metridinidae",NA,NA
"b39500169f19f6f7dc74cde23a266fe3bd9d8079","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Rhincalanidae",NA,NA
"ba266f2d6fd5adb5e59208d9cf2ffa4b7f253207","Animalia","Cnidaria","Subphylum","Hydrozoa","Trachylinae","Superorder","Trachymedusae","Geryoniidae",NA,NA
"bcfa1e280d3595c84a3e85a4cb461d79953adfde","Animalia","Mollusca","Subphylum","Gastropoda","Heterobranchia","Superorder","Pteropoda","Limacinidae",NA,NA
"dd7072b661c5b53f5177a820ab2c1ca431c1df7b","Animalia","Chordata","Tunicata","Thaliacea","Subclass","Superorder","Salpida","Salpidae",NA,NA
"e297123673fd1876bca9de768f7c0d1c0325b61e","Animalia","Mollusca","Subphylum","Gastropoda","Heterobranchia","Superorder","Pteropoda","Peraclidae",NA,NA
"e3ccc8a4f48f841e5c3e7a91a590c91a11134ba3","Animalia","Arthropoda","Crustacea","Branchiopoda","Diplostraca","Cladocera","Onychopoda","Cercopagididae",NA,NA
"ed22deb42fc7b801ea9d4dd17307bb124ea7497c","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Augaptilidae",NA,NA
"fed0b331bd84a4af16acfa788be06fd797df88ca","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Spinocalanidae",NA,NA
"1b30f8c063574b0c3aac58c74e0f02d0c0228850","Animalia","Mollusca","Subphylum","Gastropoda","Heterobranchia","Superorder","Pteropoda","Cymbuliidae",NA,NA
"b35f9cee21f667eaebd1f9bd7ed5d7f2c482df4f","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Heterorhabdidae",NA,NA
"e8c867b771f1595f664b51c1e7f55e562918988d","Animalia","Ctenophora","Subphylum","Tentaculata","Subclass","Superorder","Lobata","Bolinopsidae",NA,NA
"261459382b1bb870239a7f77e13a007f5d4be82b","Animalia","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Sergestidae",NA,NA
"4f72fb573438f8d4e0bdaf895754b6e506c0a61f","Animalia","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Acanthephyridae",NA,NA
"...33","other","other","other","other","other","other","other","other","other","other"
