"","Kingdom","Phylum","Subphylum","Class","Subclass","Superorder","Order","Family","Genus","Species"
"09f0f81e918be13468041d213bbcc3701965c080","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Augaptilidae","Euaugaptilus",NA
"0de53510347e58dabda2dc43270f04ad3ea2da5c","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Clausocalanidae","Ctenocalanus",NA
"114d9a26e85197775de9b4d539b22900e02bb33c","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Scolecitrichidae","Byrathis",NA
"12fb07a5a01b43cf4e6bc1ccc6b99ffaf60fd033","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Podoplea","Cyclopoida","Corycaeidae","Corycaeus",NA
"1a08bb6d37d7924e5dab4c0408f64896eacb991a","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Clausocalanidae","Clausocalanus",NA
"215f7e73ed8b068882c25a034e2d44b152fd76c4","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Lucicutiidae","Lucicutia",NA
"247f09ccc8ae0ecc2da039900610e5494db93abe","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Eucalanidae","Eucalanus",NA
"249be3a3e22c631bbde71a9929099eff0c45dd3c","Animalia","Arthropoda","Crustacea","Branchiopoda","Diplostraca","Cladocera","Onychopoda","Cercopagididae","Cercopagis",NA
"260789f16f10e9afb8a7cd82ddf5c4349decd0f7","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Eucalanidae","Pareucalanus",NA
"2a24470d9f6f016d43a270ded06f52d73df93b2b","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Podoplea","Cyclopoida","Oncaeidae","Oncaea",NA
"388725f240f778bbad66a1a652b752a88fd3956a","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Podoplea","Cyclopoida","Oithonidae","Oithona",NA
"4970001d29a562b478455ccee45cf5928623bb56","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Paracalanidae","Calocalanus",NA
"4e233f44ee25f27173c25778e6fb5e25210296bf","Animalia","Mollusca","Subphylum","Gastropoda","Heterobranchia","Superorder","Pteropoda","Cymbuliidae","Corolla",NA
"6e6b2ae850506cc0ea7baa4492214e7987501560","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Calanidae","Calanus",NA
"72262f3ea777186cfb5037a556e68c064452885a","Animalia","Chordata","Tunicata","Appendicularia","Subclass","Superorder","Copelata","Oikopleuridae","Oikopleura",NA
"722ae10a2ab287d7cf8d34f64705f9ff5099010d","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Podoplea","Cyclopoida","Corycaeidae","Ditrichocorycaeus",NA
"86e954b6b4640de2a532d0f2c9329b96891d511d","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Scolecitrichidae","Scolecithricella",NA
"8a0f626ac39dbf2bba4f983d8f13c759e59b0051","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Podoplea","Cyclopoida","Oithonidae","Dioithona",NA
"953f575003c1e038640b89d2ec04ddae519ec438","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Acartiidae","Acartia",NA
"961cd5ce154310c7fd54468560aca8d35041c8c7","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Paracalanidae","Paracalanus",NA
"a32d276e30f76e771318e8c516046bc05f72db69","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Metridinidae","Pleuromamma",NA
"af5ea7274c611cbd5dc67f669804d691126cd232","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Paracalanidae","Mecynocera",NA
"b0c15e6164ee940205efe0f1e1a0a0c19435ec9f","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Metridinidae","Metridia",NA
"b39500169f19f6f7dc74cde23a266fe3bd9d8079","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Rhincalanidae","Rhincalanus",NA
"c0cde007b3944912585e43ea92ec51d4514c5c9e","Animalia","Chordata","Tunicata","Thaliacea","Subclass","Superorder","Salpida","Salpidae","Salpa",NA
"c4fe96ab4bb76aabbbf14d407d2bc730596c6c39","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Clausocalanidae","Microcalanus",NA
"d2f7a67b9ae34b65cf1ec8234340bbde3a593266","Animalia","Chordata","Tunicata","Thaliacea","Subclass","Superorder","Doliolida","Doliolidae","Doliolum",NA
"dabec5c8e3721be348236817cddd3c31eb1647ce","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Calanidae","Neocalanus",NA
"dbd95065a6787486d688fdf5fdc905e08c92b3c7","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Clausocalanidae","Pseudocalanus",NA
"14c8aed2e67092ff7d23ce2904f76089ab91e32d","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Spinocalanidae","Spinocalanus",NA
"5adb83462a6665a3afeaeec2808f1d1a5a668032","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Subeucalanidae","Subeucalanus",NA
"22378dae7c3962c6b409aaf1fb23f8d660628051","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Candaciidae","Candacia",NA
"4f72fb573438f8d4e0bdaf895754b6e506c0a61f","Animalia","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Acanthephyridae","Acanthephyra",NA
"24343a445c96b997808a056ab7913470b690936b","Animalia","Chordata","Tunicata","Thaliacea","Subclass","Superorder","Salpida","Salpidae","Cyclosalpa",NA
"45f67dc9b97b1a094be8f6a77ca07d2f1aec4ac0","Animalia","Cnidaria","Subphylum","Hydrozoa","Hydroidolina","Superorder","Siphonophorae","Diphyidae","Chelophyes",NA
"cb228736b16dd64e54412d5367d17ad21fe78cba","Animalia","Mollusca","Subphylum","Gastropoda","Heterobranchia","Superorder","Pteropoda","Clionidae","Clione",NA
"...37","other","other","other","other","other","other","other","other","other","other"
