"","Kingdom","Phylum","Subphylum","Class","Subclass","Superorder","Order","Family","Genus","Species"
"007e66a23128f9cdc9201fee62eaa8641c866cdf","Animalia","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Eucarida","Euphausiacea","Euphausiidae","Euphausia","Species"
"008cfd67d0bc86d1d45093b9460e8ad137fd5abd","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Eucalanidae","Eucalanus","Eucalanus californicus"
"00d22f3eee653833f404acb0ec2d85507a4da77f","Animalia","Arthropoda","Crustacea","Ostracoda","Myodocopa","Superorder","Halocyprida","Halocyprididae",NA,NA
"0116b58b8410321d446a67fa80be554682d60dad","Animalia","Arthropoda","Crustacea",NA,NA,NA,NA,NA,NA,NA
"01c55b9f67a6170855c287949c92743d80757e48","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Euchaetidae","Paraeuchaeta","Paraeuchaeta elongata"
"01d3533a3aeb153dc29a07d0dce45b2797a53191","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida",NA,NA,NA
"01ff6dedcf9317a7d3435b75319b72b0d7427f3a","Animalia","Cnidaria","Subphylum","Hydrozoa","Hydroidolina","Superorder","Siphonophorae","Agalmatidae","Agalma","Agalma elegans"
"0207af7746ca2e7fae8b686eb4ce729354ef27ae","Animalia","Arthropoda","Crustacea","Ostracoda","Myodocopa","Superorder","Halocyprida","Family","Genus","Species"
"020c9f56a9849cc60bbd5c971569204c6e7fa2ec","Animalia","Arthropoda","Crustacea",NA,NA,NA,NA,NA,NA,NA
"02847e16890ae04cae8c89e31174e41e4254c716","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Eucalanidae","Eucalanus","Eucalanus californicus"
"02a07907732e29c1a97ed0eeda0a2d5a538f3a41","Animalia","Chordata","Tunicata","Thaliacea","Subclass","Superorder","Doliolida","Doliolidae","Doliolum","Doliolum nationalis"
"02c67941cbda8568571e10cb48fb456b8d6442ac","Animalia","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Benthesicymidae","Gennadas","Gennadas valens"
"02c90074622fc4d9d4041cf51de9f4ec3476d802","Animalia","Arthropoda","Crustacea","Ostracoda","Myodocopa","Superorder","Halocyprida","Family","Genus","Species"
"031ac4e0dd2ecc8f1dcecff888fa78cd7daee6cf","Animalia","Mollusca","Subphylum","Cephalopoda","Coleoidea","Decapodiformes",NA,NA,NA,NA
"03599a41dc58fa0b03c2cf20501578ca7fe0c5df","Animalia","Arthropoda","Crustacea","Malacostraca","Eumalacostraca",NA,NA,NA,NA,NA
"035ddb4bc75cc9920341d2197ee2a4f7b1991508","Animalia","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Eucarida","Euphausiacea","Euphausiidae","Thysanoessa","Thysanoessa raschii"
"03d248ca09897238d6786ac114dc38af6a40fe79","Animalia","Arthropoda","Crustacea","Ostracoda","Myodocopa","Superorder","Halocyprida","Halocyprididae","Mollicia","Mollicia tyloda"
"03ecec8441f3bf1abb7e5604eebade5c7e7724b7","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Eucalanidae","Eucalanus","Eucalanus californicus"
"03fa18e98caf185cfdb7cbc6aafaefc8c8a9ab7c","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Clausocalanidae","Clausocalanus","Species"
"03fc997a9d99a6f82ad340ca49a351ca8f02f1ff","Animalia","Arthropoda","Crustacea",NA,NA,NA,NA,NA,NA,NA
"045b9f52e4d8bf6167a0cd62a06a89c364fcdd9c","Animalia","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda",NA,NA,NA
"045c9a47baf503b9c988aa4826151e0e0453a5b2","Animalia","Arthropoda","Crustacea",NA,NA,NA,NA,NA,NA,NA
"04bffda8a8527274d290590bb71fe9cc5c8ea022","Animalia","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Peracarida",NA,NA,NA,NA
"04ed3032b3666f8b9401d3e4baa022c038301b30","Animalia","Arthropoda","Crustacea",NA,NA,NA,NA,NA,NA,NA
"0504c53740ed36b2c56a61fd7b09cc373ccbd619","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Paracalanidae",NA,NA
"05342acd340f0ded4b3e856ecf2704e43adbbbc8","Animalia","Cnidaria","Subphylum","Hydrozoa","Hydroidolina","Superorder","Siphonophorae","Diphyidae","Lensia","Lensia campanella"
"05591de557a0385b317ca0bc6b6d6a0cf44e43b2","Animalia","Chaetognatha","Subphylum","Sagittoidea","Subclass","Superorder","Aphragmophora","Sagittidae","Genus","Species"
