"","Kingdom","Phylum","Subphylum","Class","Subclass","Superorder","Order","Family","Genus","Species"
"07400dec706e2853c78fd49fd403d3bd3df30ff8","Animalia","Chaetognatha","Subphylum","Sagittoidea","Subclass","Superorder","Aphragmophora","Sagittidae","Sagittidae",NA
"0aa71d40aa0334ecc871b823e308854f38365c4f","Animalia","Cnidaria","Subphylum","Hydrozoa","Hydroidolina","Superorder","Siphonophorae","Diphyidae","Lensia",NA
"0c5fa17f7ecf209f6fd088aa6fd53eb627bafcf0","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Calanidae","Calanus",NA
"134558db002ef4fed720988d68f864ca1621cae8","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Scolecitrichidae","Racovitzanus",NA
"23f0bc9737e8f27bb71ae8a965978f4bf4ea9422","Animalia","Chordata","Tunicata","Thaliacea","Subclass","Superorder","Doliolida","Doliolidae","Doliolum",NA
"2439425b99d37e9ac683f3246f96980d412ce40c","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Aetideidae","Aetideus",NA
"2735506ea0e9031972791815762c155feeb9394b","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Podoplea","Cyclopoida","Oncaeidae","Oncaea",NA
"30d045bb3c00279f5b5f97e54d5d03106fd8186f","Animalia","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Sergestidae","Neosergestes",NA
"3f5807ef95ce9f610e72088d5bcac8012cc9e624","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Clausocalanidae","Pseudocalanus",NA
"45bd7533ce3843fd38aeca890bbc9e687e15d154","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Euchaetidae","Euchaeta",NA
"5234d5ef2703aee023a50893482e24b0caf9e087","Animalia","Cnidaria","Subphylum","Hydrozoa","Hydroidolina","Superorder","Siphonophorae","Agalmatidae","Agalma",NA
"57005a777156822813323fb1ad812d5fee0c64f4","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Paracalanidae","Acrocalanus",NA
"5f3e3071e3b0c2ff02c5aaa392f3329050db3e87","Animalia","Mollusca","Subphylum","Gastropoda","Heterobranchia","Superorder","Pteropoda","Cliidae","Clio",NA
"66ad6b2a1f44ed526859c089642d38692ed8eba9","Animalia","Cnidaria","Subphylum","Hydrozoa","Trachylinae","Superorder","Trachymedusae","Halicreatidae","Botrynema",NA
"67699186f2500d9fed3b98c89a41824904dec096","Animalia","Cnidaria","Subphylum","Hydrozoa","Hydroidolina","Superorder","Siphonophorae","Diphyidae","Muggiaea",NA
"68714bd4d91f5d800bb81a5f47e9e6f02384257b","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Clausocalanidae","Clausocalanus",NA
"7257d5f81a20a6e94a2c6a8fd4aec7c731f720ce","Animalia","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Peracarida","Amphipoda","Lestrigonidae","Lestrigonus",NA
"7df189e993f359afe2e5bcaebc5218a2a5b5b64e","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Clausocalanidae","Ctenocalanus",NA
"837020b55b70e40635c33417f7572942ca7a7009","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Candaciidae","Candacia",NA
"8d4cc2e8c7f20ba7e2a4c6ee4457f0a6a9b98d45","Animalia","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Peracarida","Amphipoda","Uristidae","Abyssorchomene",NA
"914275e6686877e25cfdb5df6c8a42744c44f9b0","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Metridinidae","Pleuromamma",NA
"a15fa1e1831ffac3265b6f2979da3a880f156124","Animalia","Cnidaria","Subphylum","Scyphozoa","Discomedusae","Superorder","Semaeostomeae","Phacellophoridae","Phacellophora",NA
"a1bd8c3c579e5c0eae315dfe9ba06d3f4b917007","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Eucalanidae","Eucalanus",NA
"a64ae6c3a19ca4d404b1876c5f899d557eec2db3","Animalia","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Eucarida","Euphausiacea","Euphausiidae","Thysanopoda",NA
"a84670c76f5c12ac10b05154640f60e6154751ac","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Heterorhabdidae","Heterorhabdus",NA
"ae8bf3956bdfd36f586a4edc9e70a53543f66943","Animalia","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Eucarida","Euphausiacea","Euphausiidae","Thysanoessa",NA
"b95338d3c9a7df5b78e7cc797e0df0c77a97ab62","Animalia","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Eucarida","Euphausiacea","Euphausiidae","Nematoscelis",NA
"c240b5f38c73bcdef8ba7aea1f95273b2d40e3e5","Animalia","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Eucarida","Euphausiacea","Euphausiidae","Euphausia",NA
"c25abcc3358f7552ed039ccacfb4b28467b2ca9b","Animalia","Cnidaria","Subphylum","Hydrozoa","Trachylinae","Superorder","Trachymedusae","Rhopalonematidae","Pantachogon",NA
"c3db1f4fb87f52065f108aea13bad38e2d74d8fa","Animalia","Cnidaria","Subphylum","Hydrozoa","Hydroidolina","Superorder","Siphonophorae","Prayidae","Rosacea",NA
"ccefe43aecdd47a1cd28576927eb17bca2811aad","Animalia","Cnidaria","Subphylum","Hydrozoa","Hydroidolina","Superorder","Siphonophorae","Apolemiidae","Apolemia",NA
"cdffdeed24846ab0fa0610d9f5c119df862c22d2","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Metridinidae","Metridia",NA
"d397f6aeba5625229c1e0c143454aa0b669b5f99","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Euchaetidae","Paraeuchaeta",NA
"d70f7dbd55afb1d68044e80f2142440d9779e66c","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Cyclopoida","Corycaeidae","Ditrichocorycaeus",NA
"dbcdc0436dc94019e54850fc03f4a79efadac140","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Paracalanidae","Mecynocera",NA
"dfd1a7b684bae687ae1e274f3d5bc7bfd0256cfa","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Podoplea","Cyclopoida","Sapphirinidae","Sapphirinidae",NA
"f2fe0e52c9998b086ebdcb92c0452a3818276470","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Calanidae","Neocalanus",NA
"66f6c47c5979aac96f1df5faa6d01a8bff3086f2","Animalia","Annelida","Subphylum","Polychaeta","Errantia","Superorder","Phyllodocida","Tomopteridae","Tomopteridae",NA
"79945e3b03896c55e4bffaf684e998959fab4cd9","Animalia","Mollusca","Subphylum","Gastropoda","Heterobranchia","Superorder","Pteropoda","Limacinidae","Heliconoides",NA
"9f2deb97467abc9e8db1bf961b30aed8ae0c27d5","Animalia","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Peracarida","Amphipoda","Eurytheneidae","Eurythenes",NA
"a155812b174fd2534a966f14f95982cbbe17cd8e","Animalia","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Peracarida","Amphipoda","Hyperiidae","Themisto",NA
"aaa1907ba3728258b8dd6e8e96946f186b121454","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Paracalanidae","Paracalanus",NA
"ac8d0324ccb1c0e0f0990108082986b925d04c9c","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Scolecitrichidae","Lophothrix",NA
"ae9d88ef9aff21f7aabc3aa9e4be866345010157","Animalia","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Eucarida","Euphausiacea","Euphausiidae","Nematobrachion",NA
"bfcd14f97747c99372ec23c78dab3909d1561ea0","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Eucalanidae","Rhincalanus",NA
"c1eb4696ff48e88b0f85f960b37292932f606e07","Animalia","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Sergestidae","Eusergestes",NA
"1fcf5441d358d497a4b182b240116d2f0b8df03a","Animalia","Chordata","Tunicata","Thaliacea","Subclass","Superorder","Pyrosomatida","Pyrosomatidae","Pyrosoma",NA
"4b558dd57dc1a8ff4678c832e00b98571b591228","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Lucicutiidae","Lucicutia",NA
"579246ea6d913744ff16f5ea2844142f36105452","Animalia","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Sergestidae","Allosergestes",NA
"711ed716c7a018f4769d6113423b13b7182a7b81","Animalia","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pandalidae","Heterocarpus",NA
"bcee65e78d97be5d4e11196b1ecf02487533304c","Animalia","Platyhelminthes","Rhabditophora","Class","Subclass","Superorder","Polycladida","Notocomplanidae","Notocomplana",NA
"df6290a14c779978a627837be2dacff303717e2f","Animalia","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Peracarida","Amphipoda","Phrosinidae","Primno",NA
"...53","other","other","other","other","other","other","other","other","other","other"
