"","Kingdom","Phylum","Subphylum","Class","Subclass","Superorder","Order","Family","Genus","Species"
"01ff6dedcf9317a7d3435b75319b72b0d7427f3a","Animalia","Cnidaria","Subphylum","Hydrozoa","Hydroidolina","Superorder","Siphonophorae","Agalmatidae","Agalma",NA
"0c5fa17f7ecf209f6fd088aa6fd53eb627bafcf0","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Calanidae","Calanus",NA
"1fcf5441d358d497a4b182b240116d2f0b8df03a","Animalia","Chordata","Tunicata","Thaliacea","Subclass","Superorder","Pyrosomatida","Pyrosomatidae","Pyrosoma",NA
"2439425b99d37e9ac683f3246f96980d412ce40c","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Aetideidae","Aetideus",NA
"25c208e03a668c3e073411c7916d4c236fea3fee","Animalia","Cnidaria","Subphylum","Hydrozoa","Hydroidolina","Superorder","Siphonophorae","Diphyidae","Lensia",NA
"2735506ea0e9031972791815762c155feeb9394b","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Podoplea","Cyclopoida","Oncaeidae","Oncaea",NA
"2d1dfb4d825a120371ec152ce4490c84f738245d","Animalia","Arthropoda","Crustacea","Branchiopoda","Diplostraca","Cladocera","Onychopoda","Podonidae","Pseudevadne",NA
"317eeafe399786c55884c80585efd0ae9c953f5c","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Clausocalanidae","Pseudocalanus",NA
"45bd7533ce3843fd38aeca890bbc9e687e15d154","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Euchaetidae","Euchaeta",NA
"49b90024154644c1902b93b249a99b6dd3f0be59","Animalia","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Eucarida","Euphausiacea","Euphausiidae","Thysanoessa",NA
"5b408bcb18ddca8a0088c8cb0c94f8f01e3d565d","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Acartiidae","Acartia",NA
"67699186f2500d9fed3b98c89a41824904dec096","Animalia","Cnidaria","Subphylum","Hydrozoa","Hydroidolina","Superorder","Siphonophorae","Diphyidae","Muggiaea",NA
"75d23efcebef6cf45d0c89fc24e8b39c75f23f63","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Eucalanidae","Eucalanus",NA
"7df189e993f359afe2e5bcaebc5218a2a5b5b64e","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Clausocalanidae","Ctenocalanus",NA
"8d4cc2e8c7f20ba7e2a4c6ee4457f0a6a9b98d45","Animalia","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Peracarida","Amphipoda","Uristidae","Abyssorchomene",NA
"8f00bd43b9cef841b113073b7bdea53114cd7384","Animalia","Cnidaria","Subphylum","Hydrozoa","Hydroidolina","Superorder","Siphonophorae","Agalmatidae","Nanomia",NA
"914275e6686877e25cfdb5df6c8a42744c44f9b0","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Metridinidae","Pleuromamma",NA
"920f75722272dca999a3bf9a69c8a4c4f5a30fa1","Animalia","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Peracarida","Amphipoda","Paraphronimidae","Paraphronima",NA
"9f2deb97467abc9e8db1bf961b30aed8ae0c27d5","Animalia","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Peracarida","Amphipoda","Eurytheneidae","Eurythenes",NA
"a3aa48eda958305314ca2ae91a164da875f8cff8","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Paracalanidae","Acrocalanus",NA
"b32912c1beeadab84abd46e2e1e574cc5ba10efb","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Heterorhabdidae","Heterorhabdus",NA
"b95338d3c9a7df5b78e7cc797e0df0c77a97ab62","Animalia","Arthropoda","Crustacea","Malacostraca","Eumalacostraca","Eucarida","Euphausiacea","Euphausiidae","Nematoscelis",NA
"bfcd14f97747c99372ec23c78dab3909d1561ea0","Animalia","Arthropoda","Crustacea","Hexanauplia","Copepoda","Gymnoplea","Calanoida","Eucalanidae","Rhincalanus",NA
