"","Sample_ID","max_size","Sample_ID_short","cycle","potemp2","density2","oxy_sat","Sal2","NO2","nitracline_depth","NO3","fluorescence","hypoxia_depth","chl_max_depth","PO4","SIL","NH4","beam_depth","chl_max","mixedlayerdepths","intergrated_chl","day_night_0_1","distance_from_shore","PAR_1_depth"
"1","C1-T7-H9_S1",0.5,"C1-T7-H9","1",13.6354125,25.27231875,68.65825,33.72105625,0.271166667,4.793,17.5485,4.377575,127.52,14.88966667,1.386,16.9485,0.108,10.919,4.7989,34.3175147058824,43.229,1,54.4508962247715,9
"2","C1-T7-H9_S2",1,"C1-T7-H9","1",13.6354125,25.27231875,68.65825,33.72105625,0.271166667,4.793,17.5485,4.377575,127.52,14.88966667,1.386,16.9485,0.108,10.919,4.7989,34.3175147058824,43.229,1,54.4508962247715,9
"3","C1-T7-H9_S3",2,"C1-T7-H9","1",13.6354125,25.27231875,68.65825,33.72105625,0.271166667,4.793,17.5485,4.377575,127.52,14.88966667,1.386,16.9485,0.108,10.919,4.7989,34.3175147058824,43.229,1,54.4508962247715,9
"4","C1-T8-H10_S1",0.5,"C1-T8-H10","1",14.52624375,25.12710625,73.9570625,33.7726125,0.293333333,5.056,6.879666667,3.06598125,117.599,33.74833333,0.619,4.617666667,0.519666667,8.4375,3.9444,39.6078489795917,93.982,0,57.2760460962315,30
"5","C1-T8-H10_S2",1,"C1-T8-H10","1",14.52624375,25.12710625,73.9570625,33.7726125,0.293333333,5.056,6.879666667,3.06598125,117.599,33.74833333,0.619,4.617666667,0.519666667,8.4375,3.9444,39.6078489795917,93.982,0,57.2760460962315,30
"6","C1-T8-H10_S3",2,"C1-T8-H10","1",14.52624375,25.12710625,73.9570625,33.7726125,0.293333333,5.056,6.879666667,3.06598125,117.599,33.74833333,0.619,4.617666667,0.519666667,8.4375,3.9444,39.6078489795917,93.982,0,57.2760460962315,30
"7","C2-T8-H18_S1",0.5,"C2-T8-H18","2",15.59365,24.5697,64.668,33.34975,0.221166667,4.771,6.914333333,1.7352,127.517,14.88933333,0.475166667,5.279,0.129666667,14.889,8.5157,12.3612075471698,10.001,0,89.044679322322,6
"8","C2-T8-H18_S2",1,"C2-T8-H18","2",15.59365,24.5697,64.668,33.34975,0.221166667,4.771,6.914333333,1.7352,127.517,14.88933333,0.475166667,5.279,0.129666667,14.889,8.5157,12.3612075471698,10.001,0,89.044679322322,6
"9","C2-T8-H18_S3",2,"C2-T8-H18","2",15.59365,24.5697,64.668,33.34975,0.221166667,4.771,6.914333333,1.7352,127.517,14.88933333,0.475166667,5.279,0.129666667,14.889,8.5157,12.3612075471698,10.001,0,89.044679322322,6
"10","C2-T9-H19_S1",0.5,"C2-T9-H19","2",15.85675,24.06715,69.2275,32.7728,0.3052,4.576,7.3326,1.59615,129.5,30.76966667,0.668,5.1062,0.433,26.8,4.107233333,18.626998198057,11.23,1,107.295262983128,6
