,potemp2,density2,oxy_sat,Sal2,NO2,nitracline_depth,NO3,fluorescence,hypoxia_depth,chl_max_depth,PO4,SIL,NH4,beam_depth,chl_max,mixedlayerdepths,intergrated_chl,day_night_0_1,distance_from_shore,PAR_1_depth_adj,Sizefractionmm,max_size,cycle,Sample_ID_short,Sample_ID_dot,PC1,Longitude,Latitude
C1-T7-H9_S1,13.6354125,25.27231875,68.65825,33.72105625,0.271166667,4.793,17.5485,4.377575,127.52,14.88966667,1.386,16.9485,0.108,10.919,4.7989,34.31751471,43.229,1,54.45089622,30,0.2-0.5,0.5,1,C1-T7-H9,C1.T7.H9_S1,-6.573255037,-122.4661,36.18643
C1-T7-H9_S2,13.6354125,25.27231875,68.65825,33.72105625,0.271166667,4.793,17.5485,4.377575,127.52,14.88966667,1.386,16.9485,0.108,10.919,4.7989,34.31751471,43.229,1,54.45089622,30,0.5-1,1,1,C1-T7-H9,C1.T7.H9_S2,-6.573255037,-122.4661,36.18643
C1-T7-H9_S3,13.6354125,25.27231875,68.65825,33.72105625,0.271166667,4.793,17.5485,4.377575,127.52,14.88966667,1.386,16.9485,0.108,10.919,4.7989,34.31751471,43.229,1,54.45089622,30,2-Jan,2,1,C1-T7-H9,C1.T7.H9_S3,-6.573255037,-122.4661,36.18643
C1-T8-H10_S1,14.52624375,25.12710625,73.9570625,33.7726125,0.293333333,5.056,6.879666667,3.06598125,117.599,33.74833333,0.619,4.617666667,0.519666667,8.4375,3.9444,39.60784898,93.982,0,57.2760461,30,0.2-0.5,0.5,1,C1-T8-H10,C1.T8.H10_S1,-4.157659552,-122.4958,36.11382
C1-T8-H10_S2,14.52624375,25.12710625,73.9570625,33.7726125,0.293333333,5.056,6.879666667,3.06598125,117.599,33.74833333,0.619,4.617666667,0.519666667,8.4375,3.9444,39.60784898,93.982,0,57.2760461,30,0.5-1,1,1,C1-T8-H10,C1.T8.H10_S2,-4.157659552,-122.4958,36.11382
C1-T8-H10_S3,14.52624375,25.12710625,73.9570625,33.7726125,0.293333333,5.056,6.879666667,3.06598125,117.599,33.74833333,0.619,4.617666667,0.519666667,8.4375,3.9444,39.60784898,93.982,0,57.2760461,30,2-Jan,2,1,C1-T8-H10,C1.T8.H10_S3,-4.157659552,-122.4958,36.11382
C2-T8-H18_S1,15.59365,24.5697,64.668,33.34975,0.221166667,4.771,6.914333333,1.7352,127.517,14.88933333,0.475166667,5.279,0.129666667,14.889,8.5157,12.36120755,10.001,0,89.04467932,6,0.2-0.5,0.5,2,C2-T8-H18,C2.T8.H18_S1,-3.495869841,-123.0914,36.42905
C2-T8-H18_S2,15.59365,24.5697,64.668,33.34975,0.221166667,4.771,6.914333333,1.7352,127.517,14.88933333,0.475166667,5.279,0.129666667,14.889,8.5157,12.36120755,10.001,0,89.04467932,6,0.5-1,1,2,C2-T8-H18,C2.T8.H18_S2,-3.495869841,-123.0914,36.42905
C2-T8-H18_S3,15.59365,24.5697,64.668,33.34975,0.221166667,4.771,6.914333333,1.7352,127.517,14.88933333,0.475166667,5.279,0.129666667,14.889,8.5157,12.36120755,10.001,0,89.04467932,6,2-Jan,2,2,C2-T8-H18,C2.T8.H18_S3,-3.495869841,-123.0914,36.42905
C2-T9-H19_S1,15.85675,24.06715,69.2275,32.7728,0.3052,4.576,7.3326,1.59615,129.5,30.76966667,0.668,5.1062,0.433,26.8,4.107233333,18.6269982,11.23,1,107.295263,6,0.2-0.5,0.5,2,C2-T9-H19,C2.T9.H19_S1,-2.811058313,-123.226,36.46062
