Sample_ID,Sample_ID_dot,clust_group,offshore_onshore,PC1
C1-T7-H9,C1.T7.H9_S1,1,onshore,6.573255037
C1-T7-H9,C1.T7.H9_S2,1,onshore,6.573255037
C1-T7-H9,C1.T7.H9_S3,1,onshore,6.573255037
C1-T8-H10,C1.T8.H10_S1,1,onshore,4.157659552
C1-T8-H10,C1.T8.H10_S2,1,onshore,4.157659552
C1-T8-H10,C1.T8.H10_S3,1,onshore,4.157659552
C2-T8-H18,C2.T8.H18_S1,1,onshore,3.495869841
C2-T8-H18,C2.T8.H18_S2,1,onshore,3.495869841
C2-T8-H18,C2.T8.H18_S3,1,onshore,3.495869841
C2-T9-H19,C2.T9.H19_S1,1,onshore,2.811058313
C2-T9-H19,C2.T9.H19_S2,1,onshore,2.811058313
C2-T9-H19,C2.T9.H19_S3,1,onshore,2.811058313
C3-T6-H25,C3.T6.H25_S1,2,offshore,-4.6044581
C3-T6-H25,C3.T6.H25_S2,2,offshore,-4.6044581
C3-T6-H25,C3.T6.H25_S3,2,offshore,-4.6044581
C3-T7-H26,C3.T7.H26_S1,2,offshore,-4.437854817
C3-T7-H26,C3.T7.H26_S2,2,offshore,-4.437854817
C3-T7-H26,C3.T7.H26_S3,2,offshore,-4.437854817
CT1-T1-H28,CT1.T1.H28_S1,2,offshore,-2.054216937
CT1-T1-H28,CT1.T1.H28_S2,2,offshore,-2.054216937
CT1-T1-H28,CT1.T1.H28_S3,2,offshore,-2.054216937
CT1-T2-H29,CT1.T2.H29_S1,2,offshore,-3.394650309
CT1-T2-H29,CT1.T2.H29_S2,2,offshore,-3.394650309
CT1-T2-H29,CT1.T2.H29_S3,2,offshore,-3.394650309
CT1-T3-H30,CT1.T3.H30_S1,2,offshore,-3.727302931
CT1-T3-H30,CT1.T3.H30_S2,2,offshore,-3.727302931
CT1-T3-H30,CT1.T3.H30_S3,2,offshore,-3.727302931
CT1-T4-H31,CT1.T4.H31_S1,2,offshore,-3.259153374
CT1-T4-H31,CT1.T4.H31_S2,2,offshore,-3.259153374
CT1-T4-H31,CT1.T4.H31_S3,2,offshore,-3.259153374
CT1-T5-H32,CT1.T5.H32_S1,2,offshore,-2.057413352
CT1-T5-H32,CT1.T5.H32_S2,2,offshore,-2.057413352
CT1-T5-H32,CT1.T5.H32_S3,2,offshore,-2.057413352
CT1-T6-H33,CT1.T6.H33_S1,2,offshore,-2.808803596
CT1-T6-H33,CT1.T6.H33_S2,2,offshore,-2.808803596
CT1-T6-H33,CT1.T6.H33_S3,2,offshore,-2.808803596
CT1-T7-H34,CT1.T7.H34_S1,1,onshore,1.021747674
CT1-T7-H34,CT1.T7.H34_S2,1,onshore,1.021747674
CT1-T7-H34,CT1.T7.H34_S3,1,onshore,1.021747674
CT1-T8-H35,CT1.T8.H35_S1,1,onshore,1.240985634
CT1-T8-H35,CT1.T8.H35_S2,1,onshore,1.240985634
CT1-T8-H35,CT1.T8.H35_S3,1,onshore,1.240985634
CT2-T1-H36,CT2.T1.H36_S1,1,onshore,2.177361041
CT2-T1-H36,CT2.T1.H36_S2,1,onshore,2.177361041
CT2-T1-H36,CT2.T1.H36_S3,1,onshore,2.177361041
CT2-T4-H39,CT2.T4.H39_S1,1,onshore,1.910761547
CT2-T4-H39,CT2.T4.H39_S2,1,onshore,1.910761547
CT2-T4-H39,CT2.T4.H39_S3,1,onshore,1.910761547
CT2-T8-H43,CT2.T8.H43_S1,1,onshore,2.955154777
CT2-T8-H43,CT2.T8.H43_S2,1,onshore,2.955154777
CT2-T8-H43,CT2.T8.H43_S3,1,onshore,2.955154777
