"","depth","Sample_ID"
"1",203.45,"C1-T7-H9"
"7010",201.13,"C2-T8-H18"
"17941",175.91,"C3-BT6-H25"
"21875",215.44,"C3-T7-H26"
"27425",200,"CT1-T1-H28"
"43010",200,"CT1-T2-H29"
"51385",200,"CT1-T3-H30"
"55123",180.96,"CT1-T4-H31"
"66276",212.871221,"CT1-T5-H32"
"72260",208.021,"CT1-T6-H33"
"84896",194.55,"CT1-T7-H34"
"101908",204.22,"CT1-T8-H10"
"106606",192.5687525,"CT1-T8-H35"
"114569",225.982946,"CT2-T1-H36"
"118736",172.9296949,"CT2-T4-H39"
"128099",194.549872003685,"CT2-T8-H43"
"140001",217.25,"CT2-T9-H19"
