"","coord","sample","p2.5","p25","p50","n_reads","p75","p97.5","cycle_num","size","replicate"
"1","Euphausia",NA,NA,NA,NA,0.592388812471343,NA,NA,30,"1-2mm","C1.T7.H9_S3.3"
"2","Euphausia",NA,NA,NA,NA,0.390961130089558,NA,NA,30,"1-2mm","C1.T7.H9_S3.2"
"3","Rosacea",NA,NA,NA,NA,0.279567906933801,NA,NA,30,"1-2mm","C1.T7.H9_S3.2"
"4","other",NA,NA,NA,NA,0.266134244298772,NA,NA,30,"1-2mm","C1.T7.H9_S3.2"
"5","other",NA,NA,NA,NA,0.20861989912884,NA,NA,30,"1-2mm","C1.T7.H9_S3.3"
"6","Rosacea",NA,NA,NA,NA,0.143512150389729,NA,NA,30,"1-2mm","C1.T7.H9_S3.3"
"7","Calanus",NA,NA,NA,NA,0.0619979687932786,NA,NA,30,"1-2mm","C1.T7.H9_S3.2"
"8","Calanus",NA,NA,NA,NA,0.0554791380100871,NA,NA,30,"1-2mm","C1.T7.H9_S3.3"
"9","Pleuromamma",NA,NA,NA,NA,0.00133874988459053,NA,NA,30,"1-2mm","C1.T7.H9_S3.2"
"10","Pleuromamma",NA,NA,NA,NA,0,NA,NA,30,"1-2mm","C1.T7.H9_S3.3"
"11","Rosacea",1,0.409428053348652,0.822785456344686,0.919370001941245,0.863598414381624,0.966039894906427,0.994034560413167,0,"1-2mm","predicted C1.T7.H9_S3"
"12","Euphausia",1,0.00389479006877809,0.0169614880914354,0.0332264315623628,0.0477868385992194,0.0616105090215613,0.17864861944667,0,"1-2mm","predicted C1.T7.H9_S3"
"13","Calanus",1,0.000306416225285632,0.00428802506490738,0.0152927392222786,0.0468559503318648,0.0481316668408865,0.304045936716163,0,"1-2mm","predicted C1.T7.H9_S3"
"14","other",1,0.000116943846619904,0.00193741954429434,0.00685837848490129,0.0225249648066583,0.0219394992342264,0.152831402687114,0,"1-2mm","predicted C1.T7.H9_S3"
"15","Pleuromamma",1,0.000110485838645725,0.00170304961091737,0.00584167595361914,0.0192338318806333,0.0183718924208417,0.125601767760673,0,"1-2mm","predicted C1.T7.H9_S3"
"16","Euphausia",NA,NA,NA,NA,0.99362962962963,NA,NA,30,"1-2mm","C1.T8.H10_S3.3"
"17","Euphausia",NA,NA,NA,NA,0.956318599822011,NA,NA,30,"1-2mm","C1.T8.H10_S3.2"
"18","Rosacea",NA,NA,NA,NA,0.0300726787303471,NA,NA,30,"1-2mm","C1.T8.H10_S3.2"
"19","Calanus",NA,NA,NA,NA,0.00793533076238505,NA,NA,30,"1-2mm","C1.T8.H10_S3.2"
"20","Rosacea",NA,NA,NA,NA,0.00607407407407407,NA,NA,30,"1-2mm","C1.T8.H10_S3.3"
"21","other",NA,NA,NA,NA,0.00459804212399881,NA,NA,30,"1-2mm","C1.T8.H10_S3.2"
"22","Pleuromamma",NA,NA,NA,NA,0.00107534856125779,NA,NA,30,"1-2mm","C1.T8.H10_S3.2"
"23","Pleuromamma",NA,NA,NA,NA,0.000296296296296296,NA,NA,30,"1-2mm","C1.T8.H10_S3.3"
"24","Calanus",NA,NA,NA,NA,0,NA,NA,30,"1-2mm","C1.T8.H10_S3.3"
"25","other",NA,NA,NA,NA,0,NA,NA,30,"1-2mm","C1.T8.H10_S3.3"
"26","Rosacea",1,0.67867907245045,0.953326632133596,0.984484311759544,0.951932153929745,0.9951849490177,0.999562649656516,0,"1-2mm","predicted C1.T8.H10_S3"
"27","Euphausia",1,0.000410958259425782,0.00440079492007081,0.013738557053727,0.0401989559631159,0.0402504645550674,0.253115461004524,0,"1-2mm","predicted C1.T8.H10_S3"
