"","coord","sample","p2.5","p25","p50","n_reads","p75","p97.5","cycle_num","size","replicate"
"1","Metridinidae",NA,NA,NA,NA,0.977744451109778,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S2.3"
"2","Metridinidae",NA,NA,NA,NA,0.962180528881666,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S2.2"
"3","Metridinidae",NA,NA,NA,NA,0.939148786493141,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S2.1"
"4","Calanidae",NA,NA,NA,NA,0.0573338023214914,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S2.1"
"5","Calanidae",NA,NA,NA,NA,0.0340590123423629,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S2.2"
"6","Calanidae",NA,NA,NA,NA,0.0213857228554289,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S2.3"
"7","Rhincalanidae",NA,NA,NA,NA,0.00351741118536757,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S2.1"
"8","Euphausiidae",NA,NA,NA,NA,0.00209511274661223,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S2.2"
"9","Rhincalanidae",NA,NA,NA,NA,0.0010609865832203,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S2.2"
"10","Rhincalanidae",NA,NA,NA,NA,0.000869826034793041,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S2.3"
"11","other",NA,NA,NA,NA,0.000604359446138143,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S2.2"
"12","Clausocalanidae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S2.1"
"13","Clausocalanidae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S2.2"
"14","Clausocalanidae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S2.3"
"15","Euphausiidae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S2.1"
"16","Euphausiidae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S2.3"
"17","Oithonidae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S2.1"
"18","Oithonidae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S2.2"
"19","Oithonidae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S2.3"
"20","Paracalanidae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S2.1"
"21","Paracalanidae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S2.2"
"22","Paracalanidae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S2.3"
"23","other",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S2.1"
"24","other",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S2.3"
"25","Metridinidae",1,0.120649496017988,0.451140329252387,0.633446448368933,0.59613537997864,0.770547197381524,0.914589013741509,0,"0.2-0.5mm","predicted C1.T7.H9_S2"
"26","Rhincalanidae",1,0.00943489270329753,0.0606779656294492,0.132744108348025,0.191963165541545,0.267764732814416,0.68301910772786,0,"0.2-0.5mm","predicted C1.T7.H9_S2"
"27","other",1,0.00465496548924714,0.0256936901205523,0.0573092522191188,0.0925288260963661,0.119297247150678,0.397050823201392,0,"0.2-0.5mm","predicted C1.T7.H9_S2"
"28","Calanidae",1,0.00769276244966454,0.0291399423680557,0.048191437404288,0.0581551518815836,0.0749197359515781,0.169382675814454,0,"0.2-0.5mm","predicted C1.T7.H9_S2"
