"","coord","sample","p2.5","p25","p50","n_reads","p75","p97.5","cycle_num","size","replicate"
"1","Ctenocalanus",NA,NA,NA,NA,0.610202746893394,NA,NA,30,"0.2-0.5mm","CT1.T7.H34_S1.3"
"2","Ctenocalanus",NA,NA,NA,NA,0.546228020419739,NA,NA,30,"0.2-0.5mm","CT1.T7.H34_S1.1"
"3","Ctenocalanus",NA,NA,NA,NA,0.430424528301887,NA,NA,30,"0.2-0.5mm","CT1.T7.H34_S1.2"
"4","Ditrichocorycaeus",NA,NA,NA,NA,0.251768867924528,NA,NA,30,"0.2-0.5mm","CT1.T7.H34_S1.2"
"5","Calanus",NA,NA,NA,NA,0.226415094339623,NA,NA,30,"0.2-0.5mm","CT1.T7.H34_S1.2"
"6","Calanus",NA,NA,NA,NA,0.20699803793329,NA,NA,30,"0.2-0.5mm","CT1.T7.H34_S1.3"
"7","Calanus",NA,NA,NA,NA,0.159954622802042,NA,NA,30,"0.2-0.5mm","CT1.T7.H34_S1.1"
"8","other",NA,NA,NA,NA,0.118547929665343,NA,NA,30,"0.2-0.5mm","CT1.T7.H34_S1.1"
"9","Ditrichocorycaeus",NA,NA,NA,NA,0.111510791366906,NA,NA,30,"0.2-0.5mm","CT1.T7.H34_S1.3"
"10","Ditrichocorycaeus",NA,NA,NA,NA,0.0794100964265457,NA,NA,30,"0.2-0.5mm","CT1.T7.H34_S1.1"
"11","Euphausia",NA,NA,NA,NA,0.0680657969370391,NA,NA,30,"0.2-0.5mm","CT1.T7.H34_S1.1"
"12","other",NA,NA,NA,NA,0.0471698113207547,NA,NA,30,"0.2-0.5mm","CT1.T7.H34_S1.2"
"13","other",NA,NA,NA,NA,0.0441465009810334,NA,NA,30,"0.2-0.5mm","CT1.T7.H34_S1.3"
"14","Euphausia",NA,NA,NA,NA,0.0215827338129496,NA,NA,30,"0.2-0.5mm","CT1.T7.H34_S1.3"
"15","Eucalanus",NA,NA,NA,NA,0.0182783018867925,NA,NA,30,"0.2-0.5mm","CT1.T7.H34_S1.2"
"16","Euphausia",NA,NA,NA,NA,0.017688679245283,NA,NA,30,"0.2-0.5mm","CT1.T7.H34_S1.2"
"17","Eucalanus",NA,NA,NA,NA,0.0175836642087351,NA,NA,30,"0.2-0.5mm","CT1.T7.H34_S1.1"
"18","Muggiaea",NA,NA,NA,NA,0.0102098695405559,NA,NA,30,"0.2-0.5mm","CT1.T7.H34_S1.1"
"19","Muggiaea",NA,NA,NA,NA,0.00825471698113208,NA,NA,30,"0.2-0.5mm","CT1.T7.H34_S1.2"
"20","Muggiaea",NA,NA,NA,NA,0.00327011118378025,NA,NA,30,"0.2-0.5mm","CT1.T7.H34_S1.3"
"21","Eucalanus",NA,NA,NA,NA,0.00228907782864617,NA,NA,30,"0.2-0.5mm","CT1.T7.H34_S1.3"
"22","Ctenocalanus",1,0.0822957300677462,0.339053459937845,0.52175442961614,0.512555254720733,0.692892601548328,0.901271885025254,0,"0.2-0.5mm","predicted CT1.T7.H34_S1"
"23","Muggiaea",1,0.0105536352828452,0.0663008611834096,0.141427804630794,0.193190433141349,0.27089348461801,0.643378854151841,0,"0.2-0.5mm","predicted CT1.T7.H34_S1"
"24","Ditrichocorycaeus",1,0.0196797388805386,0.0799311740317104,0.144879070105052,0.177921627023828,0.240928631417965,0.513549534836093,0,"0.2-0.5mm","predicted CT1.T7.H34_S1"
"25","Calanus",1,0.00067649136690977,0.00730721989340578,0.022852151595914,0.0562676100954858,0.063997236829194,0.338126276784725,0,"0.2-0.5mm","predicted CT1.T7.H34_S1"
"26","Eucalanus",1,3.92040018941014e-05,0.00123764356550728,0.00663841367506483,0.0446428510472635,0.0319410479425875,0.396250646982934,0,"0.2-0.5mm","predicted CT1.T7.H34_S1"
"27","other",1,0.000999625997913825,0.00410366488157558,0.00790748370526758,0.0117501450430396,0.0145532426044393,0.0457140564545001,0,"0.2-0.5mm","predicted CT1.T7.H34_S1"
"28","Euphausia",1,0.00017524912208454,0.000931524754601405,0.00198307231351549,0.0036720789283018,0.00408436844963222,0.018165374955166,0,"0.2-0.5mm","predicted CT1.T7.H34_S1"
"29","other",NA,NA,NA,NA,0.631614199598125,NA,NA,30,"0.2-0.5mm","CT1.T8.H35_S1.2"
"30","other",NA,NA,NA,NA,0.53551912568306,NA,NA,30,"0.2-0.5mm","CT1.T8.H35_S1.1"
"31","Calanus",NA,NA,NA,NA,0.399166034874905,NA,NA,30,"0.2-0.5mm","CT1.T8.H35_S1.4"
"32","Eucalanus",NA,NA,NA,NA,0.283548142532221,NA,NA,30,"0.2-0.5mm","CT1.T8.H35_S1.4"
"33","other",NA,NA,NA,NA,0.232752084912813,NA,NA,30,"0.2-0.5mm","CT1.T8.H35_S1.4"
"34","Ditrichocorycaeus",NA,NA,NA,NA,0.219840269020597,NA,NA,30,"0.2-0.5mm","CT1.T8.H35_S1.1"
"35","Euphausia",NA,NA,NA,NA,0.150483396385036,NA,NA,30,"0.2-0.5mm","CT1.T8.H35_S1.1"
"36","Ditrichocorycaeus",NA,NA,NA,NA,0.149586961375307,NA,NA,30,"0.2-0.5mm","CT1.T8.H35_S1.2"
"37","Euphausia",NA,NA,NA,NA,0.102701495869614,NA,NA,30,"0.2-0.5mm","CT1.T8.H35_S1.2"
"38","Ditrichocorycaeus",NA,NA,NA,NA,0.0636846095526914,NA,NA,30,"0.2-0.5mm","CT1.T8.H35_S1.4"
"39","Ctenocalanus",NA,NA,NA,NA,0.0564858227282876,NA,NA,30,"0.2-0.5mm","CT1.T8.H35_S1.2"
"40","Calanus",NA,NA,NA,NA,0.0374106767549391,NA,NA,30,"0.2-0.5mm","CT1.T8.H35_S1.1"
"41","Ctenocalanus",NA,NA,NA,NA,0.0365699873896595,NA,NA,30,"0.2-0.5mm","CT1.T8.H35_S1.1"
"42","Calanus",NA,NA,NA,NA,0.0299173922750614,NA,NA,30,"0.2-0.5mm","CT1.T8.H35_S1.2"
"43","Muggiaea",NA,NA,NA,NA,0.0218798839026568,NA,NA,30,"0.2-0.5mm","CT1.T8.H35_S1.2"
"44","Muggiaea",NA,NA,NA,NA,0.0147120638923918,NA,NA,30,"0.2-0.5mm","CT1.T8.H35_S1.1"
"45","Euphausia",NA,NA,NA,NA,0.013267626990144,NA,NA,30,"0.2-0.5mm","CT1.T8.H35_S1.4"
"46","Eucalanus",NA,NA,NA,NA,0.00781424425094887,NA,NA,30,"0.2-0.5mm","CT1.T8.H35_S1.2"
"47","Ctenocalanus",NA,NA,NA,NA,0.00758150113722517,NA,NA,30,"0.2-0.5mm","CT1.T8.H35_S1.4"
"48","Eucalanus",NA,NA,NA,NA,0.00546448087431694,NA,NA,30,"0.2-0.5mm","CT1.T8.H35_S1.1"
"49","Muggiaea",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","CT1.T8.H35_S1.4"
"50","Muggiaea",1,0.00120749603419552,0.059065426929139,0.242864011291271,0.34744521924484,0.610738065285972,0.973003912073942,0,"0.2-0.5mm","predicted CT1.T8.H35_S1"
"51","Ditrichocorycaeus",1,0.0025963813670741,0.0580697772277263,0.203985991934248,0.297626228619734,0.488231862436719,0.913826675517037,0,"0.2-0.5mm","predicted CT1.T8.H35_S1"
"52","Ctenocalanus",1,0.000822651916418163,0.0278798478462034,0.117647319627612,0.23187727788332,0.367115329241666,0.901243869014005,0,"0.2-0.5mm","predicted CT1.T8.H35_S1"
"53","Eucalanus",1,4.19114702084231e-08,3.76574346345772e-05,0.000924146155031588,0.0745600179033611,0.0192125821761252,0.846566192609276,0,"0.2-0.5mm","predicted CT1.T8.H35_S1"
"54","Calanus",1,1.54412896088893e-06,0.000179351899288089,0.00170371587754126,0.0315771694145864,0.013326944446464,0.343004468400906,0,"0.2-0.5mm","predicted CT1.T8.H35_S1"
"55","other",1,3.89872947030565e-05,0.000894939727037204,0.00342869637872642,0.0161299389538517,0.0120000952128918,0.116905705722176,0,"0.2-0.5mm","predicted CT1.T8.H35_S1"
"56","Euphausia",1,3.31822278157453e-07,1.2910903020034e-05,6.42037149530859e-05,0.000784147980306913,0.000303398009369569,0.00532505960361003,0,"0.2-0.5mm","predicted CT1.T8.H35_S1"
"57","Euphausia",NA,NA,NA,NA,0.956331877729258,NA,NA,30,"0.2-0.5mm","CT2.T1.H36_S1.1"
"58","Euphausia",NA,NA,NA,NA,0.946858288770054,NA,NA,30,"0.2-0.5mm","CT2.T1.H36_S1.2"
"59","other",NA,NA,NA,NA,0.0280748663101604,NA,NA,30,"0.2-0.5mm","CT2.T1.H36_S1.2"
"60","other",NA,NA,NA,NA,0.0224578914535246,NA,NA,30,"0.2-0.5mm","CT2.T1.H36_S1.1"
"61","Ctenocalanus",NA,NA,NA,NA,0.0124777183600713,NA,NA,30,"0.2-0.5mm","CT2.T1.H36_S1.2"
"62","Calanus",NA,NA,NA,NA,0.0124766063630692,NA,NA,30,"0.2-0.5mm","CT2.T1.H36_S1.1"
"63","Calanus",NA,NA,NA,NA,0.0112522281639929,NA,NA,30,"0.2-0.5mm","CT2.T1.H36_S1.2"
"64","Ctenocalanus",NA,NA,NA,NA,0.00748596381784155,NA,NA,30,"0.2-0.5mm","CT2.T1.H36_S1.1"
"65","Ditrichocorycaeus",NA,NA,NA,NA,0.00133689839572193,NA,NA,30,"0.2-0.5mm","CT2.T1.H36_S1.2"
"66","Eucalanus",NA,NA,NA,NA,0.00124766063630692,NA,NA,30,"0.2-0.5mm","CT2.T1.H36_S1.1"
"67","Muggiaea",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","CT2.T1.H36_S1.1"
"68","Muggiaea",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","CT2.T1.H36_S1.2"
"69","Eucalanus",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","CT2.T1.H36_S1.2"
"70","Ditrichocorycaeus",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","CT2.T1.H36_S1.1"
"71","Ctenocalanus",1,0.000158558245219373,0.0506857731612345,0.322785101173455,0.415902643896779,0.79094141787048,0.994751337140177,0,"0.2-0.5mm","predicted CT2.T1.H36_S1"
"72","Muggiaea",1,1.03260054238556e-05,0.0044026024901401,0.0511220460568891,0.226514841080497,0.363417212540939,0.980827769132975,0,"0.2-0.5mm","predicted CT2.T1.H36_S1"
"73","Ditrichocorycaeus",1,4.54858302662263e-05,0.00559150610855896,0.0438778426048718,0.179820788837824,0.23947834215047,0.91569276251191,0,"0.2-0.5mm","predicted CT2.T1.H36_S1"
"74","Eucalanus",1,8.87852795458618e-12,2.77018489268826e-07,3.25459106125358e-05,0.0673991955682185,0.00331863344444416,0.920752159752723,0,"0.2-0.5mm","predicted CT2.T1.H36_S1"
"75","Calanus",1,1.37117091462001e-08,1.63145854646545e-05,0.000492872591433014,0.0528686699374713,0.0106341339092086,0.698807427118132,0,"0.2-0.5mm","predicted CT2.T1.H36_S1"
"76","other",1,3.66749766230569e-06,0.000304570491368168,0.00222229973415844,0.0301566884267126,0.013419449568193,0.296831960263387,0,"0.2-0.5mm","predicted CT2.T1.H36_S1"
"77","Euphausia",1,3.1133192764388e-07,7.29440438329536e-05,0.000773772937370002,0.0273371722524981,0.00715386398972958,0.317022677613776,0,"0.2-0.5mm","predicted CT2.T1.H36_S1"
"78","Eucalanus",NA,NA,NA,NA,0.481447705899117,NA,NA,30,"0.2-0.5mm","CT2.T4.H39_S1.2"
"79","other",NA,NA,NA,NA,0.473487211478478,NA,NA,30,"0.2-0.5mm","CT2.T4.H39_S1.1"
"80","Eucalanus",NA,NA,NA,NA,0.344978165938865,NA,NA,30,"0.2-0.5mm","CT2.T4.H39_S1.1"
"81","other",NA,NA,NA,NA,0.304417212881163,NA,NA,30,"0.2-0.5mm","CT2.T4.H39_S1.2"
"82","Calanus",NA,NA,NA,NA,0.193616414933029,NA,NA,30,"0.2-0.5mm","CT2.T4.H39_S1.2"
"83","Calanus",NA,NA,NA,NA,0.135995009357455,NA,NA,30,"0.2-0.5mm","CT2.T4.H39_S1.1"
"84","Euphausia",NA,NA,NA,NA,0.0455396132252027,NA,NA,30,"0.2-0.5mm","CT2.T4.H39_S1.1"
"85","Euphausia",NA,NA,NA,NA,0.0197777144485608,NA,NA,30,"0.2-0.5mm","CT2.T4.H39_S1.2"
"86","Ctenocalanus",NA,NA,NA,NA,0.000569962952408094,NA,NA,30,"0.2-0.5mm","CT2.T4.H39_S1.2"
"87","Ditrichocorycaeus",NA,NA,NA,NA,0.000170988885722428,NA,NA,30,"0.2-0.5mm","CT2.T4.H39_S1.2"
"88","Muggiaea",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","CT2.T4.H39_S1.1"
"89","Muggiaea",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","CT2.T4.H39_S1.2"
"90","Ctenocalanus",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","CT2.T4.H39_S1.1"
"91","Ditrichocorycaeus",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","CT2.T4.H39_S1.1"
"92","Ctenocalanus",1,1.33895893229612e-08,0.00104646895421886,0.0360730092284695,0.244046389889468,0.425860714294498,0.993394592108825,0,"0.2-0.5mm","predicted CT2.T4.H39_S1"
"93","Eucalanus",1,1.16190099375761e-11,7.82478932772522e-06,0.00285540238347666,0.233027139380177,0.366440267944552,0.999861227891142,0,"0.2-0.5mm","predicted CT2.T4.H39_S1"
"94","other",1,5.61812892257977e-07,0.00115838531860229,0.0208094575085641,0.172285830642549,0.214946140253474,0.957634433905046,0,"0.2-0.5mm","predicted CT2.T4.H39_S1"
"95","Muggiaea",1,2.52354534249778e-09,8.11807651722748e-05,0.00373262936832755,0.140283570102353,0.101056032731265,0.976104181173076,0,"0.2-0.5mm","predicted CT2.T4.H39_S1"
"96","Calanus",1,4.74593553877736e-09,2.92516983812425e-05,0.00122220485455223,0.0989938252265009,0.0349985434128422,0.930810864721784,0,"0.2-0.5mm","predicted CT2.T4.H39_S1"
"97","Ditrichocorycaeus",1,1.47514590152347e-08,6.0327383309126e-05,0.00147967724345073,0.0674547569732275,0.023439997120832,0.766030502543464,0,"0.2-0.5mm","predicted CT2.T4.H39_S1"
"98","Euphausia",1,2.12593662312111e-10,7.93338460703239e-06,0.000308404799992048,0.0439084877857238,0.00697213283779094,0.611580686454621,0,"0.2-0.5mm","predicted CT2.T4.H39_S1"
"99","Euphausia",NA,NA,NA,NA,0.957699456185035,NA,NA,30,"0.2-0.5mm","CT2.T8.H43_S1.3"
"100","Euphausia",NA,NA,NA,NA,0.905375874125874,NA,NA,30,"0.2-0.5mm","CT2.T8.H43_S1.1"
"101","Euphausia",NA,NA,NA,NA,0.873221216041397,NA,NA,30,"0.2-0.5mm","CT2.T8.H43_S1.2"
"102","other",NA,NA,NA,NA,0.0537077995242666,NA,NA,30,"0.2-0.5mm","CT2.T8.H43_S1.2"
"103","other",NA,NA,NA,NA,0.0475305944055944,NA,NA,30,"0.2-0.5mm","CT2.T8.H43_S1.1"
"104","Ctenocalanus",NA,NA,NA,NA,0.0420231189750866,NA,NA,30,"0.2-0.5mm","CT2.T8.H43_S1.2"
"105","Ctenocalanus",NA,NA,NA,NA,0.0250582750582751,NA,NA,30,"0.2-0.5mm","CT2.T8.H43_S1.1"
"106","Ditrichocorycaeus",NA,NA,NA,NA,0.0219922380336352,NA,NA,30,"0.2-0.5mm","CT2.T8.H43_S1.2"
"107","other",NA,NA,NA,NA,0.0199284091691333,NA,NA,30,"0.2-0.5mm","CT2.T8.H43_S1.3"
