Hash,Phylum,Class,Order,Family,Genus,Species
b0c15e6164ee940205efe0f1e1a0a0c19435ec9f,Arthropoda,Hexanauplia,Calanoida,NA,NA,NA
e09b485dd4d1bd133e7845d395237f38d661eb69,NA,Polycystinea,Collodaria,NA,NA,NA
50ae18a387ee0c27a601b2de29233b88891665e2,Arthropoda,Hexanauplia,Calanoida,Calanidae,Calanus,NA
2f9a39c8d8b69f7eedcd3582326b652370ce2ab1,Arthropoda,Malacostraca,Euphausiacea,NA,NA,NA
2655c6ab73c0d798851414a6bc09fc1b4469d3a9,Arthropoda,Hexanauplia,Calanoida,Metridinidae,NA,NA
6e6b2ae850506cc0ea7baa4492214e7987501560,Arthropoda,Hexanauplia,Calanoida,Calanidae,Calanus,NA
3855bfab8b2afdb2b740530c990e9a2535c5a15b,Arthropoda,Hexanauplia,Calanoida,NA,NA,NA
3907c0c3540893fea852cf1e2e15ee876e097dc1,Arthropoda,Malacostraca,Euphausiacea,NA,NA,NA
21ed13fe3ace8060314f604c98eb7b593d0e6ba2,Arthropoda,Hexanauplia,Calanoida,NA,NA,NA
dabec5c8e3721be348236817cddd3c31eb1647ce,Arthropoda,Hexanauplia,Calanoida,NA,NA,NA
5c28fb044703f8d7dc9a17c20a178f0e34feb322,Arthropoda,Hexanauplia,Calanoida,Calanidae,Calanus,NA
3a4660f8928b0bba5379764b63c8f98ae30a1d3b,Arthropoda,Hexanauplia,Calanoida,Metridinidae,NA,NA
0de53510347e58dabda2dc43270f04ad3ea2da5c,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Clausocalanus,Clausocalanus furcatus
2cfd457adc6936d89195dd4765ae81286f8b0ed5,Arthropoda,Hexanauplia,Calanoida,NA,NA,NA
6b976e008f3c98aa86cb64aa686cbfcb409c8f0a,Arthropoda,Hexanauplia,Calanoida,NA,NA,NA
a32d276e30f76e771318e8c516046bc05f72db69,Arthropoda,Hexanauplia,Calanoida,NA,NA,NA
c40ce5c9da5927cd51e1e3df99e36cc3984796e8,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,NA,NA
961cd5ce154310c7fd54468560aca8d35041c8c7,Arthropoda,Hexanauplia,Calanoida,Paracalanidae,Paracalanus,Paracalanus parvus
1a08bb6d37d7924e5dab4c0408f64896eacb991a,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,NA,NA
e199318c40876066960330bd9ea208fb7639a760,Arthropoda,Hexanauplia,Calanoida,NA,NA,NA
fa7356df1a872486053eb1a14ff614012cdadde9,Arthropoda,Hexanauplia,Calanoida,NA,NA,NA
97d5948bd4b4362b9bfcff8f47c1af49259ea0d2,Arthropoda,Hexanauplia,Calanoida,NA,NA,NA
bb43537ab7d266d059e40deb9e1f8536790adc35,Arthropoda,Hexanauplia,Calanoida,NA,NA,NA
74f9bdd8535b4c6fc6cb14fdc86019d1de069cb0,Cnidaria,Hydrozoa,Siphonophorae,NA,NA,NA
5153fd153d032ca08987dc412a9c67b6794b21bf,Arthropoda,Hexanauplia,Calanoida,NA,NA,NA
78f54f41acba54d14189a57d673d19a7e9c4b936,Arthropoda,Hexanauplia,Calanoida,Calanidae,Calanus,NA
bbf3a857205db6c0c17ba285d148a170dde57b8e,NA,Polycystinea,Collodaria,Collophidiidae,Collophidium,NA
7e96e664efe3e18ba9a6d045099f31fa6857c986,Chordata,Actinopteri,NA,NA,NA,NA
856adbbd6780d096aa923a18481a9884b70edf25,Chordata,Thaliacea,Pyrosomata,Pyrosomatidae,NA,NA
1784e869dc2724619a035c17ab1fff64ceb125f7,Arthropoda,Hexanauplia,Calanoida,NA,NA,NA
61a3e924a52e417c287cc89460e8247b3414aa3f,NA,Polycystinea,Collodaria,NA,NA,NA
6950a504c858e51241cac98cb4b1b8cad81eff0e,Arthropoda,Hexanauplia,Calanoida,NA,NA,NA
85077e08965d11e7bf3ed5bab4bfd42a4968aa89,NA,Polycystinea,Collodaria,NA,NA,NA
a19023e2938b2d4c19d5e2b8c4962e8bcd73177d,Arthropoda,Hexanauplia,Calanoida,NA,NA,NA
f8a30baa160074c5d81f39bbfa5ce59111caa57a,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,NA,NA
10c3d1c8405b910ef842f394542a5580dc7e9010,Arthropoda,Hexanauplia,Calanoida,Metridinidae,Metridia,NA
5de8320dd52839006fa55b8e9e94758699aab65f,Arthropoda,Malacostraca,Euphausiacea,NA,NA,NA
5d9ee140b17e218e06fffae434d6dad14ebb91db,Arthropoda,Hexanauplia,Calanoida,Paracalanidae,Paracalanus,Paracalanus parvus
0260bfbe825d95aca7b54a0909f97b59dc580e78,Arthropoda,Hexanauplia,Calanoida,NA,NA,NA
1fd0cca87a452616bd107a2dba731bf07d51aeef,Arthropoda,Malacostraca,Euphausiacea,NA,NA,NA
3336749f20eb718f7ee8cfa30022b05b865b56b8,NA,Dinophyceae,NA,NA,NA,NA
c621ead91f54c394ee29a0669ebe477d85be4b7d,Arthropoda,Hexanauplia,Calanoida,Metridinidae,Metridia,NA
7f93c2356b7a75855bf23901a4a4946a09c74ed6,Arthropoda,Hexanauplia,Calanoida,NA,NA,NA
341d37f9958a54163d7987e0dc5bb17818c5c7d8,Arthropoda,Hexanauplia,Calanoida,Calanidae,Calanus,NA
feb7c743a91055e70bfa4286091f360a580f26c7,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Clausocalanus,NA
1c13e9ef7e8cb97448c9556c5cae61a9ab171c33,Arthropoda,Hexanauplia,Calanoida,NA,NA,NA
10d98a9e8191737474408e3922019918cf9ce20e,Arthropoda,Hexanauplia,Calanoida,NA,NA,NA
247f09ccc8ae0ecc2da039900610e5494db93abe,Arthropoda,Hexanauplia,Calanoida,Eucalanidae,NA,NA
d2d1d38ad0751d84f6057d173867014d114e360c,NA,Polycystinea,Collodaria,Collosphaeridae,NA,NA
bd47ade374a1d1bb53455acb57695af761642b75,Arthropoda,Hexanauplia,Calanoida,NA,NA,NA
5548f5906a4522e2196d674ad3826fb4fc8430b8,Arthropoda,Hexanauplia,Calanoida,NA,NA,NA
562a6c89616b1cf51f15caa15b0e5a565dfe0427,Arthropoda,Hexanauplia,Calanoida,NA,NA,NA
e01f93ca2ee277a2bc78e4f8f0e3ee68b98bf1fc,Arthropoda,Hexanauplia,Calanoida,Eucalanidae,NA,NA
e396f514beb6bb0e29a828575cc7fea775d24085,Arthropoda,Hexanauplia,Calanoida,Calanidae,NA,NA
686fd8b59c6f87b27fe6a21b366a0e4b838135e1,Arthropoda,Hexanauplia,Calanoida,Candaciidae,Candacia,NA
ff62c6fc3f5f5a03af66155247b74210ad634523,Arthropoda,Hexanauplia,Calanoida,NA,NA,NA
4542bee4db4c3075a68a0a82768eab3497580077,Cnidaria,Hydrozoa,Siphonophorae,NA,NA,NA
207114b11583026b14531339aeff5641dd94caec,Arthropoda,Hexanauplia,Calanoida,Calanidae,NA,NA
894f73dc6883f29a838304fd218efdfaf12bd154,Arthropoda,Hexanauplia,Calanoida,Calanidae,Calanus,NA
4c23922ac5270945975a10c2e85dce4f397ee20f,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,NA,NA
80c3e483e565edd2763fa0e91b23615fc85fb093,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,NA,NA
387d4852e3e92fa092e4d58207f93a07a1040fd7,Arthropoda,Hexanauplia,Calanoida,Metridinidae,NA,NA
cf496cdc8ee1b73dd609292097b080a1e7c99174,Arthropoda,Malacostraca,Euphausiacea,NA,NA,NA
ece56b1db36cafe8ce16da6836d580dc30c143ce,Arthropoda,Hexanauplia,Calanoida,NA,NA,NA
7058329838365cb375806f2cef16b428e1910d10,Arthropoda,Malacostraca,Euphausiacea,NA,NA,NA
9eb9bcecb427fec7490eb8091ae120d4cbd47c0f,Arthropoda,Hexanauplia,Calanoida,NA,NA,NA
9b9f6e13b644886afad8864d6601b2000dae17a0,Arthropoda,Hexanauplia,Calanoida,Calanidae,Calanus,NA
6647789a84c7db9d0c1d2f947175e285be91538b,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,NA,NA
f439140f389fcafab48955b2d982492c4de5820f,Arthropoda,Hexanauplia,Calanoida,Calanidae,Neocalanus,NA
6db8cc221939cdc8c55a0191ffe9bdeca0679b0e,Arthropoda,Hexanauplia,Calanoida,Calanidae,Calanus,NA
7761526519fda29c5c9ac6663b370054e80b7263,Arthropoda,Hexanauplia,Calanoida,Calanidae,NA,NA
3b46a0689c4dc296a5046eb3cfb003a0ca04e7fe,Arthropoda,Hexanauplia,Calanoida,Eucalanidae,NA,NA
58aec46ab4910cf08bbfda67e8aa7321828ce906,Arthropoda,Hexanauplia,Calanoida,NA,NA,NA
3638e2bc130cd088660c3c1f0dfea71f1801e86e,Arthropoda,Hexanauplia,Calanoida,Calanidae,Calanus,NA
13d4114046cb395e85da1be98837a9c692eb7728,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,NA,NA
388725f240f778bbad66a1a652b752a88fd3956a,Arthropoda,Hexanauplia,Cyclopoida,Oithonidae,Oithona,NA
929371ba7bc4e9291b5d49829c93c66c67d836c3,Arthropoda,Hexanauplia,Calanoida,NA,NA,NA
7ed69f089c6a810c9434950899ffa09ad91e3f6d,Arthropoda,Hexanauplia,Calanoida,NA,NA,NA
f0811d7c1afc61b0190a200923bc854777e6fbc5,Arthropoda,Hexanauplia,Calanoida,NA,NA,NA
c5f1647cc54015c355be9726d2fe6804283932ec,NA,Polycystinea,Collodaria,NA,NA,NA
86a9af59f8d62a02635d84877537f2b84316259d,Arthropoda,Hexanauplia,Calanoida,Metridinidae,NA,NA
19e2d8924e99f1a60555875f40f2f4abbcb91b22,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Clausocalanus,Clausocalanus furcatus
4bc85e8f6649ca4a0bc26964e17b92db7d265b3c,Cercozoa,NA,NA,NA,NA,NA
dd7072b661c5b53f5177a820ab2c1ca431c1df7b,Chordata,Thaliacea,Salpida,Salpidae,Pegea,NA
44dd7b3bb631f2d06f19cca076aa3dcd5b73fc41,Cercozoa,NA,NA,NA,NA,NA
1068cadcb65c9cea88274a0d597c6ca1354ada7f,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,NA,NA
25677d1bff10d2dbe40b64d43cba25d819de27c7,NA,Dinophyceae,NA,NA,NA,NA
f8a2e628d237998405d10e902958e33652b3d184,NA,Polycystinea,Collodaria,NA,NA,NA
4f72fb573438f8d4e0bdaf895754b6e506c0a61f,Arthropoda,Malacostraca,Decapoda,NA,NA,NA
b39500169f19f6f7dc74cde23a266fe3bd9d8079,Arthropoda,Hexanauplia,Calanoida,NA,NA,NA
28047060a764c8d2f133476a3c1893291d007c2e,Arthropoda,Hexanauplia,Calanoida,Calanidae,Calanus,NA
e4c6acc45d16b5ed83f3e4d765f8a63ceabf6f0d,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,NA,NA
0ed20c8d7359bae11c8eaff2c1f408e72780eea6,Arthropoda,Malacostraca,Euphausiacea,NA,NA,NA
131dafe8f92e88ca8e8c497413822303eea5970c,Arthropoda,Hexanauplia,Calanoida,Calanidae,Neocalanus,NA
32c7429ef986d3d6e6568889cab2755dd190fdbc,Arthropoda,Hexanauplia,Calanoida,NA,NA,NA
953f575003c1e038640b89d2ec04ddae519ec438,Arthropoda,Hexanauplia,Calanoida,Acartiidae,Acartia,Acartia danae
d500eab358e101f478e96bc8215fcfc4418d098d,Chordata,Actinopteri,NA,NA,NA,NA
0656642f62c1149ffd9a6000db43c45838593471,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Clausocalanus,NA
ef10dc04c555989e2c8fa539eb5a9696612325fa,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,NA,NA
6851fffd33d1ae3593718581aaddf1675b35a9e7,NA,Polycystinea,Collodaria,NA,NA,NA
97eba237b82c30ea20f6265eafa44e2dcba9c3da,Arthropoda,Hexanauplia,Calanoida,NA,NA,NA
89222090484da3a5159594813574884516fcb48f,Arthropoda,Malacostraca,Euphausiacea,NA,NA,NA
f25f196bdaacddc128c8edf0c95ffbe4abc6fd3d,Arthropoda,Hexanauplia,Calanoida,Calanidae,Neocalanus,NA
e3e5a61eb5666017d1727db9864dd89c28c9e790,Arthropoda,Hexanauplia,Calanoida,Metridinidae,NA,NA
3c32d58513825484c47705b7d424175ab81ca09e,Chordata,Thaliacea,Doliolida,Doliolidae,NA,NA
b89a2049630d0d92cf21a9a094eb98732a5f2221,Cercozoa,NA,NA,NA,NA,NA
4381731c35dd49f2a00824effdd5222c6a948473,Arthropoda,Malacostraca,Euphausiacea,NA,NA,NA
b4f1ebf501eb18abdf4c773ae170c08177107dd4,NA,NA,NA,NA,NA,NA
752ee5d1eb330fc163da83ca9ce2b4b43c516f38,Chordata,Thaliacea,Pyrosomata,Pyrosomatidae,NA,NA
14c23d62f3cde5e060e5aa22522eeea5c941e860,Arthropoda,Hexanauplia,Calanoida,Metridinidae,Metridia,NA
b35f9cee21f667eaebd1f9bd7ed5d7f2c482df4f,Arthropoda,Hexanauplia,Calanoida,NA,NA,NA
ccc2d40f56326ef68b7798111cc07ce4d344d62c,Arthropoda,Hexanauplia,Calanoida,Metridinidae,NA,NA
35575e116e325762dc8dd4b84658d0f40e9893bc,Chordata,Thaliacea,Pyrosomata,Pyrosomatidae,NA,NA
d2c9e332dea47f29dd4b5d3c9782b92de2108c27,Arthropoda,Malacostraca,Euphausiacea,NA,NA,NA
0a7d08e86294ec5dfcde2f0af15831906a30bd24,Arthropoda,Hexanauplia,Calanoida,NA,NA,NA
363a7fed6b4ef59f0d3847483c765d95cd1bc297,Arthropoda,Hexanauplia,Calanoida,Calanidae,Calanus,NA
1e823715b95b2e76d7b69608b26072704c7c2ef1,Arthropoda,Hexanauplia,Calanoida,NA,NA,NA
d50cee8867864f04eccfaa66d9ede8620e857a63,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,NA,NA
daa82d75f78ac8d5bb5259c9020511942c2ef050,Arthropoda,Hexanauplia,Calanoida,NA,NA,NA
0887051b9ae38b4090517ba7baa16f0caf86a6c3,Arthropoda,Hexanauplia,Calanoida,Metridinidae,NA,NA
023b006896972415f71fb818cada163f1694851d,Mollusca,Gastropoda,NA,NA,NA,NA
114d9a26e85197775de9b4d539b22900e02bb33c,Arthropoda,Hexanauplia,Calanoida,NA,NA,NA
86f6cb8c4e9a20dea9ddf40297f8eefe97ee67f3,Arthropoda,Hexanauplia,Calanoida,NA,NA,NA
cedcb1af2b62e6d6afea91c34a7db2530337e833,Arthropoda,Hexanauplia,Calanoida,NA,NA,NA
0ad7d161a79e87bc491bafda78b254e1282fed6d,Arthropoda,Hexanauplia,Calanoida,Metridinidae,NA,NA
eaa619cbaa6e11540fc8848ffb78d1f0131bc91a,Arthropoda,Hexanauplia,Calanoida,NA,NA,NA
b06ef1d52381ef48650e7b9faac66d24aa1e3fa6,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Clausocalanus,Clausocalanus furcatus
871ad2eac0cd90ad460115f83028429893177d88,NA,Polycystinea,Collodaria,NA,NA,NA
df1706c1c1caecd79942e2e42288be889fb3897a,Arthropoda,Hexanauplia,Calanoida,Calanidae,Calanus,NA
f10fe77e3403856fcab6288232f5f46a50261607,Arthropoda,Hexanauplia,Calanoida,Metridinidae,NA,NA
0c84003ceec1fb7c3e6c2c04c0221e1bcf2c45f0,Arthropoda,Hexanauplia,Calanoida,NA,NA,NA
e31f7564356148d5900e3ba29d172a0810416a9f,Mollusca,Gastropoda,NA,NA,NA,NA
61033d66eb8e91c4728a8f8104e86ca9ca4f49c0,NA,Polycystinea,Collodaria,NA,NA,NA
105584920e1bfffbb3e56c0fa7c2397446c2bb2b,Arthropoda,Hexanauplia,Calanoida,Calanidae,NA,NA
3a7c698a38f760bccb4381b3ff98dec1468bda94,Arthropoda,Hexanauplia,Calanoida,Metridinidae,Metridia,NA
b996cb0359609e66762fc0ab3dd5f81d76d753ca,Arthropoda,Hexanauplia,Calanoida,NA,NA,NA
499488cac0be3a2185ce9f654a389130100bac2f,Arthropoda,Hexanauplia,Calanoida,Eucalanidae,NA,NA
9a70de23c085314e6ab43e55dcb56fce70587663,Cnidaria,Hydrozoa,Siphonophorae,NA,NA,NA
de38d67c87ce18898199b109b4a05faf046c5f69,Arthropoda,Hexanauplia,Calanoida,NA,NA,NA
991def159efb281591b20a598e254f69ec9306d8,NA,NA,NA,NA,NA,Uncultured marine alveolate Group I DH147-EKD18
e3ae586897aa7a7c500791a9116c709eafcbbce4,Cercozoa,NA,NA,NA,NA,NA
71e109b4cb1e5e5d1d261ead3f9307bdcdcd66b8,Cnidaria,Hydrozoa,NA,NA,NA,NA
cba418bc94dc3a64e15200ce11bda8c6e0582205,Arthropoda,Hexanauplia,Calanoida,NA,NA,NA
7d30749dc626d812e4fe8fddce6bae2923e56070,Arthropoda,Hexanauplia,Calanoida,NA,NA,NA
75ab99436292115a3b3dc3b83955445a5bf160d3,NA,NA,NA,NA,NA,NA
8f7921169991363296cbef39f3d968cafbdfc591,Arthropoda,Hexanauplia,Cyclopoida,Oithonidae,Oithona,NA
6b518c427c01dcb2d856adda991fd08f6a6c3638,Arthropoda,Hexanauplia,Calanoida,NA,NA,NA
e4d308e24c033d3ea45889ff4110a8858b844cd1,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,NA,NA
c13175d38d2a3e135d22f7084a5230a9a641379f,Arthropoda,Hexanauplia,Calanoida,Metridinidae,NA,NA
8621efe7a8640bc1c6ee9a6853dc555b10b9601f,Arthropoda,Hexanauplia,Calanoida,Calocalanidae,Calocalanus,NA
