Sample_name,Locus,Hash,nReads
C2-T8-H18_S1.1,Leray,c240b5f38c73bcdef8ba7aea1f95273b2d40e3e5,930
C2-T8-H18_S1.1,Leray,7df189e993f359afe2e5bcaebc5218a2a5b5b64e,116
C2-T8-H18_S1.1,Leray,f736c21058cc8ce107275dac622fe3b316a557a2,29
C2-T8-H18_S1.1,Leray,c3db1f4fb87f52065f108aea13bad38e2d74d8fa,6
C2-T8-H18_S1.1,Leray,b809a997632c2640cdbe7940f619b45fa30adc45,209
C2-T8-H18_S1.1,Leray,605d6ce88281b4bbcff711ac8afe595d978194fa,55
C2-T8-H18_S1.1,Leray,914275e6686877e25cfdb5df6c8a42744c44f9b0,9
C2-T8-H18_S1.1,Leray,7e7e3c444e485b1ef8a2ba9be584a5691c6ef8e9,27
C2-T8-H18_S1.1,Leray,6b18a206f47395d272d7c4f4a91b5e3da70e82f9,10
C2-T8-H18_S1.1,Leray,b207e10637dd4c26bbde2449ee1b28d60cf91b84,6
C2-T8-H18_S1.1,Leray,41eb4eea92ba16ea54519002912189e2395fb813,36
C2-T8-H18_S1.1,Leray,ba2bdbe2274898073bb769f3d7a30caa6ba015d2,6
C2-T8-H18_S1.1,Leray,76c9b1c61208a979a63480a825f4944229c97bda,10
C2-T8-H18_S1.1,Leray,6bcbad90f3cff8dfe2479f6360e2332a633deffb,10
C2-T8-H18_S1.1,Leray,0c41d92acd534960061dfba1beb00f1917f3afc4,6
C2-T8-H18_S1.1,Leray,dc6fff4e07fea8ca27ecc2408f2da4d0f610bf4a,3
C2-T8-H18_S1.1,Leray,4080053ef98f9e41e14e125fad6da18a1d21fde7,2
C2-T8-H18_S1.1,Leray,6c85e3ba2a554d6387e6e3a191a62fc740480756,2
C2-T8-H18_S1.1,Leray,abd55f8994f5fd566a9346b680e8ebd973993440,2
C2-T8-H18_S2.1,Leray,c240b5f38c73bcdef8ba7aea1f95273b2d40e3e5,929
C2-T8-H18_S2.1,Leray,0c5fa17f7ecf209f6fd088aa6fd53eb627bafcf0,444
C2-T8-H18_S2.1,Leray,7df189e993f359afe2e5bcaebc5218a2a5b5b64e,15
C2-T8-H18_S2.1,Leray,f736c21058cc8ce107275dac622fe3b316a557a2,185
C2-T8-H18_S2.1,Leray,c3db1f4fb87f52065f108aea13bad38e2d74d8fa,74
C2-T8-H18_S2.1,Leray,b809a997632c2640cdbe7940f619b45fa30adc45,196
C2-T8-H18_S2.1,Leray,b66bf92767420eb5115b7c8aed4dc41a7d17af6d,157
C2-T8-H18_S2.1,Leray,914275e6686877e25cfdb5df6c8a42744c44f9b0,36
C2-T8-H18_S2.1,Leray,6865099a80c0043771d0151aa8bda15a713d63e3,201
C2-T8-H18_S2.1,Leray,cdffdeed24846ab0fa0610d9f5c119df862c22d2,5
C2-T8-H18_S2.1,Leray,3fa61d50fd4949e0d04c0b48f09576ec54f63232,78
C2-T8-H18_S2.1,Leray,c3fb89f8d0b6dbcec55b04cdfda7f019695eec6c,5
C2-T8-H18_S2.1,Leray,bfcd14f97747c99372ec23c78dab3909d1561ea0,7
C2-T8-H18_S2.1,Leray,bc5b87bc503ce611584cdae87c40996e53f6ed74,6
C2-T8-H18_S2.1,Leray,3b40106afbb37d7c187b02f596332415ddc60eb2,7
C2-T8-H18_S2.1,Leray,4f2327009bca5c3fe9bcbada8ff3b335b8af6295,7
C2-T8-H18_S2.1,Leray,513e6e6e21134f49f67315fad5db9f7dbedde6eb,67
C2-T8-H18_S2.1,Leray,2439425b99d37e9ac683f3246f96980d412ce40c,23
C2-T8-H18_S2.1,Leray,bcbb33decfc217da7cce18ad04f19f8666292765,81
C2-T8-H18_S2.1,Leray,c9732b8d3efa76bc2187f596f9e2d367690a5d42,12
C2-T8-H18_S2.1,Leray,62680b3b492e00dadfb5df31c97234d09c08bd2c,7
C2-T8-H18_S2.1,Leray,9ef914c345da6d0a23ab2507fb182f4eafc07aec,22
C2-T8-H18_S2.1,Leray,6e1ebcf297164ca4ef31fdf394995283553a960e,19
C2-T8-H18_S2.1,Leray,9b83b33b0f1e9c8018e6f2f4cab1c7d2934c65d5,10
C2-T8-H18_S2.1,Leray,19c19b5103a96b62e7346aae19fa59eb251f49b1,3
C2-T8-H18_S2.1,Leray,47542f37afa05f5a97cfbf9d85b53c254c085a78,5
C2-T8-H18_S2.1,Leray,de02abf88cee3aaf96d9fb52d510532b4588bf11,2
C2-T9-H19_S2.1,Leray,c240b5f38c73bcdef8ba7aea1f95273b2d40e3e5,1723
C2-T9-H19_S2.1,Leray,0c5fa17f7ecf209f6fd088aa6fd53eb627bafcf0,89
C2-T9-H19_S2.1,Leray,f736c21058cc8ce107275dac622fe3b316a557a2,28
C2-T9-H19_S2.1,Leray,c3db1f4fb87f52065f108aea13bad38e2d74d8fa,25
C2-T9-H19_S2.1,Leray,b66bf92767420eb5115b7c8aed4dc41a7d17af6d,74
C2-T9-H19_S2.1,Leray,914275e6686877e25cfdb5df6c8a42744c44f9b0,10
C2-T9-H19_S2.1,Leray,6865099a80c0043771d0151aa8bda15a713d63e3,64
C2-T9-H19_S2.1,Leray,33839e927895fe65dd93c481f467024b5ba0e3bf,4
C2-T9-H19_S2.1,Leray,3fa61d50fd4949e0d04c0b48f09576ec54f63232,23
C2-T9-H19_S2.1,Leray,e494da48da0a7a0b5382825b8ff0c022677e87db,5
C2-T9-H19_S2.1,Leray,9e4a0a507e7d39594f4a64ca2eaa4d4b3a1da8a6,12
C2-T9-H19_S2.1,Leray,683fba7cfeebe98c7ac6fcc2e30d8b2f9a98a94b,11
C2-T9-H19_S2.1,Leray,f55af4d8555451a94b96c18518f32b633006a4dd,5
C2-T9-H19_S2.1,Leray,be89b0b060a6240fee54dba2881ea143442baad3,5
C3-T6-H25_S1.1,Leray,c240b5f38c73bcdef8ba7aea1f95273b2d40e3e5,6
C3-T6-H25_S1.1,Leray,7df189e993f359afe2e5bcaebc5218a2a5b5b64e,38
C3-T6-H25_S1.1,Leray,830bac823005e96d85f6881aa0bd2c2b14a6b0ad,82
C3-T6-H25_S1.1,Leray,68714bd4d91f5d800bb81a5f47e9e6f02384257b,51
C3-T6-H25_S1.1,Leray,b3360fd8035b2d769c49a3cdf25a52187188bf6e,11
C3-T6-H25_S1.1,Leray,605d6ce88281b4bbcff711ac8afe595d978194fa,55
C3-T6-H25_S1.1,Leray,cabd0735911e0bc90c692074077ac5668c364bc5,47
C3-T6-H25_S1.1,Leray,e9a1ccbfa9b22138de83d4e88e40ff0becc251de,43
C3-T6-H25_S1.1,Leray,8d4cc2e8c7f20ba7e2a4c6ee4457f0a6a9b98d45,5
C3-T6-H25_S1.1,Leray,dbcdc0436dc94019e54850fc03f4a79efadac140,86
C3-T6-H25_S1.1,Leray,0945340d50d9255d08bd4a504591c139b13af1d0,10
C3-T6-H25_S1.1,Leray,5a5b0e270b0683dc34e23f7b50a7611365052f5d,6
C3-T6-H25_S1.1,Leray,445ddbfaee1ead7545459cff31d251a75a0e7b8a,9
C3-T6-H25_S1.1,Leray,e9cb7fb3c745331aaf0280a7b090f4d245bc18ad,25
C3-T6-H25_S1.1,Leray,84663ca2e60d79f0b8430edf88a65149d97ffaf2,13
C3-T6-H25_S1.1,Leray,806c7ecf87d9f38ac6adf2efc0a74904dc9b1aa1,18
C3-T6-H25_S1.1,Leray,2f70a354cd905fd309a50f5ce14c343d62301677,12
C3-T6-H25_S1.1,Leray,3278c3d6e0d5abd1ac4da1bedb06497758ecd457,8
C3-T6-H25_S1.1,Leray,e9afba7faaa52d7483c5966f2456894861ca1031,10
C3-T6-H25_S1.1,Leray,4ef649fade2a9f0f578d7b4095690e69f854fb73,6
C3-T6-H25_S1.1,Leray,26f34db7e7f95f1fd2e2b6589eb7304b27e342bc,8
C3-T6-H25_S1.1,Leray,ef90e0cb404741325745f1f9da477461e2f5a268,5
C3-T6-H25_S1.1,Leray,6e75dfe6c8493eea82dd2053e28b88bac733247a,19
C3-T6-H25_S1.1,Leray,29c475a6f97dcc02a73262f640a62f86aff2cad2,15
C3-T6-H25_S1.1,Leray,e5af744c63ad4db047129b5e93d4c06073613c4d,7
C3-T6-H25_S1.1,Leray,8459bf0af94579a6d5d1de2259f140c483711418,9
C3-T6-H25_S1.1,Leray,8f3499feb77919abd129f8af99ef54960abcfa5a,3
C3-T6-H25_S1.1,Leray,537d34135396c3585e7001f5cfd1a38a79b908c8,3
C3-T6-H25_S1.1,Leray,5dd96cfd6d4a738193a32aa97e26167b954c7a98,2
C3-T6-H25_S2.1,Leray,830bac823005e96d85f6881aa0bd2c2b14a6b0ad,243
C3-T6-H25_S2.1,Leray,381610426e31b112903a2b0c51b0fbe9dbe1a6ba,103
C3-T6-H25_S2.1,Leray,a618c2b816fcf191faa8d9d0f7c5e2a9493c959c,536
C3-T6-H25_S2.1,Leray,d2cfac82409025bfd1e14fa75921b4c92412930c,15
C3-T6-H25_S2.1,Leray,667041167eae95a6faf3cc21b8714a19413acf57,634
C3-T6-H25_S2.1,Leray,3fa61d50fd4949e0d04c0b48f09576ec54f63232,94
C3-T6-H25_S2.1,Leray,fe2c97a1043d00c6f439246c609f21f5739178f4,9
C3-T6-H25_S2.1,Leray,e9a1ccbfa9b22138de83d4e88e40ff0becc251de,222
C3-T6-H25_S2.1,Leray,c2b31e7f83dc3a59451f7db6714da0a0dd74a2c5,10
C3-T6-H25_S2.1,Leray,e64c17f4d9d53f3e7e634f635fd5e4a71e63138e,28
C3-T6-H25_S2.1,Leray,ce213e276a68f4d89e1af6d87e07e249f66c419c,41
C3-T6-H25_S2.1,Leray,414dd518723569a7df72d9b9c41060262f67a121,116
C3-T6-H25_S2.1,Leray,b3a88c9435b4f11570c0d392c7e86fb4ae0bf584,110
C3-T6-H25_S2.1,Leray,29c90a52a834f6613b691f916f4bc5f449911ada,80
C3-T6-H25_S2.1,Leray,00d22f3eee653833f404acb0ec2d85507a4da77f,120
C3-T6-H25_S2.1,Leray,ac4c232bfde0b7d39a08b20a1f3e48a657a24f32,6
C3-T6-H25_S2.1,Leray,8ceead2cf25e54cbea1981ea442e647e93c1a15e,7
C3-T6-H25_S2.1,Leray,ecdfac1fcd01b191da9dc2e19f395bfba064a925,73
C3-T6-H25_S2.1,Leray,f762f244bbea8d2121880231a2615b732ea9dc86,54
C3-T6-H25_S2.1,Leray,07320a4fcac8bfd39e26f90e7d0f90ded996dba1,73
C3-T6-H25_S2.1,Leray,8e4f0c342a3c7e2361044a3ce23b70006a809f4e,35
C3-T6-H25_S2.1,Leray,694f085ae9856c843f7af813afd86351ebb0f24f,20
C3-T6-H25_S2.1,Leray,aee6835ccbeebe3986ac2cb915d482c9af7f2a24,24
C3-T6-H25_S2.1,Leray,d7ed0d514bf55345c3fdf210c5d9f58c343e45c3,40
C3-T6-H25_S2.1,Leray,1371a05ed7190a1e866393395f1f590c5cc01ef7,11
C3-T6-H25_S2.1,Leray,b80a125715dc8b3fa8d990cb273c2fa124127f87,23
C3-T6-H25_S2.1,Leray,4bcae5546703ab4ffc63a9171a494f13bb231550,23
C3-T6-H25_S2.1,Leray,c1b8be075700d2f9622b10b17215dd1ad8f60403,6
C3-T6-H25_S2.1,Leray,fb2ad5dd67a5794790b32ed15282b2bd9d028e46,22
C3-T6-H25_S2.1,Leray,e5af744c63ad4db047129b5e93d4c06073613c4d,7
C3-T6-H25_S2.1,Leray,738cbf045092b2881ffd700bbf9bc591d9714ac1,13
C3-T6-H25_S2.1,Leray,49bcaed11ac08b2ce1f2a34e603bfe841d44a23f,11
C3-T6-H25_S2.1,Leray,9a1f8e195f81c19c9c44cb6ff734c025ea057e23,5
C3-T6-H25_S2.1,Leray,a68088296f0c2ce7eba39305381f7c73d6a1d16d,4
C3-T6-H25_S2.1,Leray,6129213229265aa2f078b939cf1e92e5dae0962d,2
C3-T6-H25_S2.1,Leray,74c4b8a13a89cf13bb9f1a2bae983b4442850fb9,2
C3-T7-H26_S1.1,Leray,7df189e993f359afe2e5bcaebc5218a2a5b5b64e,587
C3-T7-H26_S1.1,Leray,830bac823005e96d85f6881aa0bd2c2b14a6b0ad,1445
C3-T7-H26_S1.1,Leray,68714bd4d91f5d800bb81a5f47e9e6f02384257b,1236
C3-T7-H26_S1.1,Leray,b3360fd8035b2d769c49a3cdf25a52187188bf6e,80
C3-T7-H26_S1.1,Leray,605d6ce88281b4bbcff711ac8afe595d978194fa,479
C3-T7-H26_S1.1,Leray,914275e6686877e25cfdb5df6c8a42744c44f9b0,40
C3-T7-H26_S1.1,Leray,cabd0735911e0bc90c692074077ac5668c364bc5,705
C3-T7-H26_S1.1,Leray,381610426e31b112903a2b0c51b0fbe9dbe1a6ba,34
C3-T7-H26_S1.1,Leray,d2cfac82409025bfd1e14fa75921b4c92412930c,26
C3-T7-H26_S1.1,Leray,837020b55b70e40635c33417f7572942ca7a7009,12
C3-T7-H26_S1.1,Leray,8d4cc2e8c7f20ba7e2a4c6ee4457f0a6a9b98d45,31
C3-T7-H26_S1.1,Leray,dbcdc0436dc94019e54850fc03f4a79efadac140,438
C3-T7-H26_S1.1,Leray,bc5b87bc503ce611584cdae87c40996e53f6ed74,12
C3-T7-H26_S1.1,Leray,0945340d50d9255d08bd4a504591c139b13af1d0,86
C3-T7-H26_S1.1,Leray,e911fe4407e58bdc60d7009edeb5707c4c3ae62b,68
C3-T7-H26_S1.1,Leray,445ddbfaee1ead7545459cff31d251a75a0e7b8a,115
C3-T7-H26_S1.1,Leray,fe39a04ddd0818305ba03822f1b04cb8a0b67473,180
C3-T7-H26_S1.1,Leray,e9cb7fb3c745331aaf0280a7b090f4d245bc18ad,83
C3-T7-H26_S1.1,Leray,df9956e392c5bd889029b789b1a831516d8fea60,440
C3-T7-H26_S1.1,Leray,0024d4c453065d2e9af807d31529fa9c00bf129a,32
C3-T7-H26_S1.1,Leray,c25abcc3358f7552ed039ccacfb4b28467b2ca9b,13
C3-T7-H26_S1.1,Leray,98afb06a9acfc017fa4f25951aed678d0885dd2f,303
C3-T7-H26_S1.1,Leray,c7cb9c2029ddb53b74ae580eaac50b3f2cf27c4b,13
C3-T7-H26_S1.1,Leray,544d979fb4fe40b47e2a5d771581166cfb50d151,257
C3-T7-H26_S1.1,Leray,0b5ed86dbb6b4c8a2be9a2d60e3c1ebfea0545fa,276
C3-T7-H26_S1.1,Leray,fc8c5b3847914524a3bdac93cbca05f2faa0b2c0,273
C3-T7-H26_S1.1,Leray,b6a0c1024912c0b187eb8e7b408eaaa44577716d,6
C3-T7-H26_S1.1,Leray,d12bd1b6cb691d94a63f208e220a99a5ff3f554a,11
C3-T7-H26_S1.1,Leray,1567f7227a371cdfabfaa7df5f794415ecbe3cba,71
C3-T7-H26_S1.1,Leray,dc3f29a32f63affaa991e70a290c7a0293829438,42
C3-T7-H26_S1.1,Leray,2a40548690210bda47bfd4de3aa9c95fcd73c8c2,8
C3-T7-H26_S1.1,Leray,2f729f3a47c6dab6bbc5dda284a64f74917b9d86,70
C3-T7-H26_S1.1,Leray,6b18a206f47395d272d7c4f4a91b5e3da70e82f9,7
C3-T7-H26_S1.1,Leray,1ef111d246ce25b6e32dbe1036711e2e9190c0ac,130
C3-T7-H26_S1.1,Leray,2f70a354cd905fd309a50f5ce14c343d62301677,87
C3-T7-H26_S1.1,Leray,41fec6c710d6cdc2952ea0404f8a5e89f3dcfc66,71
C3-T7-H26_S1.1,Leray,73ddb8741c80250b5fce318e3603fc5637b92ec0,137
C3-T7-H26_S1.1,Leray,46ba927c417c82c762b4cdd54a530d1d699a330e,109
C3-T7-H26_S1.1,Leray,a84670c76f5c12ac10b05154640f60e6154751ac,22
C3-T7-H26_S1.1,Leray,29e9ed3a1aba55148a4cd1b4b9f084c75d04b3f0,117
C3-T7-H26_S1.1,Leray,3278c3d6e0d5abd1ac4da1bedb06497758ecd457,56
C3-T7-H26_S1.1,Leray,0c9e06089e2fb74ed81cae1c9aba3c42952ddbe6,54
C3-T7-H26_S1.1,Leray,7d67b2a4f9f61f19c14e56c1336b047624c51c0c,95
