"","Hash","C1.T7.H9_S1","C1.T8.H10_S1","C2.T8.H18_S1","C3.T6.H25_S1","C3.T7.H26_S1","CT1.T1.H28_S1","CT1.T2.H29_S1","CT1.T3.H30_S1","CT1.T4.H31_S1","CT1.T5.H32_S1","CT1.T6.H33_S1","CT1.T7.H34_S1","CT1.T8.H35_S1","CT2.T1.H36_S1","CT2.T4.H39_S1","CT2.T8.H43_S1"
"1","0001f55f5bdebe2168c3d87f4684a4b3bbd1226b",0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
"2","0024d4c453065d2e9af807d31529fa9c00bf129a",0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0
"3","011096f912cd088deb36c4d7f0c5f8f1dca21407",0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0
"4","0116b58b8410321d446a67fa80be554682d60dad",0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,5
"5","0171cc759ee283cc9c17ac4964b6e648bd6aef3b",7,0,0,0,1,0,0,0,0,20,0,0,0,0,0,0
"6","01b97529fd4da6746938629b3f594b1850799273",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","01cfa38140aa27513302c83969784a3f310533bf",0,0,0,0,0,0,26,25,47,195,0,0,0,0,0,0
"8","01d3533a3aeb153dc29a07d0dce45b2797a53191",0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0
"9","01dd9b16e81872b0e2aa2964ef2bc111c7a61adc",0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0
"10","01ff6dedcf9317a7d3435b75319b72b0d7427f3a",0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0
"11","0207af7746ca2e7fae8b686eb4ce729354ef27ae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,673,0
"12","020c9f56a9849cc60bbd5c971569204c6e7fa2ec",0,0,0,0,0,0,0,0,0,84,0,0,27,0,0,0
"13","020eec1e434540114a6810ad007975bba023eb2b",0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0
"14","023b006896972415f71fb818cada163f1694851d",0,0,0,0,0,0,0,0,823,0,0,0,0,0,0,0
"15","0260bfbe825d95aca7b54a0909f97b59dc580e78",124,45,293,325,374,104,514,0,437,0,0,0,80,71,0,346
"16","02674ce12f1c4dce64c6f67782e4b588240ce808",0,0,0,0,65,0,250,19,329,0,0,0,0,0,0,0
"17","035ddb4bc75cc9920341d2197ee2a4f7b1991508",0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0
"18","0397af3d1c332bd3095bd0a2814f714261ed98b6",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","03a3f43affdfec3ad7706e4ad012eabd929a51ca",0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
"20","03c0749df01070c9f884d7175b57b2edd7666a07",0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
"21","03e589746acc470986759af852cb0dfe1a77cb11",0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0
"22","03fba41d417e1684ad60fd40ed312faa7e70c867",39,3,0,0,37,107,0,0,0,0,0,8,20,16,2,0
"23","03fc997a9d99a6f82ad340ca49a351ca8f02f1ff",0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
"24","044a5764cf2842a8b82c1e750e20711624599c9f",0,0,0,0,137,0,0,0,0,0,0,0,0,0,0,0
"25","044bf9f76c6c7687251d1d5b72feb4028789aa66",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26","045b9f52e4d8bf6167a0cd62a06a89c364fcdd9c",0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
"27","045c9a47baf503b9c988aa4826151e0e0453a5b2",0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0
"28","04ed3032b3666f8b9401d3e4baa022c038301b30",0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
"29","0540babc65432e8fdd05b298eb3d48f59be6bfad",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30","05591de557a0385b317ca0bc6b6d6a0cf44e43b2",0,0,0,154,0,0,0,0,0,0,0,0,0,0,0,0
"31","05af58a320cb1ea0a51d3805bf02a4cc0bbecd15",0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
"32","06727370589ab8a32ded79c049391a33a3b3d2ab",0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0
"33","068a040b5fd0c6779cceebb744bd1ed1ae094f50",0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,0
"34","0697811e68837db2d9fd562eb81997b78ec89ae3",0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
"35","07328927fc0c18593bb6c76c71003e458b43b9c2",858,267,147,21,65,80,966,2612,0,339,37,163,6,0,0,146
"36","07400dec706e2853c78fd49fd403d3bd3df30ff8",0,0,0,0,0,0,107,122,0,13,0,0,0,0,0,0
"37","074b9b1b350f6ab258f9ed33b6b0d14b27559959",29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38","0797c8bb6934369716d7859344512781fe4301f1",0,0,0,52,0,0,0,0,0,0,11,0,0,0,0,0
"39","07c660e8f6dff4ff18e3a0d60c65435bab48a811",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40","0820a7f507d89fdcba7a016992fe29a4255663da",0,0,0,0,0,0,0,0,0,0,26,54,0,0,0,0
"41","084b2a1152e714c58ee9eea7e77b476711feccfe",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42","08636a1495939b7805ca78f84db8556c3ef820fa",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"43","0867add712633255412c8b6fec1ecc0996e03fd0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
"44","086c912e45b469e8f1545154c16aba2a48fedfa3",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
"45","08885a2986233d220b15e48028ea2491fc80072b",0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
"46","08b5803083c16cfaa8724caa8f7f13287715290b",0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
"47","08cb333838d89a80ed37612cb8dcce15aa199059",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"48","08fad56b7af6196177da4c9d5fd07f41e87964ff",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"49","091ecde18aa0935058fd59a1af0937bcb58d4a2e",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50","0945340d50d9255d08bd4a504591c139b13af1d0",167,24,16,122,241,152,366,246,0,331,132,0,59,26,0,89
"51","0955989b304f74c070b0cf0eac2f33af636bcd31",0,0,0,0,0,0,0,0,220,0,0,0,0,0,0,0
"52","097c8749e6fefe469e20e4aed101aa31d30f14e1",34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53","0a1d47bbad8c99ec36dbd496c86b84ab8c3ea414",0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
"54","0a27afa1c3082a62c3944a96876be9987f6a820c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55","0a82019658d8ad05f9b731e54fec76df370047cf",0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0
"56","0aa71d40aa0334ecc871b823e308854f38365c4f",0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0
"57","0ab80f9eb9885ddee940bd8f82fd5df9d9a3eb8a",0,0,0,0,0,25,0,0,0,27,0,0,0,0,0,0
"58","0ad51b900cf786043d6384f09b3477c824ee8b1a",0,0,0,22,14,0,0,110,0,0,0,0,0,0,0,0
"59","0b1705ed714d5d9be02377a8b34d052ff5344e4e",0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0
"60","0b5ed86dbb6b4c8a2be9a2d60e3c1ebfea0545fa",0,0,0,178,505,0,0,0,0,18,0,0,0,0,0,0
"61","0c41d92acd534960061dfba1beb00f1917f3afc4",0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
"62","0c48864afe5fd002caa6d19da33e08142f415ff5",0,0,0,102,33,0,66,0,0,0,0,0,0,0,0,0
