"Sample_ID_short","PC1","cycle","distance_from_shore","day_night_0_1","slope","intercept","r_squared","n_bins","total_biomass"
"C1-T7-H9",6.44967159086927,"1",54.4699841168962,1,-0.801614975688023,-0.164049502549485,0.823019954855807,22,5.56629388539811
"C1-T8-H10",4.08009095410546,"1",60.0503205531094,0,-0.685325347043987,0.024324804617966,0.630038021828104,22,13.1868963402271
"C2-T8-H18",3.43286330972792,"2",104.119074831307,0,-0.583843477737658,0.235314145725596,0.741425667078813,22,23.8217847107068
"C2-T9-H19",2.76117872001831,"2",115.819498621517,1,-0.388231462684536,-0.0385320508122787,0.558217184006452,22,24.2057444252703
"C3-T6-H25",-4.5098477781846,"3",802.598067196423,0,-0.505912349937297,0.182610354101572,0.777599307948123,22,27.6118468152626
"C3-T7-H26",-4.34673514655564,"3",802.156313941837,1,-0.523796090804777,0.138203539561357,0.851770728402416,22,21.7492258408744
"CT1-T1-H28",-2.00912153769128,"T1",623.147915605543,0,-0.439399620326571,0.125255505461388,0.654541138338517,22,26.2134378997052
"CT1-T2-H29",-3.32342938158119,"T1",532.858552395038,1,-0.503599114033705,-0.0321071182129817,0.757651741934796,22,15.6557834926358
"CT1-T3-H30",-3.64996846320746,"T1",453.243931664331,1,-1.04294589748508,0.171549132322291,0.89564302201495,20,7.10747166035009
"CT1-T4-H31",-3.19120252554327,"T1",356.514186358659,0,-0.447978725857803,-0.0728452726610966,0.70204588246354,22,17.314123656469
"CT1-T5-H32",-2.01300398413028,"T1",290.084355586594,0,-0.664638150257468,0.0733196092686046,0.784277070366704,22,13.2498401437385
"CT1-T6-H33",-2.7500530264519,"T1",223.144924335932,1,-0.430593278696671,0.145570885497591,0.822868653705534,22,28.9425746424368
"CT1-T7-H34",1.00513938954881,"T1",166.018512796097,1,-0.445075790551245,0.211097130457582,0.718804842373279,22,33.3027263319269
"CT1-T8-H35",1.22076988087062,"T1",109.229447738267,0,-0.541207923906851,-0.116680838636855,0.717330501918407,22,11.980986855473
"CT2-T1-H36",2.11375215303933,"T2",33.4567689714963,1,-0.445180718387635,-0.427854187456331,0.65096179867167,21,7.74014361083175
"CT2-T4-H39",1.85378923815232,"T2",35.8802626007042,1,-0.165513083460427,-0.478930132523606,0.0949602413377748,22,17.2068093170069
"CT2-T8-H43",2.87610660701357,"T2",17.6260262048826,1,-0.644006420479283,0.101396789209082,0.803217027926888,21,15.0890477093851
