"","20C_AllPool.1","20C_AllPool.2","20C_AllPool.3","24C_AllPool.1","24C_AllPool.2","24C_AllPool.3","28C_AllPool.1","28C_AllPool.2","28C_AllPool.3","C1.T7.H9_S3.2","C1.T8.H10_S3.2","C2.T8.H18_S3.1","C2.T8.H18_S3.2","C2.T9.H19_S3.2","C3.T6.H25_S3.1","C3.T7.H26_S3.1","C3.T7.H26_S3.2","CT1.T1.H28_S3.1","CT1.T1.H28_S3.2","CT1.T2.H29_S3.1","CT1.T2.H29_S3.2","CT1.T3.H30_S3.2","CT1.T4.H31_S3.1","CT1.T4.H31_S3.2","CT1.T5.H32_S3.1","CT1.T5.H32_S3.2","CT1.T6.H33_S3.1","CT1.T6.H33_S3.2","CT1.T7.H34_S3.1","CT1.T7.H34_S3.2","CT1.T8.H35_S3.1","CT1.T8.H35_S3.2","CT2.T1.H36_S3.1","CT2.T1.H36_S3.2","CT2.T4.H39_S3.1","CT2.T4.H39_S3.2","CT2.T8.H43_S3.1","CT2.T8.H43_S3.2","C1.T7.H9_S3.3","C1.T8.H10_S3.3","C2.T8.H18_S3.3","C2.T9.H19_S3.3","C3.T7.H26_S3.3","CT1.T1.H28_S3.3","CT1.T4.H31_S3.3","CT1.T5.H32_S3.3","CT1.T6.H33_S3.3","CT1.T7.H34_S3.3","CT2.T1.H36_S3.3","CT2.T4.H39_S3.3","CT2.T8.H43_S3.3"
"Calanoida.Rhincalanus.1784e869dc2724619a035c17ab1fff64ceb125f7",252,193,141,129,125,123,52,52,75,16,0,0,0,941,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,175,0,20,0,266,588,7528,306,1754,0,0,131,891,0,14,0,0,0,0,9,1257,291
"Calanoida.Rhincalanus.1c13e9ef7e8cb97448c9556c5cae61a9ab171c33",186,154,124,74,126,112,82,94,71,0,0,0,0,231,0,0,0,0,0,0,0,0,0,0,0,0,0,7,54,133,0,0,0,135,559,4141,122,1156,0,0,0,408,0,0,0,0,0,64,0,2115,635
"Calanoida.Metridia pacifica.21ed13fe3ace8060314f604c98eb7b593d0e6ba2",3110,2716,2621,2197,2831,2663,2044,2270,2136,1159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,144,0,0,0,0,0,254,138,3964,0,0,0,0,495,0,0,0,0,94,0,0,0,0,1391,0,0
"Calanoida.Eucalanus californicus.247f09ccc8ae0ecc2da039900610e5494db93abe",416,312,281,89,84,92,19,16,33,73,225,5,34,2202,0,0,5,11,0,0,20,0,0,24,34,153,0,0,6,75,12,56,53,472,21,1246,31,92,9,0,339,1310,0,39,0,0,0,0,4,23,3
"Calanoida.Metridia pacifica.2cfd457adc6936d89195dd4765ae81286f8b0ed5",3661,3512,3670,2902,3565,3393,2898,3593,2825,529,0,0,0,15,0,0,0,15,22,0,0,0,0,0,0,0,0,0,0,0,28,171,111,4314,0,0,0,0,313,0,0,45,0,70,0,0,0,0,1637,47,0
"Euphausiacea..2f9a39c8d8b69f7eedcd3582326b652370ce2ab1",8848,5942,4818,2716,3816,3497,1766,2273,4127,7683,21046,304,5362,12424,262,0,0,323,819,0,91,0,270,1359,0,0,215,699,346,1294,1159,13087,19,673,0,0,1452,10807,3097,5274,24520,0,0,3706,66,0,0,539,22,0,4885
"Calanoida.Calanus helgolandicus.341d37f9958a54163d7987e0dc5bb17818c5c7d8",313,287,312,284,288,309,294,318,256,88,0,0,0,44,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,156,0,65,0,101,576,2928,62,962,30,0,8,95,0,55,0,0,0,0,0,2277,703
"Calanoida.Metridia pacifica.3855bfab8b2afdb2b740530c990e9a2535c5a15b",10699,9996,9059,6637,7841,7838,4882,5759,4685,1031,10,0,0,0,0,0,0,24,55,0,0,0,0,0,0,0,0,0,0,0,0,392,421,11783,0,0,0,0,271,0,0,0,0,166,0,0,0,0,2604,0,0
"Euphausiacea..3907c0c3540893fea852cf1e2e15ee876e097dc1",2365,1584,1339,755,1074,936,488,570,1098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,538,0,0,465,2045,240,2607,0,306,152,2611,0,1047,0,0,1455,0,0,846,0,0,0,671,0,516,437
"Calanoida.Metridia pacifica.3a4660f8928b0bba5379764b63c8f98ae30a1d3b",780,718,589,426,524,507,347,439,331,1258,207,0,12,0,18,0,0,162,392,357,860,0,0,0,396,609,0,0,0,0,110,892,0,1526,0,0,0,0,343,41,48,0,0,717,0,71,0,0,292,0,0
"Calanoida.Calanus helgolandicus.50ae18a387ee0c27a601b2de29233b88891665e2",29474,24291,20157,10396,12520,12766,6834,8401,7270,614,147,0,0,1681,0,0,10,117,452,0,40,0,0,179,0,0,98,203,4998,18809,100,823,270,6392,7909,72574,4053,27691,81,0,0,1479,0,1080,0,0,0,7969,400,23842,12421
"Calanoida..5153fd153d032ca08987dc412a9c67b6794b21bf",594,531,369,195,201,216,93,72,86,96,0,57,633,3691,0,0,0,0,8,0,0,0,0,0,22,38,0,0,0,46,0,40,43,741,228,5409,200,974,0,0,3164,2095,0,28,0,0,0,0,20,451,132
"Calanoida..562a6c89616b1cf51f15caa15b0e5a565dfe0427",224,172,173,150,135,175,70,64,124,800,0,0,0,16,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,225,0,159,71,835,55,369,160,0,44,0,0,164,0,0,0,0,10,158,52
"Calanoida.Calanus.5c28fb044703f8d7dc9a17c20a178f0e34feb322",4192,3856,3915,2841,3648,3624,2827,3521,2836,669,13,0,0,36,0,0,0,71,85,8,3,0,0,0,0,0,0,0,0,0,41,363,182,5009,0,0,0,0,244,0,0,0,0,320,0,0,0,0,1166,0,0
"Calanoida..6950a504c858e51241cac98cb4b1b8cad81eff0e",181,151,146,119,149,141,101,98,128,1308,0,0,0,0,0,0,0,45,38,3,4,0,0,0,368,326,0,0,0,0,34,251,21,351,0,0,0,0,555,0,93,0,0,185,0,156,0,0,89,0,0
"Calanoida.Metridia pacifica.6b976e008f3c98aa86cb64aa686cbfcb409c8f0a",1971,1755,1621,1310,1748,1567,1031,1265,1213,650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,125,2715,0,0,0,0,238,0,0,0,0,45,0,0,0,0,882,0,0
"Calanoida.Calanus helgolandicus.6e6b2ae850506cc0ea7baa4492214e7987501560",13679,12347,11543,8478,10404,10097,6754,7928,6465,1324,91,0,34,1248,0,0,9,144,369,0,0,20,0,0,0,8,0,0,608,1971,169,760,327,7563,1844,13566,861,5596,252,0,220,1543,0,1115,0,0,0,1671,985,8006,4116
"Calanoida.Calanus helgolandicus.78f54f41acba54d14189a57d673d19a7e9c4b936",2732,2627,2555,2086,2494,2604,2021,2353,1920,111,19,0,0,0,0,0,0,30,58,0,0,0,0,0,0,0,0,0,0,0,0,113,62,1566,0,0,0,49,44,0,0,0,0,135,0,0,0,0,498,0,0
"Calanoida.Calanus helgolandicus.894f73dc6883f29a838304fd218efdfaf12bd154",480,495,403,304,369,388,267,324,246,184,279,0,0,0,0,0,0,164,374,0,0,0,0,0,0,4,0,0,0,0,0,416,0,229,0,0,0,0,36,0,30,0,0,1042,0,0,0,0,0,0,0
"Calanoida.Metridia pacifica.97d5948bd4b4362b9bfcff8f47c1af49259ea0d2",359,333,318,241,305,326,353,313,265,902,0,0,30,29,0,0,0,0,0,0,0,0,0,0,122,171,0,0,0,0,0,119,0,646,0,0,0,0,417,0,100,0,0,57,0,57,0,0,175,0,0
"Calanoida.Calanus.9b9f6e13b644886afad8864d6601b2000dae17a0",123,100,87,61,82,83,62,49,81,37,46,1,6,380,0,0,1,1,5,0,0,0,0,2,0,0,0,0,80,253,6,49,16,305,155,1275,44,176,9,0,16,482,0,15,0,0,0,0,16,269,65
"Calanoida.Pleuromamma.a32d276e30f76e771318e8c516046bc05f72db69",287,208,194,122,140,168,73,100,139,1006,52,0,70,0,0,0,0,90,159,32,24,0,0,0,769,1044,0,0,0,0,15,132,21,342,0,0,0,0,170,0,446,0,0,398,0,239,0,0,63,0,0
"Calanoida.Metridia pacifica.b0c15e6164ee940205efe0f1e1a0a0c19435ec9f",29592,24827,21245,11104,13597,13425,7261,8752,7702,7074,38,0,20,224,0,0,0,63,214,47,327,14,0,49,510,976,0,0,0,0,232,1305,1683,43767,0,0,0,0,1525,0,158,110,0,619,0,110,0,0,6774,0,0
"Calanoida..bb43537ab7d266d059e40deb9e1f8536790adc35",470,368,333,207,216,209,85,98,114,3744,0,40,200,65,63,0,0,142,234,0,64,0,28,103,768,1523,0,0,0,0,0,510,26,338,19,305,20,108,916,0,905,0,0,592,0,376,0,0,20,63,25
