"","20C_AllPool.1","20C_AllPool.2","20C_AllPool.3","24C_AllPool.1","24C_AllPool.2","24C_AllPool.3","28C_AllPool.1","28C_AllPool.2","28C_AllPool.3","C1.T7.H9","C1.T8.H10","C2.T8.H18","C2.T9.H19","C3.T6.H25","C3.T7.H26","CT1.T1.H28","CT1.T2.H29","CT1.T3.H30","CT1.T4.H31","CT1.T5.H32","CT1.T6.H33","CT1.T7.H34","CT1.T8.H35","CT2.T1.H36","CT2.T4.H39","CT2.T8.H43"
" 02093d4b1f1d2e1fcf497230b517e5990a1f4a38",0,0,0,0,0,0,0,0,0,22,154,0,0,63,0,0,73,0,0,0,37,0,35,32,86,0
" 1fd0cca87a452616bd107a2dba731bf07d51aeef",0,0,0,0,629,0,0,227,0,4282,3696,8046,10216,0,0,0,0,0,0,0,0,0,4482,0,2934,7492
" 2f9a39c8d8b69f7eedcd3582326b652370ce2ab1",8848,5942,4818,2716,3816,3497,1766,2273,4127,37916,55644,73752,100358,3954,0,10610,11340,0,3390,0,3466,5088,57636,8792,27276,64644
" 35575e116e325762dc8dd4b84658d0f40e9893bc",0,0,0,0,0,0,0,0,0,32,0,0,265,31,143,0,0,0,0,0,60,32,161,99,882,0
" 3907c0c3540893fea852cf1e2e15ee876e097dc1",2365,1584,1339,755,1074,936,488,570,1098,2438,0,5802,986,2296,1998,2932,65622,26496,8096,3160,14254,8216,27336,4416,11544,2968
" 3b46a0689c4dc296a5046eb3cfb003a0ca04e7fe",81,81,67,52,84,70,48,60,72,782,50,782,6,274,318,50,1216,0,208,3984,454,276,412,3148,102,36
" 4542bee4db4c3075a68a0a82768eab3497580077",0,220,154,0,99,93,0,0,0,31,253,17,7544,0,0,0,0,0,111,5,440,176,372,0,759,8
" 499488cac0be3a2185ce9f654a389130100bac2f",0,0,0,0,0,0,0,0,0,136,0,1206,954,14,220,0,116,0,6,616,0,0,0,116,564,0
" 49acecd02ccd5770ea0f75f351550aa447901a5c",0,204,131,0,83,89,0,0,0,42,36,0,745,0,0,0,0,0,64,0,82,0,29,0,97,11
" 5153fd153d032ca08987dc412a9c67b6794b21bf",594,531,369,195,201,216,93,72,86,1018,242,8262,11774,0,0,806,8,0,0,1198,0,192,1994,3044,15184,3114
" 562a6c89616b1cf51f15caa15b0e5a565dfe0427",224,172,173,150,135,175,70,64,124,1135,108,473,299,37,240,540,162,258,91,228,122,71,871,458,2929,534
" 58aec46ab4910cf08bbfda67e8aa7321828ce906",162,148,141,126,148,146,84,112,122,427,101,214,264,0,0,282,22,57,25,71,49,240,845,291,2092,408
" 5de8320dd52839006fa55b8e9e94758699aab65f",49,0,0,14,0,0,0,0,0,0,0,210,0,2106,1272,80,14410,0,1490,0,5948,0,0,0,0,0
" 6950a504c858e51241cac98cb4b1b8cad81eff0e",181,151,146,119,149,141,101,98,128,2837,202,1219,110,591,876,2490,2847,727,553,2475,132,39,1179,1173,178,274
" 6b518c427c01dcb2d856adda991fd08f6a6c3638",0,0,4,0,0,0,0,8,0,0,0,0,0,817,42,5,411,0,170,46,110,0,0,0,0,0
" 6d73948ba71bef2c78986a84eaea1a093e7badd1",0,0,0,6,0,0,0,13,0,0,0,39,0,0,92,0,0,0,22,119,0,0,12,9,0,0
" 7058329838365cb375806f2cef16b428e1910d10",496,299,0,0,0,0,0,0,0,1302,1938,300,1768,0,0,0,0,0,0,0,0,210,1486,530,0,2318
" 7171b7d06f2220d0937ca447d56276f280db375e",52,41,31,14,11,12,0,0,5,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0
" 74f9bdd8535b4c6fc6cb14fdc86019d1de069cb0",243,0,0,60,0,0,0,0,0,3959,67,71434,1887,0,81,144,538,0,0,12,0,0,0,97,0,27
" 752ee5d1eb330fc163da83ca9ce2b4b43c516f38",0,0,0,0,0,0,0,0,0,19,0,0,364,37,131,0,0,0,0,0,146,0,115,83,915,0
" 856adbbd6780d096aa923a18481a9884b70edf25",123,0,88,0,0,59,0,0,0,61,14,0,1626,75,522,0,0,0,0,0,414,302,2344,185,14103,67
" 9a70de23c085314e6ab43e55dcb56fce70587663",271,0,0,84,0,0,44,47,0,146,37,1399,870,25,41,63,0,0,0,0,21,0,0,112,16,19
" 9eb9bcecb427fec7490eb8091ae120d4cbd47c0f",0,0,0,0,0,0,0,0,0,509,59,42,0,234,207,276,932,434,43,818,25,0,275,0,968,0
" a19023e2938b2d4c19d5e2b8c4962e8bcd73177d",328,263,212,73,89,0,0,0,0,2366,44,249,27,211,340,813,1921,252,75,1469,84,0,1023,298,3464,92
" a200a5e36062c3f55c14ae2fa7529f542abf7271",66,31,30,53,0,29,46,0,0,34,0,0,62,0,0,29,0,0,0,0,0,0,128,7,223,78
" bb43537ab7d266d059e40deb9e1f8536790adc35",470,368,333,207,216,209,85,98,114,5440,105,2418,392,1114,2296,2582,4100,1429,1568,4148,560,4,1345,1176,2571,376
" cb7758e8f39b2aeb6e8fc6931a0f1bfd99f5dd32",0,0,0,0,0,0,0,0,0,22,0,37,0,20,187,188,93,15,93,0,40,0,0,102,0,0
" cba418bc94dc3a64e15200ce11bda8c6e0582205",30,20,18,0,0,0,0,0,0,0,0,0,0,84,533,119,187,48,245,22,115,2,0,71,0,0
" ce727816c673d819552f1acf79236fc5e4178ce7",38,38,41,0,55,22,16,28,48,29,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
" e01f93ca2ee277a2bc78e4f8f0e3ee68b98bf1fc",218,155,155,104,168,144,85,96,128,412,126,190,2320,22,60,76,54,12,96,316,370,3400,1008,1670,7322,1152
" ece56b1db36cafe8ce16da6836d580dc30c143ce",0,0,0,0,0,0,0,0,0,876,0,1419,0,221,2583,89,520,0,119,978,0,0,46,0,0,0
" ff62c6fc3f5f5a03af66155247b74210ad634523",189,163,183,97,173,104,88,113,121,964,144,1852,3374,222,724,128,626,70,242,2390,606,652,618,2738,2798,288
"Acartia Acartia danae 953f575003c1e038640b89d2ec04ddae519ec438",0,0,0,0,0,0,0,0,0,0,0,0,0,63,222,50,642,378,319,0,845,0,0,36,0,0
"Byrathis penicillatus 114d9a26e85197775de9b4d539b22900e02bb33c",23,22,0,0,0,0,0,0,0,424,0,901,0,0,0,0,241,0,192,446,0,0,41,0,0,0
"Calanus 1da9dc29d5832bb4022e894cbce86897df521a33",104,94,86,84,88,97,90,97,110,80,0,39,0,0,0,0,0,0,0,8,0,85,0,48,0,0
"Calanus 3638e2bc130cd088660c3c1f0dfea71f1801e86e",0,0,0,0,0,0,0,0,0,310,416,47,0,0,0,623,120,0,49,43,264,0,468,755,560,370
"Calanus 363a7fed6b4ef59f0d3847483c765d95cd1bc297",134,118,115,102,71,99,0,72,0,22,0,18,282,0,0,0,0,0,0,9,33,622,143,242,900,88
"Calanus 5c28fb044703f8d7dc9a17c20a178f0e34feb322",4192,3856,3915,2841,3648,3624,2827,3521,2836,7875,2467,7606,739,0,246,8005,345,17,761,1964,1715,4127,6442,20129,313,3640
"Calanus 6d4fadad6ed332d69b01f5b6a9fb97752337e30f",26,0,21,16,0,32,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,98,0,0,281,56
"Calanus 842a2506f3fd4a072c55a891ee9086fec57ce362",56,73,45,0,53,0,82,67,0,44,0,40,80,0,8,0,0,0,0,32,0,74,21,34,0,0
"Calanus 9b9f6e13b644886afad8864d6601b2000dae17a0",123,100,87,61,82,83,62,49,81,184,66,98,862,0,2,29,2,0,29,84,165,793,328,741,2176,336
"Calanus b7e0a792f7202517d04a74a0a5b2c65867540302",380,360,260,137,175,263,152,224,0,378,0,217,0,0,0,0,0,0,0,49,0,222,0,0,0,0
"Calanus helgolandicus 2010a621a13cf49374bf4c950a42175421a652b0",441,443,340,335,387,326,328,383,297,305,0,677,475,0,167,323,0,0,0,342,191,179,284,0,1122,357
"Calanus helgolandicus 341d37f9958a54163d7987e0dc5bb17818c5c7d8",313,287,312,284,288,309,294,318,256,291,195,213,384,0,11,199,1,0,37,116,77,571,1140,379,7916,2155
"Calanus helgolandicus 50ae18a387ee0c27a601b2de29233b88891665e2",29474,24291,20157,10396,12520,12766,6834,8401,7270,5917,5290,4477,6993,0,55,4455,96,0,902,514,3998,115171,63016,24003,146613,69106
"Calanus helgolandicus 6db8cc221939cdc8c55a0191ffe9bdeca0679b0e",196,157,150,111,169,166,111,108,110,468,67,180,178,0,0,188,1,0,11,36,0,127,676,303,2693,259
"Calanus helgolandicus 6e6b2ae850506cc0ea7baa4492214e7987501560",13679,12347,11543,8478,10404,10097,6754,7928,6465,10082,3752,8434,6114,0,227,7793,172,20,969,1935,4129,14861,21236,29038,36217,18003
"Calanus helgolandicus 78f54f41acba54d14189a57d673d19a7e9c4b936",2732,2627,2555,2086,2494,2604,2021,2353,1920,1579,1066,1728,465,0,15,1294,10,1,67,297,460,2186,3632,6580,301,2062
"Calanus helgolandicus 894f73dc6883f29a838304fd218efdfaf12bd154",480,495,403,304,369,388,267,324,246,346,690,287,0,0,38,1580,6,0,43,4,333,0,737,736,1279,590
"Calanus helgolandicus a145a40787b04637744888e0e1580dd7b4dbbd1b",0,0,0,48,0,75,0,0,66,0,21,0,61,0,0,0,0,0,0,0,0,399,46,72,844,177
"Calocalanus styliremis 8621efe7a8640bc1c6ee9a6853dc555b10b9601f",0,18,0,0,0,0,0,0,0,20,0,0,0,0,0,14,0,0,464,26,1031,0,8,13,0,0
"Calocalanus styliremis fee2b972e2337c7fec774733831482a13e032658",0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,15,33,101,0,31,121,0,0,47,0,12
"Candacia bipinnata 686fd8b59c6f87b27fe6a21b366a0e4b838135e1",65,38,33,0,0,0,0,0,0,0,0,0,0,73,0,262,2224,0,57,181,4603,0,0,0,0,0
"Clausocalanus furcatus 0656642f62c1149ffd9a6000db43c45838593471",0,0,0,0,0,0,0,0,0,2,0,0,0,412,274,126,860,397,0,17,26,0,15,0,27,74
"Clausocalanus furcatus 13d4114046cb395e85da1be98837a9c692eb7728",0,0,0,0,0,0,0,0,0,0,0,0,0,224,368,178,961,100,506,0,3251,0,0,0,0,99
"Clausocalanus furcatus 1a08bb6d37d7924e5dab4c0408f64896eacb991a",615,515,401,314,238,330,90,161,158,310,58,1072,0,3917,9813,2708,4963,4743,3597,8642,6133,189,801,537,0,359
"Clausocalanus furcatus 47fee77eb15aeb9efa7931aa8ff1bf58daa8e10c",214,208,204,205,158,223,161,150,161,0,0,134,0,0,40,0,0,33,0,212,0,100,0,0,0,0
"Clausocalanus furcatus 6b07660f743f9e1c643619d1f389bcbfcf57ec7b",192,181,149,221,172,208,193,167,153,0,0,422,0,0,215,0,0,194,0,959,0,175,0,0,0,0
"Clausocalanus furcatus 7d30749dc626d812e4fe8fddce6bae2923e56070",0,0,0,0,0,0,0,0,0,0,0,0,0,62,71,50,157,277,554,105,536,0,0,0,0,0
"Clausocalanus furcatus c40ce5c9da5927cd51e1e3df99e36cc3984796e8",253,226,161,0,133,0,50,0,0,183,0,644,0,4329,5995,991,5984,1990,1932,905,30441,3,265,0,234,1081
"Clausocalanus furcatus f07422dab8587806440ce31551c5c29726d1d1c7",238,219,199,191,143,201,79,103,142,37,0,241,0,0,213,0,79,110,0,720,0,0,32,0,0,0
"Clausocalanus furcatus f8a30baa160074c5d81f39bbfa5ce59111caa57a",170,205,211,165,155,199,128,87,110,209,173,937,0,1313,2945,1949,2941,2006,1319,4551,918,272,763,225,0,487
"Clausocalanus furcatus feb7c743a91055e70bfa4286091f360a580f26c7",0,0,0,0,0,0,0,60,52,120,0,769,0,1359,1936,1041,3954,539,663,428,4288,79,304,0,11,987
"Ctenocalanus vanus 0820a7f507d89fdcba7a016992fe29a4255663da",124,76,67,59,92,89,83,49,81,0,0,45,0,0,0,0,0,0,0,0,26,54,0,0,0,0
"Ctenocalanus vanus 0de53510347e58dabda2dc43270f04ad3ea2da5c",348,284,206,111,110,104,0,0,0,414,0,543,0,1593,3062,757,1184,1510,1381,228,52124,220,54,78,242,478
"Ctenocalanus vanus 19e2d8924e99f1a60555875f40f2f4abbcb91b22",60,40,62,48,0,56,69,0,41,55,180,359,0,272,785,438,847,757,154,1327,203,42,78,187,0,251
"Ctenocalanus vanus 1c7aee32d52c5a25d862a3e148b6cf04ab8f88da",96,77,72,61,75,71,83,58,84,0,0,186,0,0,0,0,0,0,0,0,223,79,0,0,0,0
"Ctenocalanus vanus 2e7fd9b83cde32c49dd67fab73609fefc6b7bec1",78,60,58,48,60,61,30,0,36,14,0,65,1,0,57,0,20,39,0,193,0,0,5,0,0,0
"Ctenocalanus vanus 7f93c2356b7a75855bf23901a4a4946a09c74ed6",197,186,136,61,73,82,42,0,48,161,41,300,7,875,1924,585,1279,2162,500,2344,1831,41,71,338,9,208
"Ctenocalanus vanus e6e62aec4e6530ec9d88231193468a1b57ca384e",0,0,60,0,0,0,0,48,63,127,0,563,0,222,736,153,396,194,257,113,2963,99,0,0,0,208
"Dioithona oculata 46f27f2f56e61a28864cdb558572ac9e8bdbb3c8",50,49,0,0,0,0,0,0,0,0,0,0,0,38,216,78,26,41,0,57,16,0,49,89,0,0
"Dioithona oculata 8a0f626ac39dbf2bba4f983d8f13c759e59b0051",0,19,0,0,0,0,0,0,0,0,0,0,0,30,277,16,26,31,0,55,23,0,0,21,0,0
"Eucalanus californicus 247f09ccc8ae0ecc2da039900610e5494db93abe",416,312,281,89,84,92,19,16,33,542,458,900,7024,174,84,128,1418,42,332,1416,788,418,710,1662,3856,296
"Metridia 10c3d1c8405b910ef842f394542a5580dc7e9010",225,229,186,173,198,187,128,173,161,2158,591,2341,0,219,1192,852,703,545,543,1645,693,482,673,2964,0,782
"Metridia 14c23d62f3cde5e060e5aa22522eeea5c941e860",66,0,59,29,0,40,35,0,0,172,0,103,0,33,41,0,190,0,40,867,74,76,154,711,0,0
"Metridia 32c7429ef986d3d6e6568889cab2755dd190fdbc",68,45,44,36,42,53,32,30,30,378,24,226,108,94,54,56,506,34,126,1558,390,214,234,1712,28,28
"Metridia 3a7c698a38f760bccb4381b3ff98dec1468bda94",0,0,0,34,49,0,0,0,0,252,147,174,0,0,17,121,121,51,0,103,0,0,310,421,0,37
"Metridia 57032ed98d1880faa541a6164b1166c24a0b0150",12,20,10,7,23,16,0,19,20,25,0,69,0,0,9,0,43,0,0,85,0,0,0,40,0,0
"Metridia 5e14eb69f3ded47e81cbde8662320eb91d4db274",0,0,0,0,0,0,0,0,0,105,0,30,0,12,36,178,179,0,0,27,0,0,69,0,0,71
"Metridia c621ead91f54c394ee29a0669ebe477d85be4b7d",0,0,262,98,167,160,0,172,166,2113,680,2515,0,217,1057,979,670,595,461,1508,704,234,658,2712,0,921
"Metridia daa82d75f78ac8d5bb5259c9020511942c2ef050",0,0,49,0,40,48,0,0,51,392,92,292,0,0,158,128,254,130,0,272,0,0,352,1074,0,202
"Metridia pacifica 0c84003ceec1fb7c3e6c2c04c0221e1bcf2c45f0",338,348,249,118,188,172,0,0,0,0,0,0,0,0,0,510,340,0,838,0,0,0,676,584,0,294
"Metridia pacifica 1db1b49185d0d4cf20f888eb9992b256f76a4651",0,0,0,0,0,0,0,0,0,0,0,411,0,131,443,207,289,0,254,199,3244,99,0,0,0,190
"Metridia pacifica 21ed13fe3ace8060314f604c98eb7b593d0e6ba2",3110,2716,2621,2197,2831,2663,2044,2270,2136,17386,4604,18728,628,5126,9418,29600,16270,5850,7154,24178,13796,6324,13010,30010,76,9314
"Metridia pacifica 2cfd457adc6936d89195dd4765ae81286f8b0ed5",3661,3512,3670,2902,3565,3393,2898,3593,2825,14460,4820,15834,1230,622,1458,19280,4158,2294,2174,14460,3806,8876,12062,34346,392,7156
"Metridia pacifica 366bcd23a104bbca5cc64b6ce7fb0156ce975c1c",900,684,546,307,0,0,0,0,0,0,0,963,0,0,0,1901,0,0,1093,477,0,0,0,0,0,0
"Metridia pacifica 3855bfab8b2afdb2b740530c990e9a2535c5a15b",10699,9996,9059,6637,7841,7838,4882,5759,4685,33004,9652,33274,1080,1106,1812,45162,5054,2986,4132,19180,7290,13608,27960,84302,168,14786
