"","20C_AllPool.1","20C_AllPool.2","20C_AllPool.3","24C_AllPool.1","24C_AllPool.2","24C_AllPool.3","28C_AllPool.1","28C_AllPool.2","28C_AllPool.3","C1.T7.H9_S1.1","C1.T7.H9_S1.2","C1.T8.H10_S1.2","C2.T8.H18_S1.1","C2.T8.H18_S1.2","C3.T6.H25_S1.1","C3.T6.H25_S1.2","C3.T7.H26_S1.1","C3.T7.H26_S1.2","CT1.T1.H28_S1.1","CT1.T1.H28_S1.2","CT1.T2.H29_S1.1","CT1.T2.H29_S1.2","CT1.T3.H30_S1.1","CT1.T3.H30_S1.2","CT1.T4.H31_S1.1","CT1.T4.H31_S1.2","CT1.T5.H32_S1.1","CT1.T5.H32_S1.2","CT1.T6.H33_S1.1","CT1.T6.H33_S1.2","CT1.T7.H34_S1.1","CT1.T7.H34_S1.2","CT1.T8.H35_S1.1","CT1.T8.H35_S1.2","CT2.T1.H36_S1.1","CT2.T1.H36_S1.2","CT2.T4.H39_S1.1","CT2.T4.H39_S1.2","CT2.T8.H43_S1.1","CT2.T8.H43_S1.2","C1.T7.H9_S1.3","C1.T8.H10_S1.3","C2.T8.H18_S1.3","C3.T6.H25_S1.3","C3.T7.H26_S1.3","CT1.T1.H28_S1.3","CT1.T2.H29_S1.3","CT1.T3.H30_S1.3","CT1.T4.H31_S1.3","CT1.T5.H32_S1.3","CT1.T6.H33_S1.3","CT1.T7.H34_S1.3","CT1.T8.H35_S1.3","CT2.T1.H36_S1.3","CT2.T8.H43_S1.3"
"Pleuromamma.0260bfbe825d95aca7b54a0909f97b59dc580e78",249,203,196,137,131,132,63,72,78,0,207,119,31,144,72,769,254,457,102,602,556,871,0,0,0,0,0,76,0,0,0,0,210,424,54,440,0,0,493,836,124,45,293,325,374,104,514,0,437,0,0,0,80,71,346
"Ctenocalanus vanus.0de53510347e58dabda2dc43270f04ad3ea2da5c",348,284,206,111,110,104,0,0,0,0,270,0,23,100,163,1177,1176,1298,0,757,330,680,726,784,0,91,0,228,6217,31320,76,95,0,54,0,78,0,242,186,292,144,0,176,253,588,0,174,0,1079,0,14587,49,0,0,0
"Metridia.10c3d1c8405b910ef842f394542a5580dc7e9010",225,229,186,173,198,187,128,173,161,21,1428,382,68,658,0,115,123,583,38,608,228,239,259,187,27,49,287,662,45,370,46,235,196,300,56,1808,0,0,208,319,709,209,1305,104,486,206,236,99,467,696,278,201,177,279,255
"Rhincalanus.1784e869dc2724619a035c17ab1fff64ceb125f7",252,193,141,129,125,123,52,52,75,0,65,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,7,29,0,0,0,0,0,15,0,57,102,592,11,22,26,0,0,0,0,0,0,0,0,16,0,0,565,0,0
"Ctenocalanus vanus.19e2d8924e99f1a60555875f40f2f4abbcb91b22",60,40,62,48,0,56,69,0,41,0,55,86,0,49,0,72,85,291,0,278,245,271,290,275,0,15,157,469,0,99,0,42,29,49,0,130,0,0,63,101,0,94,86,200,409,160,331,192,139,701,104,0,0,17,87
"Clausocalanus furcatus.1a08bb6d37d7924e5dab4c0408f64896eacb991a",615,515,401,314,238,330,90,161,158,0,165,58,51,0,346,2171,1995,4333,228,2079,1145,2189,2003,1963,217,332,1250,3854,702,2945,78,111,200,462,28,457,0,0,143,216,145,0,168,1012,3079,216,1400,625,2812,3538,2279,0,105,15,0
"Pleuromamma.1e823715b95b2e76d7b69608b26072704c7c2ef1",167,153,177,93,102,122,51,68,61,0,60,12,9,16,0,24,0,20,5,33,24,24,0,0,0,0,0,14,0,0,0,0,25,59,16,154,0,0,84,93,38,8,41,18,24,10,18,0,13,0,0,0,12,13,52
"Neocalanus cristatus.207114b11583026b14531339aeff5641dd94caec",83,58,67,41,76,63,0,68,68,0,57,48,0,21,0,0,0,64,0,501,241,180,509,465,0,45,285,913,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,63,123,169,168,215,211,951,0,0,0,0,0
"Metridia pacifica.21ed13fe3ace8060314f604c98eb7b593d0e6ba2",3110,2716,2621,2197,2831,2663,2044,2270,2136,0,2882,1009,0,1046,0,980,529,1597,0,4293,1650,1871,773,761,0,301,995,2847,260,2176,159,1145,1513,2064,0,2920,0,38,1127,1520,1531,791,2562,731,2043,3654,2715,298,2358,4567,2908,1858,2232,502,1800
"Eucalanus californicus.247f09ccc8ae0ecc2da039900610e5494db93abe",416,312,281,89,84,92,19,16,33,0,90,0,0,5,0,0,0,0,0,10,0,0,0,0,0,0,0,24,0,0,45,6,0,42,0,94,178,456,0,3,99,0,0,0,11,0,0,0,78,5,0,8,204,0,0
