"","C1.T7.H9_S1.1","C1.T7.H9_S1.2","C1.T7.H9_S2.1","C1.T7.H9_S2.2","C1.T7.H9_S3.2","C1.T8.H10_S1.2","C1.T8.H10_S2.1","C1.T8.H10_S2.2","C1.T8.H10_S3.2","C2.T8.H18_S1.1","C2.T8.H18_S1.2","C2.T8.H18_S2.1","C2.T8.H18_S2.2","C2.T8.H18_S3.1","C2.T8.H18_S3.2","C2.T9.H19_S2.1","C2.T9.H19_S2.2","C2.T9.H19_S3.2","C3.T6.H25_S1.1","C3.T6.H25_S1.2","C3.T6.H25_S2.1","C3.T6.H25_S2.2","C3.T6.H25_S3.1","C3.T7.H26_S1.1","C3.T7.H26_S1.2","C3.T7.H26_S2.1","C3.T7.H26_S2.2","C3.T7.H26_S3.1","C3.T7.H26_S3.2","CT1.T1.H28_S1.1","CT1.T1.H28_S1.2","CT1.T1.H28_S2.1","CT1.T1.H28_S2.2","CT1.T1.H28_S3.1","CT1.T1.H28_S3.2","CT1.T2.H29_S1.1","CT1.T2.H29_S1.2","CT1.T2.H29_S2.1","CT1.T2.H29_S2.2","CT1.T2.H29_S3.1","CT1.T2.H29_S3.2","CT1.T3.H30_S1.1","CT1.T3.H30_S1.2","CT1.T3.H30_S2.1","CT1.T3.H30_S3.2","CT1.T4.H31_S1.1","CT1.T4.H31_S1.2","CT1.T4.H31_S2.2","CT1.T4.H31_S3.1","CT1.T4.H31_S3.2","CT1.T5.H32_S1.1","CT1.T5.H32_S1.2","CT1.T5.H32_S2.1","CT1.T5.H32_S2.2","CT1.T5.H32_S3.1","CT1.T5.H32_S3.2","CT1.T6.H33_S1.1","CT1.T6.H33_S1.2","CT1.T6.H33_S2.1","CT1.T6.H33_S2.2","CT1.T6.H33_S3.1","CT1.T6.H33_S3.2","CT1.T7.H34_S1.1","CT1.T7.H34_S1.2","CT1.T7.H34_S2.1","CT1.T7.H34_S2.2","CT1.T7.H34_S3.1","CT1.T7.H34_S3.2","CT1.T8.H35_S1.1","CT1.T8.H35_S1.2","CT1.T8.H35_S2.1","CT1.T8.H35_S2.2","CT1.T8.H35_S3.1","CT1.T8.H35_S3.2","CT2.T1.H36_S1.1","CT2.T1.H36_S1.2","CT2.T1.H36_S2.1","CT2.T1.H36_S2.2","CT2.T1.H36_S3.1","CT2.T1.H36_S3.2","CT2.T4.H39_S1.1","CT2.T4.H39_S1.2","CT2.T4.H39_S2.1","CT2.T4.H39_S2.2","CT2.T4.H39_S3.1","CT2.T4.H39_S3.2","CT2.T8.H43_S1.1","CT2.T8.H43_S1.2","CT2.T8.H43_S2.1","CT2.T8.H43_S2.2","CT2.T8.H43_S3.1","CT2.T8.H43_S3.2","20C_AllPool.1","20C_AllPool.2","20C_AllPool.3","20C_Pooled.A1.A3.1","20C_Pooled.A1.A3.2","20C_Pooled.A1.A3.3","20C_Pooled.B3.B5.1","20C_Pooled.B3.B5.2","20C_Pooled.B3.B5.3","20C_Pooled.C5.C7.1","20C_Pooled.C5.C7.2","20C_Pooled.C5.C7.3","24C_AllPool.1","24C_AllPool.2","24C_AllPool.3","24C_Pooled.A1.A3.1","24C_Pooled.A1.A3.2","24C_Pooled.A1.A3.3","24C_Pooled.B3.B5.1","24C_Pooled.B3.B5.2","24C_Pooled.B3.B5.3","24C_Pooled.C5.C7.1","24C_Pooled.C5.C7.2","24C_Pooled.C5.C7.3","28C_AllPool.1","28C_AllPool.2","28C_AllPool.3","28C_Pooled.A1.A3.1","28C_Pooled.A1.A3.2","28C_Pooled.B3.B5.1","28C_Pooled.B3.B5.2","28C_Pooled.B3.B5.3","28C_Pooled.C5.C7.1","28C_Pooled.C5.C7.2","28C_Pooled.C5.C7.3","C1.T7.H9_S1.3","C1.T7.H9_S2.3","C1.T7.H9_S3.3","C1.T8.H10_S1.3","C1.T8.H10_S3.3","C2.T8.H18_S1.3","C2.T8.H18_S2.3","C2.T8.H18_S3.3","C2.T9.H19_S2.3","C2.T9.H19_S3.3","C3.T6.H25_S1.3","C3.T6.H25_S2.3","C3.T7.H26_S1.3","C3.T7.H26_S2.3","C3.T7.H26_S3.3","CT1.T1.H28_S1.3","CT1.T1.H28_S2.3","CT1.T1.H28_S3.3","CT1.T2.H29_S1.3","CT1.T2.H29_S2.3","CT1.T3.H30_S1.3","CT1.T4.H31_S1.3","CT1.T4.H31_S2.3","CT1.T4.H31_S3.3","CT1.T5.H32_S1.3","CT1.T5.H32_S2.3","CT1.T5.H32_S3.3","CT1.T6.H33_S1.3","CT1.T6.H33_S3.3","CT1.T7.H34_S1.3","CT1.T7.H34_S2.3","CT1.T7.H34_S3.3","CT1.T8.H35_S1.3","CT1.T8.H35_S2.4","CT2.T1.H36_S1.3","CT2.T1.H36_S3.3","CT2.T4.H39_S2.3","CT2.T4.H39_S3.3","CT2.T8.H43_S1.3","CT2.T8.H43_S2.3","CT2.T8.H43_S3.3"
"Pleuromamma.0260bfbe825d95aca7b54a0909f97b59dc580e78",0,207,0,280,0,119,0,57,0,31,144,0,94,0,0,28,0,0,72,769,94,436,0,254,457,53,131,0,0,102,602,112,194,0,0,556,871,0,137,0,0,0,0,0,0,0,0,83,0,0,0,76,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,210,424,9,41,0,0,54,440,321,293,34,372,0,0,0,0,0,0,493,836,20,25,0,0,249,203,196,242,197,296,253,204,33,92,134,85,137,131,132,308,142,125,268,197,200,112,105,82,63,72,78,154,0,87,138,246,54,71,48,124,58,0,45,0,293,250,0,21,0,325,248,374,0,0,104,0,0,514,0,0,437,0,0,0,0,0,0,0,0,0,0,80,0,71,28,0,0,346,0,0
"Ctenocalanus vanus.0de53510347e58dabda2dc43270f04ad3ea2da5c",0,270,0,0,0,0,0,0,0,23,100,0,0,0,0,0,0,0,163,1177,0,0,0,1176,1298,0,0,0,0,0,757,0,0,0,0,330,680,0,0,0,0,726,784,0,0,0,91,211,0,0,0,228,0,0,0,0,6217,31320,0,0,0,0,76,95,0,0,0,0,0,54,0,0,0,0,0,78,0,0,0,0,0,242,0,0,0,0,186,292,0,0,0,0,348,284,206,341,283,411,501,361,0,0,175,0,111,110,104,290,155,98,455,367,300,0,0,0,0,0,0,0,0,0,0,196,0,0,0,144,0,0,0,0,176,244,0,0,0,253,0,588,0,0,0,0,0,174,0,0,1079,0,0,0,0,0,14587,0,49,0,0,0,0,0,0,0,0,0,0,0
"Metridia.10c3d1c8405b910ef842f394542a5580dc7e9010",21,1428,0,0,0,382,0,0,0,68,658,0,0,0,0,0,0,0,0,115,0,0,0,123,583,0,0,0,0,38,608,0,0,0,0,228,239,0,0,0,0,259,187,0,0,27,49,0,0,0,287,662,0,0,0,0,45,370,0,0,0,0,46,235,0,0,0,0,196,300,0,0,0,0,56,1808,446,375,0,0,0,0,0,0,0,0,208,319,0,0,0,0,225,229,186,1022,694,1035,605,356,35,29,62,25,173,198,187,1151,739,688,714,583,571,32,0,37,128,173,161,470,566,420,438,660,0,54,0,709,0,0,209,0,1305,310,0,0,0,104,0,486,0,0,206,0,0,236,0,99,467,0,0,696,0,0,278,0,201,0,0,177,0,279,0,0,0,255,0,0
"Rhincalanus.1784e869dc2724619a035c17ab1fff64ceb125f7",0,65,0,0,16,0,0,116,0,0,0,13,51,0,0,0,61,941,0,0,0,0,0,0,0,0,0,0,0,0,8,14,22,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,29,7,20,0,0,0,0,0,0,0,0,0,0,0,109,0,175,0,15,0,183,0,20,0,57,104,120,0,266,102,592,144,423,588,7528,11,22,0,213,306,1754,252,193,141,66,31,76,17,11,0,189,431,213,129,125,123,73,42,31,32,20,23,366,204,264,52,52,75,0,14,6,5,19,106,107,45,26,0,0,0,0,0,44,131,0,891,0,0,0,0,0,0,7,14,0,0,0,0,0,0,16,0,0,0,0,0,0,0,565,0,0,9,132,1257,0,0,291
"Ctenocalanus vanus.19e2d8924e99f1a60555875f40f2f4abbcb91b22",0,55,0,0,0,86,0,0,0,0,49,0,0,0,0,0,0,0,0,72,0,0,0,85,291,0,0,0,0,0,278,0,0,0,0,245,271,0,0,0,0,290,275,0,0,0,15,0,0,0,157,469,0,0,0,0,0,99,0,0,0,0,0,42,0,0,0,0,29,49,0,0,0,0,0,130,40,0,0,0,0,0,0,0,0,0,63,101,0,0,0,0,60,40,62,137,105,186,425,248,0,0,0,0,48,0,56,187,116,0,483,470,369,0,0,0,69,0,41,0,90,310,277,440,0,0,0,0,0,0,94,0,86,224,0,0,0,200,0,409,0,0,160,0,0,331,0,192,139,0,0,701,0,0,104,0,0,0,0,0,0,17,0,0,0,87,0,0
"Clausocalanus furcatus.1a08bb6d37d7924e5dab4c0408f64896eacb991a",0,165,0,0,0,58,0,0,0,51,0,0,0,0,0,0,0,0,346,2171,74,314,0,1995,4333,82,324,0,0,228,2079,88,97,0,0,1145,2189,0,78,0,55,2003,1963,152,0,217,332,213,0,23,1250,3854,0,0,0,0,702,2945,77,130,0,0,78,111,0,0,0,0,200,462,0,0,0,34,28,457,17,20,0,0,0,0,0,0,0,0,143,216,0,0,0,0,615,515,401,311,227,342,3664,2207,887,57,75,103,314,238,330,253,359,161,3250,2184,2317,35,29,90,90,161,158,0,90,911,1140,1531,0,0,0,145,0,0,0,0,168,853,0,0,0,1012,0,3079,0,0,216,0,0,1400,96,625,2812,0,0,3538,0,0,2279,0,0,0,0,105,0,15,0,0,0,0,0,0
"Rhincalanus.1c13e9ef7e8cb97448c9556c5cae61a9ab171c33",0,25,0,0,0,0,0,123,0,0,0,0,29,0,0,0,57,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,7,0,26,66,143,54,133,0,0,0,172,0,0,0,30,89,66,0,135,0,265,161,446,559,4141,0,0,0,272,122,1156,186,154,124,0,0,38,0,0,0,206,377,207,74,126,112,42,23,0,0,0,0,399,227,269,82,94,71,0,0,0,0,0,190,210,144,14,0,0,0,0,0,17,0,45,408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,64,232,68,0,0,276,2115,0,12,635
"Pleuromamma.1e823715b95b2e76d7b69608b26072704c7c2ef1",0,60,0,14,0,12,0,67,0,9,16,0,26,0,0,13,0,0,0,24,0,42,0,0,20,8,18,0,0,5,33,17,47,0,0,24,24,0,6,0,0,0,0,0,0,0,0,10,0,0,0,14,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,25,59,9,82,0,0,16,154,93,82,9,137,0,0,0,0,0,0,84,93,31,86,0,0,167,153,177,56,22,55,27,12,6,144,229,116,93,102,122,82,32,28,41,27,28,212,176,123,51,68,61,33,0,13,11,19,84,132,62,38,1,0,8,0,41,50,0,22,0,18,20,24,0,0,10,0,0,18,0,0,13,0,0,0,0,0,0,0,0,0,0,12,0,13,7,0,0,52,0,0
"Neocalanus cristatus.207114b11583026b14531339aeff5641dd94caec",0,57,0,0,0,48,0,0,0,0,21,0,9,0,0,0,0,0,0,0,0,132,0,0,64,0,81,0,0,0,501,107,194,0,0,241,180,110,197,2,0,509,465,108,0,0,45,66,0,0,285,913,81,231,0,0,0,0,0,386,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,69,60,0,166,0,0,0,0,0,0,0,0,0,0,0,0,83,58,67,110,91,99,607,441,66,0,0,0,41,76,63,160,127,112,760,605,456,0,0,0,0,68,68,51,76,377,471,716,0,0,0,0,0,0,0,0,0,130,0,0,0,63,183,123,0,0,169,140,0,168,249,215,211,0,0,951,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metridia pacifica.21ed13fe3ace8060314f604c98eb7b593d0e6ba2",0,2882,0,1570,1159,1009,0,502,0,0,1046,381,1583,0,0,0,148,0,0,980,0,473,0,529,1597,160,380,0,0,0,4293,1282,2223,0,0,1650,1871,404,594,0,0,773,761,1093,0,0,301,918,0,0,995,2847,699,1333,138,144,260,2176,0,1554,0,0,159,1145,0,0,0,0,1513,2064,0,327,0,254,0,2920,3452,2638,138,3964,0,38,0,0,0,0,1127,1520,0,210,0,0,3110,2716,2621,3974,3411,4724,4365,2127,0,757,1693,638,2197,2831,2663,6170,3394,3145,5439,4446,4248,1417,911,1011,2044,2270,2136,1684,3028,3264,2734,5866,766,862,521,1531,1056,495,791,0,2562,3792,0,166,0,731,379,2043,0,0,3654,3254,94,2715,901,298,2358,0,0,4567,1366,0,2908,0,1858,0,0,2232,115,502,1391,0,0,1800,0,0
