"","X","coord","sample","p2.5","p25","p50","n_reads","p75","p97.5","cycle_num","size","replicate"
"1",1,"seq_29_.NA.other",NA,NA,NA,NA,0.5,NA,NA,30,"1-2mm","C1.T7.H9_S3.2"
"2",2,"seq_29_.NA.other",NA,NA,NA,NA,0.5,NA,NA,30,"1-2mm","C1.T7.H9_S3.3"
"3",3,"seq_6_Euphausiacea..2f9a3",NA,NA,NA,NA,0.165296754910333,NA,NA,30,"1-2mm","C1.T7.H9_S3.3"
"4",4,"seq_6_Euphausiacea..2f9a3",NA,NA,NA,NA,0.122774777078206,NA,NA,30,"1-2mm","C1.T7.H9_S3.2"
"5",5,"seq_23_Calanoida.Metridia pacifica.b0c15",NA,NA,NA,NA,0.113042922432804,NA,NA,30,"1-2mm","C1.T7.H9_S3.2"
"6",6,"seq_23_Calanoida.Metridia pacifica.b0c15",NA,NA,NA,NA,0.0813941076003416,NA,NA,30,"1-2mm","C1.T7.H9_S3.3"
"7",7,"seq_24_Calanoida..bb435",NA,NA,NA,NA,0.0598293329924255,NA,NA,30,"1-2mm","C1.T7.H9_S3.2"
"8",8,"seq_24_Calanoida..bb435",NA,NA,NA,NA,0.0488898377455167,NA,NA,30,"1-2mm","C1.T7.H9_S3.3"
"9",9,"seq_15_Calanoida..6950a",NA,NA,NA,NA,0.0296221178479932,NA,NA,30,"1-2mm","C1.T7.H9_S3.3"
"10",10,"seq_3_Calanoida.Metridia pacifica.21ed1",NA,NA,NA,NA,0.0264197267292912,NA,NA,30,"1-2mm","C1.T7.H9_S3.3"
"11",11,"seq_20_Calanoida.Metridia pacifica.97d59",NA,NA,NA,NA,0.0222566182749786,NA,NA,30,"1-2mm","C1.T7.H9_S3.3"
"12",12,"seq_17_Calanoida.Calanus helgolandicus.6e6b2",NA,NA,NA,NA,0.0211575953210393,NA,NA,30,"1-2mm","C1.T7.H9_S3.2"
"13",13,"seq_15_Calanoida..6950a",NA,NA,NA,NA,0.0209019144108153,NA,NA,30,"1-2mm","C1.T7.H9_S3.2"
"14",14,"seq_10_Calanoida.Metridia pacifica.3a466",NA,NA,NA,NA,0.0201029115663652,NA,NA,30,"1-2mm","C1.T7.H9_S3.2"
"15",15,"seq_3_Calanoida.Metridia pacifica.21ed1",NA,NA,NA,NA,0.0185208859343539,NA,NA,30,"1-2mm","C1.T7.H9_S3.2"
"16",16,"seq_10_Calanoida.Metridia pacifica.3a466",NA,NA,NA,NA,0.0183070025619129,NA,NA,30,"1-2mm","C1.T7.H9_S3.3"
"17",17,"seq_5_Calanoida.Metridia pacifica.2cfd4",NA,NA,NA,NA,0.0167058070025619,NA,NA,30,"1-2mm","C1.T7.H9_S3.3"
"18",18,"seq_8_Calanoida.Metridia pacifica.3855b",NA,NA,NA,NA,0.0164754386525616,NA,NA,30,"1-2mm","C1.T7.H9_S3.2"
"19",19,"seq_22_Calanoida.Pleuromamma.a32d2",NA,NA,NA,NA,0.0160759372303365,NA,NA,30,"1-2mm","C1.T7.H9_S3.2"
"20",20,"seq_8_Calanoida.Metridia pacifica.3855b",NA,NA,NA,NA,0.0144641332194705,NA,NA,30,"1-2mm","C1.T7.H9_S3.3"
"21",21,"seq_20_Calanoida.Metridia pacifica.97d59",NA,NA,NA,NA,0.0144140113138803,NA,NA,30,"1-2mm","C1.T7.H9_S3.2"
"22",22,"seq_17_Calanoida.Calanus helgolandicus.6e6b2",NA,NA,NA,NA,0.0134500426985482,NA,NA,30,"1-2mm","C1.T7.H9_S3.3"
"23",23,"seq_14_Calanoida.Calanus.5c28f",NA,NA,NA,NA,0.0130230572160547,NA,NA,30,"1-2mm","C1.T7.H9_S3.3"
"24",24,"seq_13_Calanoida..562a6",NA,NA,NA,NA,0.012784045511202,NA,NA,30,"1-2mm","C1.T7.H9_S3.2"
"25",25,"seq_16_Calanoida.Metridia pacifica.6b976",NA,NA,NA,NA,0.0127028181041845,NA,NA,30,"1-2mm","C1.T7.H9_S3.3"
"26",26,"seq_14_Calanoida.Calanus.5c28f",NA,NA,NA,NA,0.0106906580587427,NA,NA,30,"1-2mm","C1.T7.H9_S3.2"
"27",27,"seq_16_Calanoida.Metridia pacifica.6b976",NA,NA,NA,NA,0.0103870369778516,NA,NA,30,"1-2mm","C1.T7.H9_S3.2"
"28",28,"seq_11_Calanoida.Calanus helgolandicus.50ae1",NA,NA,NA,NA,0.00981175492984755,NA,NA,30,"1-2mm","C1.T7.H9_S3.2"
"29",29,"seq_22_Calanoida.Pleuromamma.a32d2",NA,NA,NA,NA,0.0090734415029889,NA,NA,30,"1-2mm","C1.T7.H9_S3.3"
"30",30,"seq_13_Calanoida..562a6",NA,NA,NA,NA,0.0085397096498719,NA,NA,30,"1-2mm","C1.T7.H9_S3.3"
"31",31,"seq_5_Calanoida.Metridia pacifica.2cfd4",NA,NA,NA,NA,0.00845345009428233,NA,NA,30,"1-2mm","C1.T7.H9_S3.2"
"32",32,"seq_27_Calanoida.Pleuromamma.fa735",NA,NA,NA,NA,0.00709514525871712,NA,NA,30,"1-2mm","C1.T7.H9_S3.2"
"33",33,"seq_26_Calanoida.Metridia pacifica.e1993",NA,NA,NA,NA,0.00455431621336572,NA,NA,30,"1-2mm","C1.T7.H9_S3.2"
"34",34,"seq_26_Calanoida.Metridia pacifica.e1993",NA,NA,NA,NA,0.00442997438087105,NA,NA,30,"1-2mm","C1.T7.H9_S3.3"
"35",35,"seq_11_Calanoida.Calanus helgolandicus.50ae1",NA,NA,NA,NA,0.00432322801024765,NA,NA,30,"1-2mm","C1.T7.H9_S3.3"
